<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Parsian-R,20210216,9010.00,9010.00,8700.00,8700.00,104391221200,11998335,287,D,9010.00,8700.00
Parsian-R,20210215,9960.00,9960.00,9000.00,9010.00,12752058400,1414876,121,D,8900.00,9000.00
Parsian-R,20210214,9300.00,9300.00,8900.00,8900.00,56518526000,6350000,142,D,8700.00,8900.00
Parsian-R,20210213,8560.00,9000.00,8560.00,8700.00,32381610000,3721690,99,D,8560.00,9000.00
Parsian-R,20210209,9000.00,9000.00,8500.00,8560.00,30845706000,3604036,82,D,9000.00,8500.00
Parsian-R,20210208,9000.00,9000.00,9000.00,9000.00,6300000,700,1,D,9000.00,9000.00
Parsian-R,20210207,9000.00,9000.00,9000.00,9000.00,826893000,91877,11,D,9000.00,9000.00
Parsian-R,20210206,9000.00,9000.00,9000.00,9000.00,1990719000,221191,15,D,10290.00,9000.00
Parsian-R,20201124,10580.00,10930.00,9670.00,10290.00,81893347770,7954943,1313,D,10120.00,10000.00
Parsian-R,20201123,9850.00,10250.00,9410.00,10120.00,116948693670,11556008,1188,D,9320.00,10250.00
Parsian-R,20201122,8400.00,9780.00,8400.00,9320.00,51448623580,5518246,613,D,9100.00,9500.00
Parsian-R,20201121,9110.00,9400.00,8780.00,9100.00,82331861090,9050085,724,D,9230.00,9010.00
Parsian-R,20201118,9600.00,9850.00,9020.00,9230.00,52395938380,5679755,893,D,9420.00,9160.00
Parsian-R,20201117,8530.00,9640.00,8530.00,9420.00,20419548000,2167881,466,D,9110.00,9370.00
Parsian-R,20201116,8450.00,9490.00,8450.00,9110.00,20460427680,2245626,560,D,8960.00,9190.00
Parsian-R,20201115,9370.00,9370.00,8700.00,8960.00,43774468320,4884038,652,D,8660.00,9000.00
Parsian-R,20201114,8380.00,8680.00,8380.00,8660.00,19629187130,2267476,302,D,7890.00,8680.00
Parsian-R,20201111,7250.00,8380.00,7250.00,7890.00,37310918670,4728901,504,D,7640.00,8070.00
Parsian-R,20201110,7500.00,7990.00,7200.00,7640.00,16074795200,2102871,418,D,7510.00,7500.00
Parsian-R,20201109,7120.00,8100.00,7120.00,7510.00,9480750150,1261970,224,D,7730.00,7570.00
Parsian-R,20201108,7830.00,8290.00,7700.00,7730.00,6070965270,785081,245,D,8560.00,7700.00
Parsian-R,20201107,8810.00,8920.00,8350.00,8560.00,8964544240,1047688,306,D,9280.00,8530.00
Parsian-R,20201104,8780.00,9620.00,8780.00,9280.00,7283825270,784967,215,D,9200.00,9170.00
Parsian-R,20201102,9100.00,9490.00,8520.00,9200.00,10870444950,1181500,276,D,9110.00,9200.00
Parsian-R,20201101,10000.00,10000.00,8790.00,9110.00,17117680570,1879651,366,D,9730.00,9060.00
Parsian-R,20201031,9750.00,9950.00,9410.00,9730.00,33764441480,3471255,494,D,9100.00,9930.00
Parsian-R,20201028,8950.00,9500.00,8650.00,9100.00,9434073050,1036789,237,D,9200.00,9410.00
Parsian-R,20201027,9210.00,9600.00,8670.00,9200.00,12980362630,1410712,271,D,9130.00,9100.00
Parsian-R,20201026,8900.00,9990.00,8840.00,9130.00,14105253400,1544833,275,D,9610.00,9600.00
Parsian-R,20201024,10500.00,10500.00,9460.00,9610.00,13619399620,1416688,333,D,10510.00,9600.00
Parsian-R,20201021,10780.00,10780.00,9050.00,10510.00,20190111660,1920411,554,D,9800.00,10500.00
Parsian-R,20201020,9630.00,10690.00,9630.00,9800.00,21829900230,2227137,324,D,10700.00,10270.00
Parsian-R,20201019,10670.00,11740.00,10670.00,10700.00,23634811710,2209086,383,D,11860.00,10670.00
Parsian-R,20201018,13200.00,13200.00,11740.00,11860.00,45981151650,3877716,390,D,13040.00,11740.00
Parsian-R,20201014,12650.00,13100.00,11710.00,13040.00,91622276460,7028686,953,D,11910.00,13100.00
Parsian-R,20201013,11850.00,12250.00,11210.00,11910.00,9657036640,810703,343,D,11870.00,12010.00
Parsian-R,20201012,11530.00,12500.00,11400.00,11870.00,28190652120,2375122,615,D,12600.00,12000.00
Parsian-R,20201011,12940.00,13260.00,12050.00,12600.00,67005462620,5317054,1151,D,13300.00,12200.00
Parsian-R,20201010,12980.00,13890.00,12100.00,13300.00,47166040330,3546949,852,D,13340.00,13250.00
Parsian-R,20201007,14600.00,14600.00,12770.00,13340.00,74175783990,5560884,1548,D,14190.00,13230.00
Parsian-R,20201006,14450.00,14450.00,13230.00,14190.00,117037818720,8248362,1927,D,13140.00,14000.00
Parsian-R,20201005,13190.00,13190.00,12000.00,13140.00,18280630990,1391098,484,D,11990.00,13190.00
Parsian-R,20201004,12000.00,12000.00,11010.00,11990.00,42330705710,3531895,504,D,10910.00,12000.00
Parsian-R,20201003,10800.00,10960.00,10200.00,10910.00,29141706700,2670619,473,D,9960.00,10960.00
Parsian-R,20200930,9700.00,10050.00,9410.00,9960.00,24930328260,2501830,710,D,9140.00,10050.00
Parsian-R,20200929,9020.00,9740.00,8010.00,9140.00,24748571650,2708906,809,D,8864.00,9600.00
Parsian-R,20200928,8200.00,9020.00,8050.00,8864.00,26171789119,2952677,1078,D,3758.00,9020.00
Parsian-R,20200105,3740.00,3780.00,3740.00,3758.00,38131087200,10147380,171,D,3779.00,3780.00
Parsian-R,20200104,3800.00,3800.00,3700.00,3779.00,10770000,2850,5,D,4001.00,3700.00
Parsian-R,20200101,4081.00,4081.00,4000.00,4001.00,214177167,53532,26,D,3710.00,4000.00
Parsian-R,20191231,3931.00,3931.00,3700.00,3710.00,3779247249,1018659,50,D,3574.00,3700.00
Parsian-R,20191230,3800.00,3800.00,3500.00,3574.00,23517908600,6580546,158,D,3455.00,3700.00
Parsian-R,20191229,3763.00,3763.00,3450.00,3455.00,13845813102,4006918,62,D,3421.00,3500.00
Parsian-R,20191228,3400.00,3500.00,3400.00,3421.00,11077670900,3237841,88,D,1627.00,3500.00
Parsian-R,20191022,1589.00,1636.00,1462.00,1627.00,8299529847,5101923,319,D,1488.00,1623.00
Parsian-R,20191021,1442.00,1554.00,1399.00,1488.00,3809990280,2560915,188,D,1554.00,1531.00
Parsian-R,20191020,1750.00,1750.00,1549.00,1554.00,8748933120,5628783,273,D,1721.00,1549.00
Parsian-R,20191016,1749.00,1780.00,1640.00,1721.00,1036505330,602232,99,D,1632.00,1700.00
Parsian-R,20191015,1640.00,1700.00,1529.00,1632.00,3566041399,2185215,112,D,1617.00,1685.00
Parsian-R,20191014,1787.00,1787.00,1600.00,1617.00,9807653043,6063644,256,D,1777.00,1631.00
Parsian-R,20191013,1988.00,1988.00,1766.00,1777.00,4214327827,2371958,155,D,1962.00,1766.00
Parsian-R,20191012,1930.00,2109.00,1870.00,1962.00,2710917680,1381604,154,D,1937.00,1949.00
Parsian-R,20191009,2025.00,2026.00,1926.00,1937.00,4749828899,2452426,119,D,2139.00,1984.00
Parsian-R,20191008,2094.00,2257.00,2022.00,2139.00,2379760208,1112417,89,D,2168.00,2022.00
Parsian-R,20191007,2146.00,2282.00,2080.00,2168.00,2986483785,1377284,165,D,2210.00,2227.00
Parsian-R,20191006,2205.00,2250.00,2130.00,2210.00,1326852790,600441,91,D,2345.00,2135.00
Parsian-R,20191005,2302.00,2425.00,2225.00,2345.00,3610430160,1539546,147,D,2377.00,2230.00
Parsian-R,20191002,2204.00,2410.00,2204.00,2377.00,2367648832,996121,109,D,2348.00,2300.00
Parsian-R,20191001,2296.00,2437.00,2279.00,2348.00,30781937031,13112039,570,D,2304.00,2380.00
Parsian-R,20190930,2290.00,2438.00,2250.00,2304.00,5722736559,2483898,241,D,2261.00,2295.00
Parsian-R,20190929,2450.00,2450.00,2112.00,2261.00,5064029185,2239747,210,D,2271.00,2198.00
Parsian-R,20190928,2106.00,2310.00,2051.00,2271.00,6263553506,2757942,260,D,2100.00,2310.00
Parsian-R,20190925,2117.00,2200.00,2051.00,2100.00,1111814067,529400,104,D,2127.00,2110.00
Parsian-R,20190924,2299.00,2299.00,2037.00,2127.00,2444511316,1149532,168,D,2112.00,2117.00
Parsian-R,20190923,2007.00,2131.00,2007.00,2112.00,1892620663,895973,98,D,1938.00,2131.00
Parsian-R,20190922,1997.00,1997.00,1849.00,1938.00,2260915061,1166652,169,D,1981.00,1980.00
Parsian-R,20190921,1897.00,2007.00,1815.00,1981.00,3856071560,1946559,182,D,1825.00,1923.00
Parsian-R,20190918,1862.00,2000.00,1778.00,1825.00,5534600245,3033406,191,D,1975.00,1850.00
Parsian-R,20190917,2100.00,2100.00,1863.00,1975.00,2921205283,1479055,190,D,2052.00,2000.00
Parsian-R,20190916,2063.00,2063.00,2001.00,2052.00,15946273982,7769892,396,D,1876.00,2063.00
Parsian-R,20190915,1701.00,1888.00,1678.00,1876.00,14133218288,7534517,370,D,1717.00,1888.00
Parsian-R,20190914,1720.00,1790.00,1674.00,1717.00,6112335604,3559284,343,D,1741.00,1730.00
Parsian-R,20190911,1770.00,1772.00,1666.00,1741.00,5827455029,3346286,321,D,1745.00,1761.00
Parsian-R,20190908,1750.00,1789.00,1652.00,1745.00,13372689166,7663423,569,D,1637.00,1770.00
Parsian-R,20190907,1637.00,1637.00,1630.00,1637.00,14335103000,8757487,310,D,1489.00,1637.00
Parsian-R,20190904,1450.00,1497.00,1400.00,1489.00,4919385788,3304676,212,D,1361.00,1497.00
Parsian-R,20190903,1302.00,1414.00,1302.00,1361.00,1679258627,1234210,203,D,1324.00,1400.00
Parsian-R,20190902,1423.00,1423.00,1281.00,1324.00,3066431267,2316198,227,D,1423.00,1310.00
Parsian-R,20190901,1510.00,1510.00,1375.00,1423.00,4492081750,3156966,264,D,1513.00,1395.00
Parsian-R,20190831,1461.00,1625.00,1428.00,1513.00,2699085428,1783839,237,D,1479.00,1540.00
Parsian-R,20190828,1450.00,1510.00,1407.00,1479.00,3567614315,2411495,226,D,1521.00,1460.00
Parsian-R,20190827,1549.00,1549.00,1400.00,1521.00,13452940828,8845634,510,D,1409.00,1443.00
Parsian-R,20190826,1409.00,1409.00,1328.00,1409.00,8965737998,6364629,432,D,1281.00,1409.00
Parsian-R,20190825,1215.00,1336.00,1215.00,1281.00,18672973830,14576516,713,D,824.00,1336.00
Parsian-R,20170509,820.00,830.00,820.00,824.00,2840410860,3445623,70,D,830.00,830.00
Parsian-R,20170508,830.00,830.00,830.00,830.00,1245000000,1500000,15,D,870.00,830.00
Parsian-R,20170507,870.00,870.00,870.00,870.00,435000000,500000,5,D,900.00,870.00
Parsian-R,20170506,900.00,900.00,900.00,900.00,180000000,200000,2,D,696.00,900.00
Parsian-R,20170222,690.00,710.00,650.00,696.00,164768831,236811,32,D,683.00,651.00
Parsian-R,20170221,694.00,724.00,670.00,683.00,116636414,170749,21,D,671.00,724.00
Parsian-R,20170220,675.00,681.00,670.00,671.00,31285583,46621,6,D,659.00,670.00
Parsian-R,20170219,660.00,675.00,655.00,659.00,91509795,138873,8,D,661.00,675.00
Parsian-R,20170218,658.00,670.00,658.00,661.00,6936470,10499,5,D,695.00,670.00
Parsian-R,20170215,715.00,715.00,681.00,695.00,23912374,34418,11,D,699.00,709.00
Parsian-R,20170214,662.00,714.00,662.00,699.00,12890306,18438,11,D,665.00,713.00
Parsian-R,20170213,665.00,665.00,665.00,665.00,232750,350,1,D,675.00,665.00
Parsian-R,20170212,700.00,730.00,671.00,675.00,16779245,24845,4,D,669.00,671.00
