<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ir.Inv.Petr-R,20210424,7200.00,7200.00,6520.00,6550.00,495197902800,75647400,2578,D,6930.00,6520.00
Ir.Inv.Petr-R,20210421,7700.00,7700.00,6830.00,6930.00,184337094470,26605718,1121,D,7260.00,6830.00
Ir.Inv.Petr-R,20210420,7600.00,7600.00,7000.00,7260.00,107590853190,14821095,589,D,6950.00,7000.00
Ir.Inv.Petr-R,20210419,7300.00,7300.00,6900.00,6950.00,83200003940,11973458,552,D,6990.00,6900.00
Ir.Inv.Petr-R,20210418,7260.00,7260.00,6970.00,6990.00,14949913650,2139439,229,D,7260.00,6970.00
Ir.Inv.Petr-R,20210417,7790.00,7790.00,7250.00,7260.00,12824967200,1766918,150,D,7550.00,7250.00
Ir.Inv.Petr-R,20210414,7950.00,7950.00,7500.00,7550.00,18676735510,2473832,161,D,7670.00,7500.00
Ir.Inv.Petr-R,20210413,7500.00,7950.00,7500.00,7670.00,180142121370,23480587,989,D,7100.00,7950.00
Ir.Inv.Petr-R,20210412,7360.00,7360.00,7100.00,7100.00,140897831470,19839800,964,D,7360.00,7100.00
Ir.Inv.Petr-R,20210411,7600.00,7600.00,7340.00,7360.00,11143962580,1514234,224,D,7640.00,7340.00
Ir.Inv.Petr-R,20210410,7830.00,7830.00,7620.00,7640.00,12429348580,1627628,177,D,7930.00,7620.00
Ir.Inv.Petr-R,20210407,8400.00,8400.00,7920.00,7930.00,30762543840,3881682,314,D,8250.00,7920.00
Ir.Inv.Petr-R,20210406,8400.00,8400.00,8100.00,8250.00,44528646710,5397582,275,D,8240.00,8100.00
Ir.Inv.Petr-R,20210405,8240.00,8240.00,8240.00,8240.00,125199787760,15194149,574,D,8240.00,8240.00
Ir.Inv.Petr-R,20210404,8570.00,8570.00,8230.00,8240.00,8345028270,1012933,138,D,8570.00,8230.00
Ir.Inv.Petr-R,20210403,9000.00,9000.00,8500.00,8570.00,40181905780,4690937,259,D,8850.00,8500.00
Ir.Inv.Petr-R,20210331,9210.00,9210.00,8850.00,8850.00,42497802370,4799657,386,D,9210.00,8850.00
Ir.Inv.Petr-R,20210330,9210.00,9210.00,9210.00,9210.00,36337972110,3945491,148,D,9210.00,9210.00
Ir.Inv.Petr-R,20210328,9580.00,9580.00,9200.00,9210.00,25431926700,2762555,124,D,9580.00,9200.00
Ir.Inv.Petr-R,20210327,10700.00,10700.00,9500.00,9580.00,19329707960,2018111,108,D,9560.00,9500.00
Ir.Inv.Petr-R,20210317,10000.00,10000.00,9550.00,9560.00,149511874820,15643130,418,D,9350.00,9550.00
Ir.Inv.Petr-R,20210316,9350.00,9350.00,9350.00,9350.00,33725487400,3607004,167,D,9940.00,9350.00
Ir.Inv.Petr-R,20201024,10060.00,10970.00,9880.00,9940.00,188027223060,18913609,2980,D,10980.00,9880.00
Ir.Inv.Petr-R,20201021,11150.00,11270.00,10500.00,10980.00,549342569120,50039701,8375,D,10250.00,10920.00
Ir.Inv.Petr-R,20201020,10000.00,11390.00,9800.00,10250.00,469943018770,45850470,6098,D,10890.00,11040.00
Ir.Inv.Petr-R,20201019,11010.00,11200.00,10860.00,10890.00,248462274050,22807963,3457,D,12070.00,10860.00
Ir.Inv.Petr-R,20201018,12500.00,13170.00,11980.00,12070.00,420004836590,34801565,4599,D,13310.00,11980.00
Ir.Inv.Petr-R,20201014,13980.00,14040.00,13100.00,13310.00,331346335290,24896796,4202,D,14030.00,13210.00
Ir.Inv.Petr-R,20201013,14500.00,14790.00,13300.00,14030.00,312976056550,22312152,4551,D,14340.00,14060.00
Ir.Inv.Petr-R,20201012,14930.00,15200.00,14000.00,14340.00,442505252790,30858752,5891,D,15350.00,14500.00
Ir.Inv.Petr-R,20201011,14550.00,15800.00,14460.00,15350.00,636179989980,41447321,8499,D,14460.00,14930.00
Ir.Inv.Petr-R,20201010,14980.00,15500.00,14010.00,14460.00,550919880230,38094865,7335,D,15560.00,14410.00
Ir.Inv.Petr-R,20201007,16500.00,16500.00,15000.00,15560.00,519290605390,33366517,6848,D,15880.00,15330.00
Ir.Inv.Petr-R,20201006,16000.00,16700.00,14770.00,15880.00,717832771380,45202634,8629,D,15530.00,16260.00
Ir.Inv.Petr-R,20201005,15090.00,16700.00,15090.00,15530.00,580409742930,37369899,6727,D,16770.00,15420.00
Ir.Inv.Petr-R,20201004,17500.00,17990.00,15440.00,16770.00,1248858827330,74447829,12112,D,17140.00,15800.00
Ir.Inv.Petr-R,20201003,16800.00,17230.00,16650.00,17140.00,361510251800,21093751,3749,D,15660.00,17230.00
Ir.Inv.Petr-R,20200930,15190.00,15820.00,14910.00,15660.00,795336140770,50783481,6230,D,14380.00,15820.00
Ir.Inv.Petr-R,20200929,13000.00,15870.00,13000.00,14380.00,910035725610,63300119,9364,D,14440.00,15380.00
Ir.Inv.Petr-R,20200928,14660.00,14890.00,14370.00,14440.00,141433004340,9796485,1315,D,15970.00,14370.00
Ir.Inv.Petr-R,20200927,17200.00,18000.00,15440.00,15970.00,1203140923590,75347856,11726,D,17150.00,16300.00
Ir.Inv.Petr-R,20200926,16950.00,17330.00,16420.00,17150.00,1021839678020,59587997,11359,D,15750.00,17330.00
Ir.Inv.Petr-R,20200923,15400.00,15810.00,15010.00,15750.00,589047586060,37397442,6903,D,14370.00,15810.00
Ir.Inv.Petr-R,20200922,14310.00,14850.00,13130.00,14370.00,807501124250,56203110,9251,D,13500.00,14850.00
Ir.Inv.Petr-R,20200921,13220.00,14100.00,12810.00,13500.00,796582160770,59013280,9325,D,14170.00,14020.00
Ir.Inv.Petr-R,20200920,14470.00,14470.00,13310.00,14170.00,1540303843710,108682354,17380,D,13150.00,14190.00
Ir.Inv.Petr-R,20200919,13150.00,13150.00,13150.00,13150.00,125731765650,9561351,3084,D,11950.00,13150.00
Ir.Inv.Petr-R,20200916,11950.00,11950.00,11950.00,11950.00,88897017950,7439081,3052,D,10870.00,11950.00
Ir.Inv.Petr-R,20200824,11600.00,11880.00,10720.00,10870.00,227506581220,20939254,3343,D,11910.00,10740.00
Ir.Inv.Petr-R,20200823,13000.00,13020.00,11720.00,11910.00,238843064000,20053983,4002,D,13020.00,11720.00
Ir.Inv.Petr-R,20200822,14280.00,14280.00,12000.00,13020.00,350252167900,26899762,3984,D,13300.00,12840.00
Ir.Inv.Petr-R,20200819,13730.00,14700.00,13250.00,13300.00,159781651470,12011428,2162,D,14720.00,13250.00
