<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Radiator-R,20210316,19790.00,22160.00,19000.00,19010.00,403517090400,21225095,892,D,23570.00,19000.00
Iran.Radiator-R,20201021,23250.00,26800.00,23230.00,23570.00,264439608730,11218091,3310,D,25810.00,23230.00
Iran.Radiator-R,20201020,25800.00,28490.00,25610.00,25810.00,338646583190,13123046,3134,D,28450.00,25610.00
Iran.Radiator-R,20201019,28490.00,28490.00,27830.00,28450.00,145708286600,5121067,1329,D,25900.00,28490.00
Iran.Radiator-R,20201018,26020.00,26040.00,25120.00,25900.00,105244269890,4062824,1166,D,23670.00,26040.00
Iran.Radiator-R,20201014,21520.00,25270.00,21170.00,23670.00,130231513180,5500840,2031,D,23360.00,25040.00
Iran.Radiator-R,20201013,24120.00,25300.00,22500.00,23360.00,70145994470,3002251,1341,D,24450.00,23000.00
Iran.Radiator-R,20201012,26800.00,26800.00,24120.00,24450.00,90725842450,3711338,1428,D,26580.00,24590.00
Iran.Radiator-R,20201007,27100.00,28480.00,25110.00,26580.00,118659070280,4464579,2048,D,27060.00,26400.00
Iran.Radiator-R,20201006,25990.00,27590.00,24500.00,27060.00,217929645100,8052423,2502,D,25080.00,27590.00
Iran.Radiator-R,20201005,23760.00,27480.00,23760.00,25080.00,103421139850,4124028,1636,D,26390.00,25040.00
Iran.Radiator-R,20201004,28000.00,28950.00,24000.00,26390.00,187361086100,7099562,2426,D,26580.00,25000.00
Iran.Radiator-R,20201003,25650.00,26870.00,25250.00,26580.00,45571035190,1714227,776,D,24430.00,26870.00
Iran.Radiator-R,20200930,23940.00,24930.00,23000.00,24430.00,77022358560,3153055,1139,D,22660.00,24930.00
Iran.Radiator-R,20200929,20000.00,23990.00,20000.00,22660.00,149593356980,6601210,1788,D,21820.00,23880.00
Iran.Radiator-R,20200928,21820.00,22000.00,21780.00,21820.00,25638822650,1175016,357,D,24200.00,21780.00
Iran.Radiator-R,20200927,24800.00,25550.00,24030.00,24200.00,24460055210,1010684,302,D,26700.00,24030.00
Iran.Radiator-R,20200926,27620.00,28380.00,25340.00,26700.00,83736986150,3135677,1379,D,27340.00,25700.00
Iran.Radiator-R,20200923,27500.00,28400.00,26240.00,27340.00,196598637720,7189985,2917,D,26230.00,27300.00
Iran.Radiator-R,20200922,25600.00,27800.00,23500.00,26230.00,267586461660,10200949,4031,D,25560.00,27240.00
Iran.Radiator-R,20200921,25560.00,25560.00,25560.00,25560.00,8663919840,338964,158,D,28400.00,25560.00
Iran.Radiator-R,20200920,29640.00,31160.00,26860.00,28400.00,167957636840,5914179,2799,D,29840.00,26860.00
Iran.Radiator-R,20200919,28890.00,31300.00,26000.00,29840.00,187746824110,6291512,3354,D,28540.00,29650.00
Iran.Radiator-R,20200916,27150.00,28810.00,26740.00,28540.00,323881019190,11348905,3591,D,26190.00,28810.00
Iran.Radiator-R,20200915,26000.00,26720.00,25000.00,26190.00,114840094370,4385215,2270,D,24950.00,26710.00
Iran.Radiator-R,20200914,23990.00,25670.00,22500.00,24950.00,105181638580,4215648,2170,D,23990.00,25600.00
Iran.Radiator-R,20200913,25550.00,25550.00,21820.00,23990.00,252686996950,10533713,3564,D,23230.00,24510.00
Iran.Radiator-R,20200912,23230.00,23230.00,23230.00,23230.00,17850048150,768405,312,D,21120.00,23230.00
Iran.Radiator-R,20200909,18180.00,21950.00,18180.00,21120.00,97541285830,4618585,1941,D,19950.00,21950.00
Iran.Radiator-R,20200908,20300.00,20900.00,19840.00,19950.00,21941078360,1099863,391,D,22040.00,19840.00
Iran.Radiator-R,20200907,23170.00,23170.00,21940.00,22040.00,34098288740,1547020,610,D,24380.00,21940.00
Iran.Radiator-R,20200906,26000.00,26390.00,22900.00,24380.00,93310429680,3827485,1484,D,24840.00,23100.00
Iran.Radiator-R,20200905,24990.00,26490.00,23300.00,24840.00,77496693770,3119705,1555,D,24460.00,25900.00
Iran.Radiator-R,20200902,24800.00,26870.00,24250.00,24460.00,103207668910,4218872,1529,D,26940.00,24360.00
Iran.Radiator-R,20200901,27000.00,28390.00,26870.00,26940.00,23935592030,888361,470,D,29860.00,26870.00
Iran.Radiator-R,20200831,32500.00,33700.00,28190.00,29860.00,177177514630,5932681,2196,D,31320.00,29000.00
Iran.Radiator-R,20200826,30300.00,31500.00,29110.00,31320.00,198263867210,6331026,1849,D,28640.00,31500.00
Iran.Radiator-R,20200825,27000.00,29110.00,26480.00,28640.00,155240620270,5420319,1742,D,26460.00,29110.00
Iran.Radiator-R,20200824,28000.00,30300.00,25840.00,26460.00,47227495760,1784586,885,D,28710.00,25840.00
Iran.Radiator-R,20200823,30000.00,31500.00,28140.00,28710.00,47750644130,1663146,1192,D,31270.00,28660.00
Iran.Radiator-R,20200822,31500.00,33000.00,30200.00,31270.00,56737266420,1814247,1274,D,30390.00,30520.00
Iran.Radiator-R,20200819,34000.00,34000.00,30070.00,30390.00,67507554700,2221328,1236,D,33410.00,30070.00
