<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sadr.Tamin.Inv-R,20210116,8000.00,8000.00,7800.00,7960.00,5013144170,629567,25,D,7960.00,7800.00
Sadr.Tamin.Inv-R,20210113,8500.00,8800.00,7940.00,7960.00,143793933600,18074242,349,D,8000.00,8000.00
Sadr.Tamin.Inv-R,20210112,8880.00,8880.00,8000.00,8000.00,25929949520,3240430,65,D,8070.00,8000.00
Sadr.Tamin.Inv-R,20210111,8820.00,8820.00,8020.00,8070.00,308110928790,38168112,704,D,8020.00,8120.00
Sadr.Tamin.Inv-R,20210110,8000.00,8800.00,8000.00,8020.00,516974097590,64427477,1128,D,8000.00,8120.00
Sadr.Tamin.Inv-R,20210109,8000.00,8000.00,8000.00,8000.00,76102472000,9512809,183,D,7950.00,8000.00
Sadr.Tamin.Inv-R,20210106,8100.00,8100.00,7950.00,7950.00,192529445050,24217084,424,D,8100.00,7950.00
Sadr.Tamin.Inv-R,20210105,8910.00,8910.00,8100.00,8100.00,246004594950,30368482,604,D,8100.00,8100.00
Sadr.Tamin.Inv-R,20210104,8000.00,8800.00,8000.00,8100.00,675476474700,83410132,2006,D,10010.00,8300.00
Sadr.Tamin.Inv-R,20200923,9790.00,10400.00,9730.00,10010.00,310101806280,30994537,4792,D,9990.00,10010.00
Sadr.Tamin.Inv-R,20200922,10150.00,10400.00,9510.00,9990.00,119824180740,11997709,1993,D,10020.00,10100.00
Sadr.Tamin.Inv-R,20200921,9660.00,10250.00,9660.00,10020.00,102760692480,10251571,1368,D,10630.00,10200.00
Sadr.Tamin.Inv-R,20200920,11160.00,11160.00,10420.00,10630.00,80831904010,7604241,1692,D,11420.00,10590.00
Sadr.Tamin.Inv-R,20200919,10670.00,11910.00,10380.00,11420.00,154754356000,13548699,2217,D,11530.00,11300.00
Sadr.Tamin.Inv-R,20200916,11900.00,12300.00,10510.00,11530.00,180526753600,15661343,2438,D,11430.00,11310.00
Sadr.Tamin.Inv-R,20200915,11400.00,11630.00,10670.00,11430.00,107668235830,9420464,1541,D,10620.00,11600.00
Sadr.Tamin.Inv-R,20200914,9970.00,10880.00,9450.00,10620.00,165612744540,15588055,1840,D,9890.00,10880.00
Sadr.Tamin.Inv-R,20200913,10310.00,10530.00,9440.00,9890.00,72739043790,7357445,1151,D,10300.00,10060.00
Sadr.Tamin.Inv-R,20200912,10300.00,10610.00,10000.00,10300.00,74711030930,7256952,1530,D,9670.00,10300.00
Sadr.Tamin.Inv-R,20200909,8600.00,10110.00,8600.00,9670.00,149772724530,15495429,2056,D,9190.00,10110.00
Sadr.Tamin.Inv-R,20200908,9190.00,9250.00,9190.00,9190.00,106671600050,11606760,1080,D,10210.00,9200.00
Sadr.Tamin.Inv-R,20200907,10390.00,10580.00,10180.00,10210.00,103234068800,10107630,1077,D,11310.00,10180.00
Sadr.Tamin.Inv-R,20200906,12330.00,12330.00,10850.00,11310.00,137147508970,12122511,1695,D,11530.00,10900.00
Sadr.Tamin.Inv-R,20200905,11900.00,11940.00,10120.00,11530.00,138776790220,12039585,2542,D,10850.00,11940.00
Sadr.Tamin.Inv-R,20200902,10990.00,11370.00,10610.00,10850.00,67039778140,6176073,1393,D,11680.00,11130.00
Sadr.Tamin.Inv-R,20200901,11550.00,12470.00,11480.00,11680.00,91717253430,7851680,1649,D,12760.00,11490.00
Sadr.Tamin.Inv-R,20200831,13610.00,13750.00,11380.00,12760.00,206561664240,16192187,2451,D,12640.00,12630.00
Sadr.Tamin.Inv-R,20200826,12540.00,12650.00,12540.00,12640.00,83477468990,6603577,1151,D,11500.00,12650.00
Sadr.Tamin.Inv-R,20200825,11940.00,11940.00,10760.00,11500.00,39700626090,3453524,325,D,12320.00,11500.00
Sadr.Tamin.Inv-R,20200811,12700.00,12800.00,12000.00,12320.00,133084576080,10804681,1523,D,13180.00,12320.00
Sadr.Tamin.Inv-R,20200810,13970.00,13970.00,12840.00,13180.00,181016466290,13731600,1748,D,13880.00,13000.00
Sadr.Tamin.Inv-R,20200809,13920.00,14140.00,13330.00,13880.00,270669551030,19494997,2621,D,13470.00,14000.00
Sadr.Tamin.Inv-R,20200805,12460.00,14170.00,12460.00,13470.00,251241923070,18645382,3216,D,12880.00,14000.00
Sadr.Tamin.Inv-R,20200804,13110.00,13110.00,12630.00,12880.00,290037441400,22515778,4956,D,13180.00,13000.00
Sadr.Tamin.Inv-R,20200803,14010.00,14130.00,12910.00,13180.00,104072082430,7895915,1688,D,13750.00,13000.00
Sadr.Tamin.Inv-R,20200802,13500.00,14120.00,13020.00,13750.00,214297267380,15583612,2914,D,13080.00,13800.00
Sadr.Tamin.Inv-R,20200801,12870.00,13500.00,12470.00,13080.00,170674691790,13048732,4651,D,12280.00,13000.00
Sadr.Tamin.Inv-R,20200729,12780.00,12780.00,11980.00,12280.00,319114146900,25986291,7644,D,12640.00,12410.00
Sadr.Tamin.Inv-R,20200728,12460.00,13400.00,12100.00,12640.00,252603551120,19977455,8109,D,12214.00,12400.00
Sadr.Tamin.Inv-R,20200727,12010.00,12600.00,12010.00,12214.00,41975363443,3436641,1370,D,1000.00,12300.00
