<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tukafoolad.Inv.-R,20210426,8000.00,8000.00,8000.00,8000.00,201313208000,25164151,576,D,8000.00,8000.00
Tukafoolad.Inv.-R,20210425,8000.00,8000.00,8000.00,8000.00,311313872000,38914234,838,D,6658.00,8000.00
Tukafoolad.Inv.-R,20201024,6740.00,7050.00,6650.00,6658.00,58527376182,8790734,1064,D,7391.00,6650.00
Tukafoolad.Inv.-R,20201021,7540.00,7800.00,6980.00,7391.00,54597371272,7387196,1715,D,7111.00,7250.00
Tukafoolad.Inv.-R,20201020,7010.00,7700.00,6980.00,7111.00,65398013722,9196753,1365,D,7759.00,7380.00
Tukafoolad.Inv.-R,20201019,7880.00,8420.00,7710.00,7759.00,44642247862,5753907,937,D,8563.00,7752.00
Tukafoolad.Inv.-R,20201018,8930.00,9290.00,8440.00,8563.00,47406606226,5536125,1103,D,9376.00,8440.00
Tukafoolad.Inv.-R,20201014,9520.00,9660.00,9100.00,9376.00,33897712984,3615228,874,D,9924.00,9450.00
Tukafoolad.Inv.-R,20201013,9900.00,10600.00,9710.00,9924.00,52509486978,5291250,1091,D,10147.00,9960.00
Tukafoolad.Inv.-R,20201012,10700.00,10850.00,9800.00,10147.00,71658493942,7062225,1355,D,10856.00,10000.00
Tukafoolad.Inv.-R,20201011,10240.00,11180.00,10240.00,10856.00,119231993090,10983111,2017,D,10437.00,10541.00
Tukafoolad.Inv.-R,20201010,10500.00,10950.00,10010.00,10437.00,68738977996,6586157,1597,D,10812.00,10249.00
Tukafoolad.Inv.-R,20201007,10980.00,11200.00,10400.00,10812.00,86128724850,7966373,1847,D,10367.00,10799.00
Tukafoolad.Inv.-R,20201006,10100.00,10610.00,9990.00,10367.00,73565244821,7095995,1618,D,9645.00,10610.00
Tukafoolad.Inv.-R,20201005,9210.00,9990.00,9210.00,9645.00,56255512588,5832409,1165,D,10197.00,9870.00
Tukafoolad.Inv.-R,20201004,11250.00,11250.00,9890.00,10197.00,85443309102,8379598,1679,D,10990.00,9890.00
Tukafoolad.Inv.-R,20201003,10268.00,11270.00,10268.00,10990.00,95874861495,8723608,2152,D,10268.00,11250.00
Tukafoolad.Inv.-R,20200930,10400.00,10600.00,9770.00,10268.00,75204807200,7324036,1663,D,9745.00,10560.00
Tukafoolad.Inv.-R,20200929,8520.00,9910.00,8520.00,9745.00,83082668205,8525563,1600,D,9006.00,9910.00
Tukafoolad.Inv.-R,20200928,9130.00,9500.00,8980.00,9006.00,37585580833,4173589,631,D,9973.00,8980.00
Tukafoolad.Inv.-R,20200927,10690.00,10690.00,9500.00,9973.00,65288684490,6546854,1229,D,10487.00,9800.00
Tukafoolad.Inv.-R,20200926,10290.00,10550.00,10010.00,10487.00,123560962068,11782237,1874,D,9594.00,10550.00
Tukafoolad.Inv.-R,20200923,9390.00,9750.00,9044.00,9594.00,106670313135,11118709,1939,D,8866.00,9750.00
Tukafoolad.Inv.-R,20200922,8880.00,9200.00,8371.00,8866.00,50300040598,5673508,1206,D,8671.00,9080.00
Tukafoolad.Inv.-R,20200921,8990.00,8990.00,8500.00,8671.00,24532341419,2829123,752,D,9382.00,8740.00
Tukafoolad.Inv.-R,20200920,9600.00,10300.00,9060.00,9382.00,70897524987,7556453,1806,D,10062.00,9060.00
Tukafoolad.Inv.-R,20200919,9900.00,10680.00,9200.00,10062.00,129523503588,12873153,2425,D,10161.00,9710.00
Tukafoolad.Inv.-R,20200916,10550.00,10600.00,9500.00,10161.00,266791017683,26257297,3370,D,9751.00,9850.00
Tukafoolad.Inv.-R,20200915,9300.00,9950.00,9060.00,9751.00,117349110069,12035060,2471,D,9041.00,9950.00
Tukafoolad.Inv.-R,20200914,8550.00,9390.00,8550.00,9041.00,111077185402,12286416,2060,D,8800.00,9120.00
Tukafoolad.Inv.-R,20200913,9160.00,9399.00,8200.00,8800.00,96615071191,10979179,1791,D,9096.00,8890.00
Tukafoolad.Inv.-R,20200912,9120.00,9120.00,8750.00,9096.00,83162814920,9142633,1826,D,8293.00,9120.00
Tukafoolad.Inv.-R,20200909,7370.00,8700.00,7370.00,8293.00,54534424354,6576008,1874,D,7905.00,8700.00
Tukafoolad.Inv.-R,20200908,7900.00,8190.00,7900.00,7905.00,56124655401,7099724,1278,D,8779.00,7900.00
Tukafoolad.Inv.-R,20200907,8980.00,9000.00,8740.00,8779.00,16017408232,1824601,517,D,9713.00,8740.00
Tukafoolad.Inv.-R,20200906,10020.00,10020.00,9110.00,9713.00,132923488840,13684578,3086,D,9110.00,9461.00
Tukafoolad.Inv.-R,20200905,9110.00,9110.00,9110.00,9110.00,22562818990,2476709,1086,D,8286.00,9110.00
Tukafoolad.Inv.-R,20200902,8000.00,9080.00,8000.00,8286.00,69300022431,8363360,3176,D,8490.00,8991.00
Tukafoolad.Inv.-R,20200901,9300.00,9300.00,8370.00,8490.00,32511212067,3829338,1506,D,176.00,8420.00
Tukafoolad.Inv.-R,20170523,176.00,176.00,176.00,176.00,4822400000,27400000,548,D,160.00,176.00
Tukafoolad.Inv.-R,20170522,151.00,177.00,151.00,160.00,20736675295,129508335,4691,D,161.00,177.00
Tukafoolad.Inv.-R,20170521,165.00,165.00,158.00,161.00,393100000,2435000,99,D,175.00,160.00
Tukafoolad.Inv.-R,20170520,185.00,185.00,168.00,175.00,108440000,620000,27,D,185.00,168.00
Tukafoolad.Inv.-R,20170314,188.00,205.00,177.00,185.00,1841034582,9961950,564,D,195.00,177.00
Tukafoolad.Inv.-R,20170313,192.00,207.00,188.00,195.00,1013024501,5198888,352,D,208.00,188.00
Tukafoolad.Inv.-R,20170312,182.00,214.00,182.00,208.00,1054736475,5059363,351,D,195.00,204.00
Tukafoolad.Inv.-R,20170311,199.00,209.00,191.00,195.00,462284012,2365961,225,D,210.00,193.00
Tukafoolad.Inv.-R,20170308,221.00,236.00,208.00,210.00,1131777526,5383764,334,D,231.00,208.00
Tukafoolad.Inv.-R,20170307,237.00,242.00,221.00,231.00,548029853,2375704,168,D,228.00,225.00
Tukafoolad.Inv.-R,20170306,211.00,239.00,211.00,228.00,1057273104,4627450,318,D,228.00,228.00
Tukafoolad.Inv.-R,20170305,224.00,239.00,221.00,228.00,1049419996,4603888,274,D,245.00,227.00
Tukafoolad.Inv.-R,20170304,269.00,269.00,229.00,245.00,1618007839,6591137,442,D,254.00,230.00
Tukafoolad.Inv.-R,20170301,254.00,254.00,247.00,254.00,2217693559,8737582,478,D,231.00,254.00
Tukafoolad.Inv.-R,20170228,209.00,234.00,209.00,231.00,571911854,2481139,181,D,213.00,234.00
Tukafoolad.Inv.-R,20170227,213.00,218.00,209.00,213.00,342496794,1610268,185,D,217.00,211.00
Tukafoolad.Inv.-R,20170226,198.00,228.00,198.00,217.00,1133094560,5219520,410,D,213.00,210.00
Tukafoolad.Inv.-R,20170225,237.00,237.00,209.00,213.00,752365877,3534161,289,D,232.00,210.00
Tukafoolad.Inv.-R,20170222,231.00,241.00,225.00,232.00,513086111,2214544,214,D,238.00,228.00
Tukafoolad.Inv.-R,20170221,250.00,253.00,225.00,238.00,410177084,1722602,153,D,239.00,242.00
Tukafoolad.Inv.-R,20170220,253.00,253.00,234.00,239.00,270767404,1133047,96,D,249.00,240.00
Tukafoolad.Inv.-R,20170219,269.00,270.00,243.00,249.00,1486545287,5975643,515,D,268.00,251.00
Tukafoolad.Inv.-R,20170218,259.00,279.00,252.00,268.00,578717482,2157153,171,D,255.00,262.00
Tukafoolad.Inv.-R,20170215,250.00,263.00,242.00,255.00,856038929,3358335,279,D,250.00,258.00
Tukafoolad.Inv.-R,20170214,260.00,261.00,244.00,250.00,370202286,1478151,137,D,257.00,244.00
Tukafoolad.Inv.-R,20170213,243.00,263.00,243.00,257.00,817467928,3178906,274,D,240.00,254.00
Tukafoolad.Inv.-R,20170212,237.00,255.00,235.00,240.00,1419069971,5909717,344,D,255.00,246.00
Tukafoolad.Inv.-R,20170211,270.00,283.00,249.00,255.00,594510829,2329207,185,D,268.00,253.00
Tukafoolad.Inv.-R,20170208,275.00,289.00,260.00,268.00,1025414097,3827829,315,D,282.00,268.00
Tukafoolad.Inv.-R,20170207,294.00,294.00,276.00,282.00,478588733,1695630,157,D,294.00,288.00
Tukafoolad.Inv.-R,20170206,290.00,309.00,285.00,294.00,1269202178,4313552,322,D,302.00,288.00
Tukafoolad.Inv.-R,20170205,280.00,319.00,267.00,302.00,2544887397,8418174,681,D,290.00,299.00
Tukafoolad.Inv.-R,20170204,293.00,299.00,289.00,290.00,1281088981,4411754,301,D,321.00,289.00
Tukafoolad.Inv.-R,20170201,335.00,348.00,318.00,321.00,2795579319,8716132,546,D,353.00,318.00
Tukafoolad.Inv.-R,20170131,358.00,358.00,301.00,353.00,10052877258,28511414,1492,D,326.00,337.00
Tukafoolad.Inv.-R,20170130,326.00,326.00,326.00,326.00,767497236,2354286,119,D,297.00,326.00
Tukafoolad.Inv.-R,20170129,260.00,304.00,260.00,297.00,3061583211,10320051,779,D,277.00,304.00
Tukafoolad.Inv.-R,20170128,289.00,299.00,273.00,277.00,2389128061,8636984,620,D,303.00,273.00
Tukafoolad.Inv.-R,20170125,298.00,320.00,286.00,303.00,2152055674,7091175,625,D,298.00,299.00
Tukafoolad.Inv.-R,20170124,298.00,298.00,289.00,298.00,4573203689,15370619,951,D,271.00,298.00
Tukafoolad.Inv.-R,20170123,271.00,271.00,271.00,271.00,645167261,2380691,221,D,247.00,271.00
Tukafoolad.Inv.-R,20170122,247.00,250.00,247.00,247.00,663667814,2683382,111,D,93.00,250.00
Tukafoolad.Inv.-R,20150614,102.00,102.00,93.00,93.00,6890818714,74016931,3641,D,93.00,94.00
Tukafoolad.Inv.-R,20150613,100.00,100.00,93.00,93.00,5425965902,58342214,1175,D,93.00,93.00
Tukafoolad.Inv.-R,20150610,94.00,94.00,93.00,93.00,6522190000,70130000,2805,D,103.00,93.00
Tukafoolad.Inv.-R,20150609,103.00,103.00,103.00,103.00,5150000,50000,2,D,114.00,103.00
Tukafoolad.Inv.-R,20150608,115.00,115.00,114.00,114.00,13887920,121780,7,D,126.00,114.00
Tukafoolad.Inv.-R,20150606,126.00,126.00,125.00,126.00,33290000,265000,9,D,138.00,125.00
Tukafoolad.Inv.-R,20150602,150.00,150.00,138.00,138.00,13110820000,95000000,32547,D,153.00,138.00
Tukafoolad.Inv.-R,20150601,165.00,165.00,150.00,153.00,31712570,207288,16,D,150.00,150.00
Tukafoolad.Inv.-R,20150531,150.00,150.00,150.00,150.00,6900000000,46000000,941,D,286.00,150.00
Tukafoolad.Inv.-R,20150315,291.00,293.00,276.00,286.00,3666362248,12823402,1077,D,275.00,292.00
Tukafoolad.Inv.-R,20150314,258.00,278.00,250.00,275.00,3693539001,13445164,999,D,258.00,278.00
Tukafoolad.Inv.-R,20150311,255.00,265.00,252.00,258.00,1176739542,4562303,392,D,272.00,261.00
Tukafoolad.Inv.-R,20150310,272.00,293.00,271.00,272.00,3310395498,12172273,802,D,294.00,271.00
Tukafoolad.Inv.-R,20150309,300.00,310.00,291.00,294.00,3213013190,10918940,652,D,316.00,291.00
Tukafoolad.Inv.-R,20150308,320.00,324.00,313.00,316.00,783827324,2478420,181,D,340.00,313.00
Tukafoolad.Inv.-R,20150307,355.00,357.00,323.00,340.00,714022078,2102936,170,D,345.00,330.00
Tukafoolad.Inv.-R,20150304,340.00,358.00,335.00,345.00,2035468534,5906215,317,D,348.00,345.00
Tukafoolad.Inv.-R,20150303,354.00,367.00,343.00,348.00,1090492670,3132966,251,D,368.00,343.00
Tukafoolad.Inv.-R,20150302,353.00,375.00,353.00,368.00,1959231331,5328616,601,D,356.00,362.00
Tukafoolad.Inv.-R,20150301,350.00,368.00,343.00,356.00,2252285733,6325788,387,D,348.00,355.00
Tukafoolad.Inv.-R,20150228,342.00,373.00,341.00,348.00,2026866885,5819662,455,D,365.00,358.00
Tukafoolad.Inv.-R,20150225,380.00,385.00,364.00,365.00,2748473012,7532296,366,D,395.00,364.00
Tukafoolad.Inv.-R,20150224,391.00,430.00,385.00,395.00,5485591021,13882179,828,D,418.00,385.00
Tukafoolad.Inv.-R,20150223,420.00,440.00,416.00,418.00,4078728881,9746668,730,D,452.00,416.00
Tukafoolad.Inv.-R,20150222,463.00,463.00,429.00,452.00,9145861510,20251657,1123,D,429.00,436.00
Tukafoolad.Inv.-R,20150221,381.00,434.00,381.00,429.00,9884444116,23065655,4612,D,402.00,434.00
Tukafoolad.Inv.-R,20150218,419.00,421.00,380.00,402.00,6665325021,16560450,1067,D,390.00,381.00
Tukafoolad.Inv.-R,20150217,390.00,390.00,389.00,390.00,6893057470,17674873,694,D,362.00,390.00
Tukafoolad.Inv.-R,20150216,362.00,362.00,362.00,362.00,1216574848,3360704,149,D,336.00,362.00
Tukafoolad.Inv.-R,20150215,336.00,336.00,335.00,336.00,2236549881,6656732,319,D,312.00,336.00
Tukafoolad.Inv.-R,20150214,312.00,312.00,312.00,312.00,517525320,1658735,75,D,289.00,312.00
Tukafoolad.Inv.-R,20150210,275.00,315.00,275.00,289.00,4174344382,14460833,1174,D,298.00,306.00
Tukafoolad.Inv.-R,20150209,292.00,310.00,292.00,298.00,2983061745,10017938,511,D,317.00,292.00
Tukafoolad.Inv.-R,20150208,319.00,330.00,316.00,317.00,3492994767,11019815,651,D,343.00,316.00
