<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Arfa.Steel.Co.-R,20210314,13050.00,13050.00,12107.00,12107.00,724907345014,59874912,395,D,12354.00,12107.00
Arfa.Steel.Co.-R,20210313,12800.00,12800.00,12250.00,12354.00,25219767250,2041435,52,D,12103.00,12250.00
Arfa.Steel.Co.-R,20210310,12400.00,12400.00,12055.00,12103.00,182797021365,15102956,115,D,12301.00,12055.00
Arfa.Steel.Co.-R,20210309,12550.00,12550.00,12300.00,12301.00,2551760000,207450,6,D,11939.00,12300.00
Arfa.Steel.Co.-R,20210308,11939.00,11939.00,11939.00,11939.00,49254344500,4125500,31,D,12182.00,11939.00
Arfa.Steel.Co.-R,20210307,12182.00,12182.00,12182.00,12182.00,249731000,20500,2,D,12430.00,12182.00
Arfa.Steel.Co.-R,20210306,12850.00,12850.00,12266.00,12430.00,342050270,27519,4,D,12516.00,12266.00
Arfa.Steel.Co.-R,20210302,12600.00,12600.00,12051.00,12516.00,36922950,2950,2,D,12296.00,12051.00
Arfa.Steel.Co.-R,20210301,12836.00,12836.00,11868.00,12296.00,299745996,24378,20,D,12110.00,11868.00
Arfa.Steel.Co.-R,20210228,12450.00,12450.00,11778.00,12110.00,10778100,890,2,D,12018.00,11778.00
Arfa.Steel.Co.-R,20210227,12300.00,12300.00,11784.00,12018.00,26487936,2204,3,D,12024.00,11784.00
Arfa.Steel.Co.-R,20210224,12790.00,12790.00,11849.00,12024.00,277084985,23045,11,D,12090.00,11849.00
Arfa.Steel.Co.-R,20210223,12090.00,12090.00,12090.00,12090.00,21919170,1813,2,D,9892.00,12090.00
Arfa.Steel.Co.-R,20201028,9500.00,10427.00,9436.00,9892.00,97967753703,9904145,3382,D,9931.00,10427.00
Arfa.Steel.Co.-R,20201027,9903.00,10300.00,9883.00,9931.00,79627845231,8018314,1388,D,10403.00,9900.00
Arfa.Steel.Co.-R,20201026,10373.00,10850.00,10373.00,10403.00,62466697406,6004889,1268,D,10918.00,10374.00
Arfa.Steel.Co.-R,20201024,11000.00,11590.00,10852.00,10918.00,22935770895,2100770,612,D,11423.00,10852.00
Arfa.Steel.Co.-R,20201021,11753.00,12380.00,11316.00,11423.00,54702178879,4788643,1051,D,11911.00,11318.00
Arfa.Steel.Co.-R,20201020,11888.00,12400.00,11888.00,11911.00,54007806613,4534299,656,D,12513.00,12000.00
Arfa.Steel.Co.-R,20201019,12520.00,12600.00,12497.00,12513.00,11942220091,954408,368,D,13154.00,12497.00
Arfa.Steel.Co.-R,20201018,13500.00,14200.00,13099.00,13154.00,81870930356,6224057,651,D,13788.00,13099.00
Arfa.Steel.Co.-R,20201014,13662.00,14200.00,13430.00,13788.00,39387989795,2856625,1125,D,14045.00,14000.00
Arfa.Steel.Co.-R,20201013,14090.00,14600.00,13820.00,14045.00,43154559445,3072621,1085,D,14443.00,14300.00
Arfa.Steel.Co.-R,20201012,14000.00,15079.00,14000.00,14443.00,57785779059,4001090,1036,D,14716.00,14200.00
Arfa.Steel.Co.-R,20201011,13760.00,14805.00,13760.00,14716.00,76799626699,5218667,1307,D,14100.00,14600.00
Arfa.Steel.Co.-R,20201010,14200.00,14260.00,13996.00,14100.00,84732948321,6009598,1511,D,14732.00,14260.00
Arfa.Steel.Co.-R,20201007,14530.00,15141.00,14510.00,14732.00,83541817474,5670691,1689,D,15141.00,14600.00
Arfa.Steel.Co.-R,20201006,13732.00,15176.00,13732.00,15141.00,5337907950,352541,110,D,14454.00,15176.00
Arfa.Steel.Co.-R,20201005,14460.00,14990.00,14443.00,14454.00,106198007681,7347321,1415,D,15203.00,14600.00
Arfa.Steel.Co.-R,20201004,15280.00,15600.00,15189.00,15203.00,95207746219,6262308,1180,D,15988.00,15189.00
Arfa.Steel.Co.-R,20201003,16350.00,16350.00,15504.00,15988.00,160663281635,10048780,2135,D,16020.00,15600.00
Arfa.Steel.Co.-R,20200930,15501.00,16241.00,15300.00,16020.00,150250967136,9378924,2361,D,15468.00,16241.00
Arfa.Steel.Co.-R,20200929,15230.00,16590.00,15230.00,15468.00,196730379832,12718748,2653,D,16031.00,15700.00
Arfa.Steel.Co.-R,20200928,16031.00,16031.00,16031.00,16031.00,711567997,44387,22,D,16874.00,16031.00
Arfa.Steel.Co.-R,20200927,17050.00,17580.00,16700.00,16874.00,23954170439,1419579,317,D,17578.00,16700.00
Arfa.Steel.Co.-R,20200926,17570.00,17599.00,17000.00,17578.00,190053606499,10812195,2230,D,16761.00,17599.00
Arfa.Steel.Co.-R,20200923,16780.00,16780.00,16300.00,16761.00,230397162493,13746081,2186,D,15981.00,16780.00
Arfa.Steel.Co.-R,20200922,16000.00,16000.00,15290.00,15981.00,205280479524,12844962,1862,D,15239.00,16000.00
Arfa.Steel.Co.-R,20200921,15271.00,15990.00,14508.00,15239.00,375513955381,24641951,4267,D,15271.00,15890.00
Arfa.Steel.Co.-R,20200920,15271.00,15271.00,15271.00,15271.00,135335664086,8862266,1707,D,14544.00,15271.00
Arfa.Steel.Co.-R,20200919,14544.00,14544.00,14544.00,14544.00,14659144848,1007917,900,D,13852.00,14544.00
Arfa.Steel.Co.-R,20200916,13852.00,13852.00,13852.00,13852.00,11400237556,823003,721,D,13193.00,13852.00
Arfa.Steel.Co.-R,20200915,13193.00,13193.00,13193.00,13193.00,15202491795,1152315,440,D,12565.00,13193.00
Arfa.Steel.Co.-R,20200914,12565.00,12565.00,12565.00,12565.00,6677669250,531450,501,D,11967.00,12565.00
Arfa.Steel.Co.-R,20200913,11967.00,11967.00,11967.00,11967.00,64871778663,5420889,1051,D,11398.00,11967.00
Arfa.Steel.Co.-R,20200912,11398.00,11398.00,11398.00,11398.00,14200847986,1245907,745,D,10856.00,11398.00
Arfa.Steel.Co.-R,20200909,10090.00,10896.00,10090.00,10856.00,45491927131,4190596,2259,D,10378.00,10896.00
Arfa.Steel.Co.-R,20200908,10319.00,10600.00,10319.00,10378.00,120769467657,11637384,3889,D,10862.00,10320.00
Arfa.Steel.Co.-R,20200907,11357.00,11357.00,10790.00,10862.00,192562216121,17727455,6911,D,11357.00,10807.00
Arfa.Steel.Co.-R,20200906,11000.00,11550.00,11000.00,11357.00,106766047990,9400875,3875,D,5200.00,11550.00
Arfa.Steel.Co.-R,20200121,5200.00,5200.00,5200.00,5200.00,64819523600,12465293,130,D,3256.00,5200.00
Arfa.Steel.Co.-R,20191207,3151.00,3350.00,3151.00,3256.00,13223115988,4060943,936,D,3261.00,3320.00
Arfa.Steel.Co.-R,20191204,3204.00,3300.00,3204.00,3261.00,6268253704,1922273,384,D,3273.00,3279.00
Arfa.Steel.Co.-R,20191203,3300.00,3348.00,3220.00,3273.00,2860942264,874166,246,D,3201.00,3299.00
Arfa.Steel.Co.-R,20191202,3053.00,3220.00,3053.00,3201.00,8475141078,2647435,357,D,3067.00,3220.00
Arfa.Steel.Co.-R,20191201,3078.00,3111.00,3034.00,3067.00,3242440327,1057067,297,D,3045.00,3086.00
Arfa.Steel.Co.-R,20191130,3035.00,3089.00,3032.00,3045.00,4347121878,1427476,255,D,3042.00,3065.00
Arfa.Steel.Co.-R,20191127,3067.00,3073.00,3021.00,3042.00,3920501465,1288837,204,D,3047.00,3060.00
Arfa.Steel.Co.-R,20191126,3095.00,3095.00,3002.00,3047.00,2531531656,830952,231,D,3037.00,3060.00
Arfa.Steel.Co.-R,20191125,2983.00,3096.00,2983.00,3037.00,4978132625,1639389,299,D,2949.00,3061.00
Arfa.Steel.Co.-R,20191124,2989.00,2989.00,2920.00,2949.00,2387750851,809617,178,D,2987.00,2983.00
Arfa.Steel.Co.-R,20191123,2883.00,3022.00,2883.00,2987.00,1110571728,371776,141,D,2982.00,2958.00
Arfa.Steel.Co.-R,20191120,2983.00,3016.00,2950.00,2982.00,1647697914,552475,149,D,3011.00,3016.00
Arfa.Steel.Co.-R,20191119,2921.00,3050.00,2921.00,3011.00,2586372566,859107,131,D,2972.00,2983.00
Arfa.Steel.Co.-R,20191118,2858.00,3019.00,2858.00,2972.00,1718811997,578423,112,D,2953.00,3015.00
Arfa.Steel.Co.-R,20191117,2998.00,3003.00,2901.00,2953.00,1621849775,549300,98,D,2955.00,2950.00
Arfa.Steel.Co.-R,20191116,2940.00,3000.00,2900.00,2955.00,3050272375,1032150,178,D,2942.00,3000.00
Arfa.Steel.Co.-R,20191113,2955.00,2989.00,2921.00,2942.00,1962568480,667133,135,D,2955.00,2989.00
Arfa.Steel.Co.-R,20191112,2903.00,3000.00,2900.00,2955.00,2685257441,908577,219,D,2881.00,2957.00
Arfa.Steel.Co.-R,20191111,2754.00,2950.00,2754.00,2881.00,1732109162,601173,178,D,2852.00,2903.00
Arfa.Steel.Co.-R,20191110,2922.00,2922.00,2812.00,2852.00,4584985560,1607445,269,D,2960.00,2909.00
Arfa.Steel.Co.-R,20191109,2913.00,3037.00,2913.00,2960.00,1337365380,451768,136,D,2985.00,2949.00
Arfa.Steel.Co.-R,20191105,2903.00,3005.00,2903.00,2985.00,1585882081,531328,173,D,2975.00,2975.00
Arfa.Steel.Co.-R,20191104,3010.00,3011.00,2902.00,2975.00,1901148807,639081,235,D,3026.00,2950.00
Arfa.Steel.Co.-R,20191103,3010.00,3056.00,3000.00,3026.00,2158930559,713454,289,D,3046.00,3039.00
Arfa.Steel.Co.-R,20191102,3140.00,3140.00,3001.00,3046.00,2332655846,765859,248,D,3042.00,3049.00
Arfa.Steel.Co.-R,20191030,2951.00,3150.00,2951.00,3042.00,3679631472,1209616,321,D,3009.00,3084.00
Arfa.Steel.Co.-R,20191028,3098.00,3098.00,2951.00,3009.00,2569070565,853778,233,D,3001.00,3005.00
Arfa.Steel.Co.-R,20191026,3100.00,3100.00,2893.00,3001.00,2031281500,676794,207,D,2998.00,3099.00
Arfa.Steel.Co.-R,20191023,3089.00,3180.00,2950.00,2998.00,2071036919,690794,159,D,3061.00,3076.00
Arfa.Steel.Co.-R,20191022,3002.00,3084.00,3002.00,3061.00,2124480645,694065,224,D,2938.00,3054.00
Arfa.Steel.Co.-R,20191021,2922.00,3051.00,2899.00,2938.00,3028036444,1030714,341,D,3051.00,3050.00
Arfa.Steel.Co.-R,20191020,3161.00,3280.00,2986.00,3051.00,3765067459,1234162,331,D,3131.00,2999.00
Arfa.Steel.Co.-R,20191016,3073.00,3333.00,3073.00,3131.00,9748494488,3113956,748,D,3234.00,3163.00
Arfa.Steel.Co.-R,20191015,3234.00,3234.00,3234.00,3234.00,1941919980,600470,92,D,3404.00,3234.00
Arfa.Steel.Co.-R,20191014,3404.00,3404.00,3404.00,3404.00,4430081336,1301434,251,D,3583.00,3404.00
Arfa.Steel.Co.-R,20191013,3820.00,3820.00,3458.00,3583.00,13343340366,3724232,957,D,3639.00,3459.00
Arfa.Steel.Co.-R,20191012,3500.00,3675.00,3340.00,3639.00,3080983046,846606,396,D,5702.00,3675.00
Arfa.Steel.Co.-R,20190129,5702.00,5702.00,5702.00,5702.00,7612050258,1334979,15,D,5702.00,5702.00
Arfa.Steel.Co.-R,20190128,5740.00,5740.00,5702.00,5702.00,78031567408,13683857,163,D,6000.00,5702.00
Arfa.Steel.Co.-R,20190123,6000.00,6000.00,6000.00,6000.00,6000000000,1000000,10,D,3866.00,6000.00
Arfa.Steel.Co.-R,20181212,3751.00,4029.00,3660.00,3866.00,27883195798,7213257,317,D,3838.00,4029.00
Arfa.Steel.Co.-R,20181210,3734.00,3900.00,3734.00,3838.00,2756812879,718383,62,D,3930.00,3860.00
Arfa.Steel.Co.-R,20181209,4013.00,4030.00,3888.00,3930.00,3959192824,1007517,74,D,4092.00,3888.00
Arfa.Steel.Co.-R,20181208,4051.00,4200.00,4051.00,4092.00,239356520,58490,28,D,4224.00,4111.00
Arfa.Steel.Co.-R,20181205,4150.00,4279.00,4150.00,4224.00,1583432214,374871,51,D,4171.00,4200.00
Arfa.Steel.Co.-R,20181204,4100.00,4191.00,4010.00,4171.00,3274686214,785067,120,D,3992.00,4191.00
Arfa.Steel.Co.-R,20181203,3810.00,3999.00,3810.00,3992.00,986587215,247149,47,D,3809.00,3999.00
Arfa.Steel.Co.-R,20181202,3890.00,3927.00,3651.00,3809.00,4186309000,1098951,88,D,3740.00,3927.00
Arfa.Steel.Co.-R,20181201,3740.00,3750.00,3740.00,3740.00,85449040,22846,13,D,3936.00,3740.00
Arfa.Steel.Co.-R,20181128,3999.00,3999.00,3756.00,3936.00,96644611,24556,10,D,3945.00,3769.00
Arfa.Steel.Co.-R,20181127,4030.00,4036.00,3812.00,3945.00,2496473044,632749,48,D,3844.00,3880.00
Arfa.Steel.Co.-R,20181126,4030.00,4030.00,3838.00,3844.00,2271644993,590993,73,D,4040.00,3846.00
Arfa.Steel.Co.-R,20181124,4030.00,4100.00,4029.00,4040.00,758880618,187863,36,D,4190.00,4100.00
