<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Alborz.Invest.-R,20210224,6400.00,6400.00,6341.00,6341.00,67689637450,10674450,56,D,6341.00,6341.00
Alborz.Invest.-R,20210223,6421.00,6421.00,6341.00,6341.00,39949579700,6300150,47,D,6341.00,6341.00
Alborz.Invest.-R,20210222,6425.00,6425.00,6225.00,6341.00,333745325,52637,9,D,6250.00,6225.00
Alborz.Invest.-R,20210221,6250.00,6250.00,6250.00,6250.00,1500000000,240000,5,D,6301.00,6250.00
Alborz.Invest.-R,20210220,6400.00,6400.00,6300.00,6301.00,4579880800,726800,10,D,6351.00,6300.00
Alborz.Invest.-R,20210217,6450.00,6837.00,6337.00,6351.00,24001902946,3779282,58,D,6450.00,6350.00
Alborz.Invest.-R,20210216,6450.00,6450.00,6450.00,6450.00,105618750,16375,7,D,5629.00,6450.00
Alborz.Invest.-R,20201024,5600.00,5920.00,5549.00,5629.00,28276730033,5023792,1097,D,5841.00,5549.00
Alborz.Invest.-R,20201021,5700.00,6228.00,5643.00,5841.00,34496383820,5905827,874,D,5939.00,5700.00
Alborz.Invest.-R,20201020,5939.00,5939.00,5939.00,5939.00,3402981671,572989,108,D,6251.00,5939.00
Alborz.Invest.-R,20201019,6251.00,6251.00,6251.00,6251.00,4513672072,722072,76,D,6579.00,6251.00
Alborz.Invest.-R,20201018,6575.00,6900.00,6574.00,6579.00,2714225914,412573,78,D,6920.00,6574.00
Alborz.Invest.-R,20201014,6917.00,6978.00,6917.00,6920.00,4587565822,662966,68,D,7281.00,6917.00
Alborz.Invest.-R,20201013,7850.00,7850.00,7196.00,7281.00,9898777260,1359451,148,D,7574.00,7196.00
Alborz.Invest.-R,20201012,7480.00,8190.00,7466.00,7574.00,5917508508,781263,194,D,7858.00,7466.00
Alborz.Invest.-R,20201011,7260.00,7907.00,7260.00,7858.00,12814079194,1630705,514,D,7531.00,7700.00
Alborz.Invest.-R,20201010,7671.00,7830.00,7440.00,7531.00,17757745218,2358077,579,D,7828.00,7440.00
Alborz.Invest.-R,20201007,7840.00,7840.00,7500.00,7828.00,21194986584,2707517,441,D,7467.00,7830.00
Alborz.Invest.-R,20201006,7467.00,7467.00,7467.00,7467.00,256707993,34379,21,D,7112.00,7467.00
Alborz.Invest.-R,20201005,7500.00,7500.00,6878.00,7112.00,6590577978,926740,243,D,7240.00,7100.00
Alborz.Invest.-R,20201004,7278.00,7278.00,6666.00,7240.00,16571312810,2288886,433,D,6932.00,7278.00
Alborz.Invest.-R,20201003,6932.00,6932.00,6932.00,6932.00,2271588672,327696,129,D,6602.00,6932.00
Alborz.Invest.-R,20200930,6150.00,6651.00,6150.00,6602.00,11389466378,1725281,367,D,6335.00,6651.00
Alborz.Invest.-R,20200929,6303.00,6632.00,6303.00,6335.00,9355818142,1476875,380,D,6634.00,6304.00
Alborz.Invest.-R,20200928,6632.00,6970.00,6632.00,6634.00,2985014285,449951,136,D,6981.00,6632.00
Alborz.Invest.-R,20200927,7020.00,7062.00,6971.00,6981.00,5664064588,811374,186,D,7337.00,6971.00
Alborz.Invest.-R,20200926,7201.00,7880.00,7173.00,7337.00,12539288483,1708983,399,D,7532.00,7173.00
Alborz.Invest.-R,20200923,7830.00,8057.00,7332.00,7532.00,17458031727,2317779,625,D,7681.00,7382.00
Alborz.Invest.-R,20200922,7565.00,7958.00,7561.00,7681.00,15160248960,1973725,516,D,7958.00,7830.00
Alborz.Invest.-R,20200921,7958.00,7958.00,7958.00,7958.00,8507674976,1069072,41,D,8376.00,7958.00
Alborz.Invest.-R,20200920,8375.00,8400.00,8375.00,8376.00,12091921165,1443656,304,D,8815.00,8375.00
Alborz.Invest.-R,20200919,8815.00,8825.00,8815.00,8815.00,8142335820,923663,147,D,9278.00,8815.00
Alborz.Invest.-R,20200916,9682.00,9682.00,8760.00,9278.00,44692606187,4816836,957,D,9221.00,8780.00
Alborz.Invest.-R,20200915,9221.00,9221.00,9221.00,9221.00,1913836992,207552,190,D,8782.00,9221.00
Alborz.Invest.-R,20200914,8782.00,8782.00,8782.00,8782.00,4717699182,537201,180,D,8364.00,8782.00
Alborz.Invest.-R,20200913,8376.00,8376.00,7700.00,8364.00,19568033448,2339575,509,D,7978.00,8376.00
Alborz.Invest.-R,20200912,7978.00,7978.00,7978.00,7978.00,14247415564,1785838,407,D,7599.00,7978.00
Alborz.Invest.-R,20200909,7302.00,8040.00,7302.00,7599.00,24030665789,3162495,1344,D,7686.00,7700.00
Alborz.Invest.-R,20200908,7686.00,7686.00,7686.00,7686.00,164188332,21362,13,D,8090.00,7686.00
Alborz.Invest.-R,20200907,8090.00,8090.00,8090.00,8090.00,1827409650,225885,50,D,8515.00,8090.00
Alborz.Invest.-R,20200906,8700.00,8990.00,8272.00,8515.00,26380078558,3098238,941,D,8707.00,8272.00
Alborz.Invest.-R,20200905,9000.00,9300.00,8550.00,8707.00,52880390354,6073078,1877,D,3578.00,9000.00
Alborz.Invest.-R,20200111,3578.00,3578.00,3578.00,3578.00,7691279534,2149603,46,D,3508.00,3578.00
Alborz.Invest.-R,20200108,3508.00,3508.00,3508.00,3508.00,75597400,21550,4,D,3579.00,3508.00
Alborz.Invest.-R,20200107,3579.00,3579.00,3579.00,3579.00,90634596,25324,9,D,3767.00,3579.00
Alborz.Invest.-R,20200105,3800.00,3800.00,3760.00,3767.00,245103200,65070,11,D,3957.00,3760.00
Alborz.Invest.-R,20200104,4000.00,4000.00,3895.00,3957.00,14422800,3645,8,D,4100.00,3895.00
Alborz.Invest.-R,20200101,4250.00,4250.00,4100.00,4100.00,906362500,221050,9,D,4153.00,4100.00
Alborz.Invest.-R,20191231,4305.00,4305.00,4100.00,4153.00,5674779580,1366430,41,D,4100.00,4200.00
Alborz.Invest.-R,20191230,4100.00,4100.00,4100.00,4100.00,4100000000,1000000,36,D,4011.00,4100.00
Alborz.Invest.-R,20191229,4100.00,4100.00,4000.00,4011.00,1352884786,337265,33,D,4121.00,4000.00
