<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khavarmiane.mine-R,20201003,20475.00,20475.00,19500.00,19501.00,45060709100,2310665,21,D,19500.00,19500.00
Khavarmiane.mine-R,20200930,19500.00,19500.00,19500.00,19500.00,518700000,26600,7,D,19138.00,19500.00
Khavarmiane.mine-R,20200826,19001.00,19147.00,18600.00,19138.00,21598749347,1128580,495,D,18236.00,19147.00
Khavarmiane.mine-R,20200825,17446.00,19282.00,17446.00,18236.00,36523959324,2002798,446,D,18364.00,19282.00
Khavarmiane.mine-R,20200824,18364.00,18364.00,18364.00,18364.00,11771893284,641031,72,D,19330.00,18364.00
Khavarmiane.mine-R,20200823,19330.00,19330.00,19330.00,19330.00,103318850,5345,13,D,20347.00,19330.00
Khavarmiane.mine-R,20200822,20260.00,20999.00,20252.00,20347.00,8257394431,405827,78,D,21317.00,20252.00
Khavarmiane.mine-R,20200819,21700.00,22000.00,20043.00,21317.00,17689946255,829864,266,D,21097.00,20200.00
Khavarmiane.mine-R,20200818,21720.00,21720.00,20010.00,21097.00,19011564142,901141,352,D,20694.00,21355.00
Khavarmiane.mine-R,20200817,19375.00,21411.00,19375.00,20694.00,43058938357,2080769,299,D,20394.00,21000.00
Khavarmiane.mine-R,20200816,20377.00,20680.00,20377.00,20394.00,33704793684,1652670,202,D,21449.00,20680.00
Khavarmiane.mine-R,20200815,21201.00,22500.00,20670.00,21449.00,3339037313,155670,85,D,21757.00,20670.00
Khavarmiane.mine-R,20200812,22853.00,22853.00,20677.00,21757.00,25010502312,1149512,573,D,21765.00,20700.00
Khavarmiane.mine-R,20200811,21750.00,22100.00,20611.00,21765.00,31388272403,1442172,525,D,21547.00,21900.00
Khavarmiane.mine-R,20200810,21550.00,22100.00,20400.00,21547.00,50072459080,2323869,475,D,21467.00,22100.00
Khavarmiane.mine-R,20200809,22159.00,22159.00,21115.00,21467.00,28797376553,1341444,346,D,21123.00,21550.00
Khavarmiane.mine-R,20200805,21500.00,21520.00,20000.00,21123.00,36721622460,1738479,532,D,20496.00,21500.00
Khavarmiane.mine-R,20200804,20800.00,20861.00,19973.00,20496.00,16618988718,810843,415,D,19868.00,20000.00
Khavarmiane.mine-R,20200803,19973.00,19973.00,19100.00,19868.00,26523236553,1334974,394,D,19022.00,19973.00
Khavarmiane.mine-R,20200802,19022.00,19022.00,19000.00,19022.00,14097296970,741107,366,D,18117.00,19022.00
Khavarmiane.mine-R,20200801,18117.00,18117.00,18117.00,18117.00,4877060166,269198,142,D,17255.00,18117.00
Khavarmiane.mine-R,20200729,17662.00,17662.00,16500.00,17255.00,32552408926,1886562,447,D,16821.00,17662.00
Khavarmiane.mine-R,20200728,16600.00,16842.00,15860.00,16821.00,8778045218,521861,222,D,16040.00,16842.00
Khavarmiane.mine-R,20200727,15280.00,16544.00,15250.00,16040.00,48726688676,3037741,582,D,15757.00,16544.00
Khavarmiane.mine-R,20200726,15550.00,16000.00,15520.00,15757.00,28729097269,1823225,414,D,15904.00,15750.00
Khavarmiane.mine-R,20200725,16001.00,16100.00,15520.00,15904.00,14517918743,912824,414,D,15890.00,15650.00
Khavarmiane.mine-R,20200722,15628.00,16100.00,15311.00,15890.00,35390958567,2227220,416,D,15801.00,16001.00
Khavarmiane.mine-R,20200721,15890.00,16300.00,15250.00,15801.00,18229440158,1153686,501,D,15849.00,15621.00
Khavarmiane.mine-R,20200720,15800.00,15942.00,15200.00,15849.00,83087814595,5242615,544,D,15183.00,15300.00
Khavarmiane.mine-R,20200719,15184.00,15184.00,14860.00,15183.00,104998067664,6915539,535,D,14461.00,15184.00
Khavarmiane.mine-R,20200718,13750.00,14837.00,13673.00,14461.00,40278868020,2785369,639,D,14131.00,14837.00
Khavarmiane.mine-R,20200715,14590.00,14590.00,13653.00,14131.00,29415064345,2081645,602,D,14254.00,13905.00
Khavarmiane.mine-R,20200714,13797.00,14659.00,13655.00,14254.00,51948494787,3644429,770,D,14371.00,14010.00
Khavarmiane.mine-R,20200713,14420.00,14899.00,14359.00,14371.00,79049204543,5500486,428,D,15114.00,14359.00
Khavarmiane.mine-R,20200712,14410.00,15293.00,13911.00,15114.00,65017381141,4301821,866,D,14565.00,14412.00
Khavarmiane.mine-R,20200711,14511.00,15000.00,14511.00,14565.00,43205684585,2966470,550,D,15274.00,15000.00
Khavarmiane.mine-R,20200708,15480.00,16113.00,14870.00,15274.00,96856754233,6341328,1114,D,15652.00,14872.00
Khavarmiane.mine-R,20200707,15990.00,16020.00,15202.00,15652.00,52123603305,3330230,1047,D,15722.00,15391.00
Khavarmiane.mine-R,20200706,15723.00,15723.00,15000.00,15722.00,102633162533,6527808,799,D,14975.00,15723.00
Khavarmiane.mine-R,20200705,15500.00,15987.00,14511.00,14975.00,87271345565,5827755,1889,D,15274.00,15650.00
Khavarmiane.mine-R,20200704,16700.00,16700.00,15200.00,15274.00,236364968124,15475433,2092,D,16000.00,15200.00
Khavarmiane.mine-R,20200701,16000.00,16000.00,16000.00,16000.00,4132800000,258300,102,D,5208.00,16000.00
Khavarmiane.mine-R,20200317,5355.00,5355.00,5200.00,5208.00,13093344763,2514319,104,D,5100.00,5200.00
Khavarmiane.mine-R,20200316,5100.00,5100.00,5100.00,5100.00,5310619800,1041298,29,D,4427.00,5100.00
Khavarmiane.mine-R,20200204,4320.00,4545.00,4210.00,4427.00,9287175164,2097967,179,D,4329.00,4545.00
Khavarmiane.mine-R,20200203,4141.00,4349.00,4141.00,4329.00,6359452017,1469195,135,D,4142.00,4349.00
Khavarmiane.mine-R,20200202,4153.00,4200.00,4105.00,4142.00,12698877492,3066085,210,D,4268.00,4141.00
Khavarmiane.mine-R,20200201,4310.00,4310.00,4170.00,4268.00,1919454355,449737,86,D,4268.00,4260.00
Khavarmiane.mine-R,20200128,4329.00,4329.00,4080.00,4268.00,608773223,142624,44,D,4221.00,4250.00
Khavarmiane.mine-R,20200127,4348.00,4348.00,4110.00,4221.00,1672321453,396209,64,D,4243.00,4264.00
Khavarmiane.mine-R,20200126,4290.00,4300.00,4200.00,4243.00,1190425545,280591,74,D,4226.00,4260.00
Khavarmiane.mine-R,20200125,4300.00,4300.00,4053.00,4226.00,2471697927,584947,107,D,4266.00,4269.00
Khavarmiane.mine-R,20200122,4249.00,4340.00,4200.00,4266.00,1171790774,274691,41,D,4183.00,4300.00
Khavarmiane.mine-R,20200121,4351.00,4351.00,4121.00,4183.00,3441823907,822826,92,D,4144.00,4244.00
Khavarmiane.mine-R,20200120,4300.00,4300.00,4000.00,4144.00,8701689972,2100066,161,D,4164.00,4215.00
Khavarmiane.mine-R,20200119,4199.00,4266.00,4000.00,4164.00,18870413641,4532042,194,D,4148.00,4191.00
Khavarmiane.mine-R,20200118,4299.00,4299.00,3960.00,4148.00,11770430779,2837812,217,D,4147.00,4219.00
Khavarmiane.mine-R,20200115,4250.00,4250.00,4010.00,4147.00,3067382621,739619,109,D,4090.00,4197.00
Khavarmiane.mine-R,20200114,4220.00,4220.00,4015.00,4090.00,3310284749,809317,212,D,4088.00,4142.00
Khavarmiane.mine-R,20200113,4180.00,4180.00,3870.00,4088.00,2649215072,648017,198,D,4063.00,4159.00
Khavarmiane.mine-R,20200112,4123.00,4123.00,3921.00,4063.00,957924179,235770,81,D,3946.00,4000.00
Khavarmiane.mine-R,20200111,3946.00,3946.00,3901.00,3946.00,2342682399,593720,72,D,3869.00,3946.00
Khavarmiane.mine-R,20200108,3910.00,3910.00,3818.00,3869.00,1921793682,496764,67,D,3895.00,3860.00
Khavarmiane.mine-R,20200107,4040.00,4040.00,3722.00,3895.00,3584160077,920246,82,D,3917.00,3908.00
Khavarmiane.mine-R,20200105,4040.00,4040.00,3813.00,3917.00,2391730615,610647,80,D,3851.00,3995.00
Khavarmiane.mine-R,20200104,3820.00,3999.00,3800.00,3851.00,29152226305,7569414,331,D,3999.00,3999.00
Khavarmiane.mine-R,20200101,4000.00,4080.00,3932.00,3999.00,9194477702,2299124,190,D,3997.00,4070.00
Khavarmiane.mine-R,20191231,4000.00,4010.00,3878.00,3997.00,19886148068,4975046,199,D,3953.00,3999.00
Khavarmiane.mine-R,20191230,3995.00,4040.00,3821.00,3953.00,36654608817,9272271,508,D,3921.00,4039.00
Khavarmiane.mine-R,20191229,3990.00,3990.00,3850.00,3921.00,6572234366,1676166,119,D,3920.00,3968.00
Khavarmiane.mine-R,20191228,4000.00,4020.00,3866.00,3920.00,4686823135,1195538,144,D,3892.00,3969.00
Khavarmiane.mine-R,20191225,3870.00,3939.00,3732.00,3892.00,2298691113,590679,139,D,3802.00,3895.00
Khavarmiane.mine-R,20191224,3630.00,3869.00,3630.00,3802.00,4925916955,1295478,308,D,3740.00,3855.00
Khavarmiane.mine-R,20191223,3858.00,3865.00,3666.00,3740.00,23306768053,6231380,634,D,3685.00,3759.00
Khavarmiane.mine-R,20191222,3648.00,3733.00,3550.00,3685.00,2815859696,764051,253,D,3556.00,3733.00
Khavarmiane.mine-R,20191221,3480.00,3663.00,3470.00,3556.00,10508879056,2954989,344,D,3489.00,3512.00
Khavarmiane.mine-R,20191218,3619.00,3619.00,3385.00,3489.00,2758517425,790720,184,D,3478.00,3448.00
Khavarmiane.mine-R,20191217,3460.00,3570.00,3405.00,3478.00,6646621684,1910968,343,D,3518.00,3500.00
Khavarmiane.mine-R,20191216,3460.00,3598.00,3445.00,3518.00,5016255048,1425701,202,D,3505.00,3500.00
Khavarmiane.mine-R,20191215,3371.00,3597.00,3371.00,3505.00,7866390735,2244652,377,D,3492.00,3500.00
Khavarmiane.mine-R,20191214,3340.00,3543.00,3340.00,3492.00,6627610478,1898035,463,D,3375.00,3412.00
