<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kaspian.Daroo-R,20210327,20580.00,20580.00,19400.00,19417.00,44341774631,2283674,81,D,19416.00,19400.00
Kaspian.Daroo-R,20210317,20500.00,20500.00,19400.00,19416.00,62216560800,3204467,103,D,19531.00,19400.00
Kaspian.Daroo-R,20210316,20400.00,20400.00,19400.00,19531.00,5397951400,276377,26,D,19554.00,19400.00
Kaspian.Daroo-R,20210315,20000.00,20000.00,19502.00,19554.00,1785007246,91288,42,D,19900.00,19502.00
Kaspian.Daroo-R,20210314,20042.00,20042.00,19900.00,19900.00,3717888500,186825,18,D,20042.00,19900.00
Kaspian.Daroo-R,20210313,21500.00,21500.00,20018.00,20042.00,4296596732,214381,28,D,20426.00,20018.00
Kaspian.Daroo-R,20210310,21100.00,21100.00,20258.00,20426.00,107627025,5269,7,D,20671.00,20258.00
Kaspian.Daroo-R,20210309,21800.00,21800.00,20609.00,20671.00,218075200,10550,10,D,21029.00,20609.00
Kaspian.Daroo-R,20210308,22400.00,22400.00,20853.00,21029.00,101358519,4820,11,D,21278.00,20853.00
Kaspian.Daroo-R,20210307,22300.00,22300.00,21082.00,21278.00,32981600,1550,3,D,21512.00,21082.00
Kaspian.Daroo-R,20210306,21512.00,21512.00,21512.00,21512.00,9508304,442,1,D,21951.00,21512.00
Kaspian.Daroo-R,20210303,21951.00,21951.00,21951.00,21951.00,43902000,2000,1,D,22398.00,21951.00
Kaspian.Daroo-R,20210302,23200.00,23200.00,22344.00,22398.00,127330490,5685,4,D,22800.00,22344.00
Kaspian.Daroo-R,20210301,22800.00,22800.00,22800.00,22800.00,1140000000,50000,1,D,23247.00,22800.00
Kaspian.Daroo-R,20210228,23300.00,23300.00,23200.00,23247.00,10926000,470,2,D,22800.00,23200.00
Kaspian.Daroo-R,20210224,22800.00,22800.00,22800.00,22800.00,9781200,429,1,D,18938.00,22800.00
Kaspian.Daroo-R,20201021,18250.00,19552.00,18250.00,18938.00,13532268515,714544,549,D,18621.00,19000.00
Kaspian.Daroo-R,20201020,19537.00,19557.00,18580.00,18621.00,14051533506,754596,292,D,19557.00,18830.00
Kaspian.Daroo-R,20201019,19540.00,20499.00,19539.00,19557.00,13776974658,704456,216,D,20567.00,19539.00
Kaspian.Daroo-R,20201018,20565.00,20790.00,20559.00,20567.00,26347136953,1281022,383,D,21641.00,20559.00
Kaspian.Daroo-R,20201014,21641.00,21641.00,21641.00,21641.00,5191870669,239909,58,D,22779.00,21641.00
Kaspian.Daroo-R,20201013,22779.00,22779.00,22779.00,22779.00,7830417924,343756,82,D,23977.00,22779.00
Kaspian.Daroo-R,20201012,24000.00,25200.00,23822.00,23977.00,11794931652,491934,301,D,25075.00,23822.00
Kaspian.Daroo-R,20201011,25192.00,25193.00,24500.00,25075.00,23107488105,921546,444,D,23994.00,24720.00
Kaspian.Daroo-R,20201010,24110.00,24130.00,21832.00,23994.00,11736758752,489152,316,D,22981.00,24130.00
Kaspian.Daroo-R,20201007,23020.00,23020.00,22066.00,22981.00,21509304170,935968,314,D,21924.00,23020.00
Kaspian.Daroo-R,20201006,21800.00,22066.00,21800.00,21924.00,200710032,9155,13,D,21016.00,22066.00
Kaspian.Daroo-R,20201005,20800.00,21350.00,19485.00,21016.00,6676417264,317678,289,D,20336.00,21000.00
Kaspian.Daroo-R,20201004,20000.00,20800.00,18951.00,20336.00,9964392610,489992,303,D,19813.00,20240.00
Kaspian.Daroo-R,20201003,18365.00,19896.00,18365.00,19813.00,10832575148,546754,547,D,18949.00,19896.00
Kaspian.Daroo-R,20200930,18401.00,19395.00,18161.00,18949.00,3783550217,199665,169,D,18472.00,19200.00
Kaspian.Daroo-R,20200929,18170.00,19900.00,18170.00,18472.00,3670191444,198687,201,D,18990.00,19229.00
Kaspian.Daroo-R,20200928,18985.00,19989.00,18985.00,18990.00,3884993203,204585,131,D,19984.00,18995.00
Kaspian.Daroo-R,20200927,20000.00,20010.00,19982.00,19984.00,5430655974,271752,153,D,21033.00,19982.00
Kaspian.Daroo-R,20200926,21000.00,21900.00,20701.00,21033.00,3275971524,155751,150,D,21307.00,20900.00
Kaspian.Daroo-R,20200923,21810.00,21900.00,20550.00,21307.00,5135581536,241029,270,D,20935.00,21000.00
Kaspian.Daroo-R,20200922,21002.00,21630.00,20110.00,20935.00,7721509299,368825,253,D,21138.00,21269.00
Kaspian.Daroo-R,20200921,19415.00,21319.00,19410.00,21138.00,22992143129,1087704,527,D,20304.00,20800.00
Kaspian.Daroo-R,20200920,20301.00,21370.00,20301.00,20304.00,6322094301,311376,132,D,21369.00,20301.00
Kaspian.Daroo-R,20200919,21356.00,21950.00,21356.00,21369.00,9918995146,464187,315,D,22479.00,21356.00
Kaspian.Daroo-R,20200916,23150.00,23150.00,21062.00,22479.00,24659093345,1096976,561,D,22090.00,21190.00
Kaspian.Daroo-R,20200915,22090.00,22090.00,22090.00,22090.00,8739466700,395630,182,D,21039.00,22090.00
Kaspian.Daroo-R,20200914,21039.00,21039.00,21039.00,21039.00,1537130379,73061,95,D,20038.00,21039.00
Kaspian.Daroo-R,20200913,20038.00,20038.00,20038.00,20038.00,3842727336,191772,133,D,19084.00,20038.00
Kaspian.Daroo-R,20200912,19084.00,19084.00,19084.00,19084.00,1416109136,74204,109,D,18176.00,19084.00
Kaspian.Daroo-R,20200909,17020.00,18555.00,16789.00,18176.00,15015697376,826107,493,D,17672.00,18555.00
Kaspian.Daroo-R,20200908,17651.00,18000.00,17651.00,17672.00,10020685419,567050,320,D,18580.00,17652.00
