<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Maskan.Invest.-R,20210706,1811.00,1811.00,1811.00,1811.00,10406250485,5746135,60,D,1725.00,1811.00
Maskan.Invest.-R,20210705,1804.00,1804.00,1719.00,1725.00,30876999762,17900000,171,D,1719.00,1719.00
Maskan.Invest.-R,20210704,1767.00,1767.00,1700.00,1719.00,3119091038,1814919,41,D,1683.00,1700.00
Maskan.Invest.-R,20210703,1683.00,1683.00,1683.00,1683.00,30125700000,17900000,124,D,1603.00,1683.00
Maskan.Invest.-R,20210630,1630.00,1630.00,1600.00,1603.00,28712832000,17915510,171,D,1633.00,1600.00
Maskan.Invest.-R,20210629,1780.00,1780.00,1620.00,1633.00,29308445180,17942141,214,D,1696.00,1620.00
Maskan.Invest.-R,20210628,1750.00,1750.00,1682.00,1696.00,1348101374,794858,28,D,1770.00,1682.00
Maskan.Invest.-R,20210627,1790.00,1790.00,1770.00,1770.00,1848080000,1044000,8,D,1851.00,1770.00
Maskan.Invest.-R,20210626,2029.00,2029.00,1838.00,1851.00,471014500,254500,10,D,1933.00,1838.00
Maskan.Invest.-R,20210623,1943.00,1943.00,1930.00,1933.00,29954000,15500,4,D,1851.00,1930.00
Maskan.Invest.-R,20210622,1879.00,1879.00,1850.00,1851.00,3781825000,2043300,25,D,1790.00,1850.00
Maskan.Invest.-R,20210621,1790.00,1790.00,1790.00,1790.00,5370000,3000,1,D,1730.00,1790.00
Maskan.Invest.-R,20210620,1730.00,1730.00,1730.00,1730.00,754280000,436000,12,D,1805.00,1730.00
Maskan.Invest.-R,20210614,1805.00,1805.00,1805.00,1805.00,10830000,6000,2,D,1900.00,1805.00
Maskan.Invest.-R,20210613,1900.00,1900.00,1900.00,1900.00,9500000,5000,1,D,1936.00,1900.00
Maskan.Invest.-R,20210612,2000.00,2000.00,1900.00,1936.00,27100000,14000,3,D,2000.00,1900.00
Maskan.Invest.-R,20210609,2000.00,2000.00,2000.00,2000.00,56400000,28200,5,D,2555.00,2000.00
Maskan.Invest.-R,20201125,2500.00,2572.00,2450.00,2555.00,63534696247,24862009,3548,D,2450.00,2572.00
Maskan.Invest.-R,20201124,2320.00,2459.00,2320.00,2450.00,19897173854,8122655,904,D,2342.00,2459.00
Maskan.Invest.-R,20201123,2358.00,2450.00,2272.00,2342.00,18741209686,8001548,904,D,2384.00,2340.00
Maskan.Invest.-R,20201122,2500.00,2500.00,2358.00,2384.00,20006862796,8393058,650,D,2482.00,2385.00
Maskan.Invest.-R,20201121,2550.00,2680.00,2430.00,2482.00,29040230622,11699090,830,D,2557.00,2430.00
Maskan.Invest.-R,20201118,2639.00,2639.00,2455.00,2557.00,32830638939,12837024,826,D,2539.00,2550.00
Maskan.Invest.-R,20201117,2430.00,2564.00,2380.00,2539.00,28784788402,11337880,833,D,2442.00,2544.00
Maskan.Invest.-R,20201116,2379.00,2497.00,2360.00,2442.00,9408905480,3852227,556,D,2466.00,2401.00
Maskan.Invest.-R,20201115,2521.00,2521.00,2312.00,2466.00,30090482498,12203203,761,D,2401.00,2363.00
Maskan.Invest.-R,20201114,2404.00,2404.00,2313.00,2401.00,5084958505,2117488,303,D,2290.00,2404.00
Maskan.Invest.-R,20201111,2200.00,2362.00,2138.00,2290.00,21001839567,9171399,758,D,2250.00,2362.00
Maskan.Invest.-R,20201110,2299.00,2388.00,2200.00,2250.00,13649351887,6066473,416,D,2315.00,2200.00
Maskan.Invest.-R,20201109,2330.00,2400.00,2308.00,2315.00,9972009168,4307054,217,D,2429.00,2308.00
Maskan.Invest.-R,20201108,2429.00,2429.00,2429.00,2429.00,839039754,345426,44,D,2556.00,2429.00
Maskan.Invest.-R,20201107,2543.00,2650.00,2543.00,2556.00,5977651810,2339098,250,D,2676.00,2543.00
Maskan.Invest.-R,20201104,2628.00,2840.00,2608.00,2676.00,8511687392,3180865,480,D,2745.00,2700.00
Maskan.Invest.-R,20201102,2744.00,2775.00,2743.00,2745.00,5062467303,1844304,188,D,2887.00,2743.00
Maskan.Invest.-R,20201101,2920.00,3048.00,2866.00,2887.00,11674001308,4044290,336,D,3016.00,2866.00
Maskan.Invest.-R,20201031,2960.00,3131.00,2880.00,3016.00,26053182653,8636915,927,D,3021.00,2951.00
Maskan.Invest.-R,20201028,3021.00,3021.00,3021.00,3021.00,2166860586,717266,58,D,3180.00,3021.00
Maskan.Invest.-R,20201027,3180.00,3180.00,3180.00,3180.00,1278007020,401889,27,D,3347.00,3180.00
Maskan.Invest.-R,20201026,3347.00,3347.00,3347.00,3347.00,825842127,246741,34,D,3523.00,3347.00
Maskan.Invest.-R,20201024,3511.00,3770.00,3493.00,3523.00,2467299648,700405,130,D,3676.00,3493.00
Maskan.Invest.-R,20201021,3900.00,3951.00,3575.00,3676.00,17693513661,4813192,517,D,3763.00,3575.00
Maskan.Invest.-R,20201020,3731.00,3898.00,3730.00,3763.00,10576035276,2810513,358,D,3926.00,3851.00
Maskan.Invest.-R,20201019,3911.00,4000.00,3901.00,3926.00,16998261534,4329404,448,D,4106.00,3901.00
Maskan.Invest.-R,20201018,4186.00,4186.00,3988.00,4106.00,39032176388,9506816,928,D,3987.00,4010.00
Maskan.Invest.-R,20201014,3820.00,4140.00,3746.00,3987.00,52038780713,13052176,929,D,3943.00,4140.00
Maskan.Invest.-R,20201013,4000.00,4090.00,3800.00,3943.00,29087720425,7377267,908,D,3980.00,3880.00
Maskan.Invest.-R,20201012,4170.00,4250.00,3919.00,3980.00,23692389854,5952915,708,D,4125.00,3919.00
Maskan.Invest.-R,20201011,4027.00,4161.00,3870.00,4125.00,39341998213,9537535,1048,D,3963.00,4015.00
Maskan.Invest.-R,20201010,3900.00,4099.00,3810.00,3963.00,22685018627,5724539,953,D,3972.00,3950.00
Maskan.Invest.-R,20201007,4011.00,4011.00,3800.00,3972.00,46188919685,11628406,1288,D,3820.00,4011.00
Maskan.Invest.-R,20201006,3820.00,3820.00,3786.00,3820.00,2357951976,617272,37,D,3639.00,3820.00
Maskan.Invest.-R,20201005,3427.00,3787.00,3427.00,3639.00,28872652032,7935257,988,D,3607.00,3787.00
Maskan.Invest.-R,20201004,3818.00,3818.00,3456.00,3607.00,21709559964,6018416,1121,D,3637.00,3540.00
Maskan.Invest.-R,20201003,3647.00,3647.00,3400.00,3637.00,20793630057,5717391,1114,D,3474.00,3647.00
Maskan.Invest.-R,20200930,3400.00,3570.00,3270.00,3474.00,24192994577,6964951,1453,D,169.00,3570.00
Maskan.Invest.-R,20160907,169.00,169.00,169.00,169.00,4992154037,29539373,621,D,169.00,169.00
Maskan.Invest.-R,20160906,170.00,170.00,169.00,169.00,1736044026,10272154,221,D,169.00,169.00
Maskan.Invest.-R,20160905,169.00,169.00,169.00,169.00,44622422,264038,13,D,169.00,169.00
Maskan.Invest.-R,20160904,177.00,177.00,169.00,169.00,403563581,2386274,55,D,177.00,169.00
Maskan.Invest.-R,20160903,177.00,177.00,177.00,177.00,23010000,130000,3,D,181.00,177.00
Maskan.Invest.-R,20160831,181.00,181.00,181.00,181.00,9050000,50000,3,D,190.00,181.00
Maskan.Invest.-R,20160830,190.00,190.00,190.00,190.00,9500000,50000,1,D,200.00,190.00
Maskan.Invest.-R,20160829,200.00,200.00,200.00,200.00,1000000,5000,1,D,206.00,200.00
Maskan.Invest.-R,20160828,208.00,208.00,206.00,206.00,11340000,55000,2,D,216.00,206.00
Maskan.Invest.-R,20160827,216.00,216.00,216.00,216.00,2160000,10000,1,D,222.00,216.00
Maskan.Invest.-R,20160824,225.00,225.00,222.00,222.00,17183055,77332,4,D,230.00,222.00
Maskan.Invest.-R,20160823,230.00,230.00,230.00,230.00,72216320,313984,8,D,230.00,230.00
Maskan.Invest.-R,20160822,230.00,230.00,230.00,230.00,23000000,100000,2,D,313.00,230.00
Maskan.Invest.-R,20160621,311.00,325.00,310.00,313.00,590795708,1886038,165,D,326.00,319.00
Maskan.Invest.-R,20160620,326.00,326.00,326.00,326.00,554272372,1700222,127,D,343.00,326.00
Maskan.Invest.-R,20160619,346.00,351.00,342.00,343.00,316898238,923461,81,D,359.00,342.00
Maskan.Invest.-R,20160618,369.00,371.00,350.00,359.00,298327087,830542,88,D,354.00,352.00
Maskan.Invest.-R,20160615,347.00,380.00,347.00,354.00,1027624245,2904213,158,D,365.00,352.00
Maskan.Invest.-R,20160614,378.00,378.00,365.00,365.00,179724790,492246,31,D,384.00,365.00
Maskan.Invest.-R,20160613,385.00,398.00,378.00,384.00,242195347,631202,59,D,397.00,378.00
Maskan.Invest.-R,20160612,397.00,398.00,397.00,397.00,452800072,1140549,80,D,417.00,397.00
Maskan.Invest.-R,20160611,419.00,421.00,417.00,417.00,155597518,372922,48,D,438.00,417.00
Maskan.Invest.-R,20160608,440.00,456.00,438.00,438.00,931085402,2125579,149,D,461.00,438.00
Maskan.Invest.-R,20160607,467.00,468.00,459.00,461.00,786955818,1707920,97,D,483.00,459.00
Maskan.Invest.-R,20160606,485.00,496.00,471.00,483.00,394333944,816519,88,D,490.00,480.00
Maskan.Invest.-R,20160605,490.00,515.00,479.00,490.00,618234093,1260708,120,D,504.00,490.00
Maskan.Invest.-R,20160601,500.00,512.00,499.00,504.00,539272771,1069470,128,D,512.00,501.00
Maskan.Invest.-R,20160531,537.00,537.00,508.00,512.00,107716061,210492,32,D,534.00,511.00
Maskan.Invest.-R,20160530,539.00,540.00,513.00,534.00,197942506,370485,45,D,536.00,519.00
Maskan.Invest.-R,20160529,559.00,559.00,531.00,536.00,689948610,1288312,113,D,558.00,533.00
Maskan.Invest.-R,20160528,560.00,567.00,552.00,558.00,133853152,239902,48,D,565.00,552.00
Maskan.Invest.-R,20160525,561.00,575.00,561.00,565.00,158354636,280488,42,D,578.00,565.00
Maskan.Invest.-R,20160524,567.00,599.00,567.00,578.00,373474255,646553,100,D,588.00,572.00
