<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sanati.DoodehFam-R,20210616,17363.00,17363.00,15711.00,15722.00,466578905086,29676893,1052,D,16537.00,15711.00
Sanati.DoodehFam-R,20210615,17777.00,17777.00,16357.00,16537.00,6092301417,368409,100,D,17217.00,16357.00
Sanati.DoodehFam-R,20210614,18077.00,18077.00,17172.00,17217.00,2727594429,158428,86,D,18075.00,17172.00
Sanati.DoodehFam-R,20210613,19877.00,19877.00,17985.00,18075.00,1953570829,108080,47,D,18931.00,17985.00
Sanati.DoodehFam-R,20210612,19100.00,19100.00,18919.00,18931.00,562041396,29689,30,D,19914.00,18919.00
Sanati.DoodehFam-R,20210609,19930.00,19930.00,19914.00,19914.00,3414665638,171467,31,D,22126.00,19914.00
Sanati.DoodehFam-R,20210608,23000.00,23000.00,22112.00,22126.00,12773441764,577297,43,D,23275.00,22112.00
Sanati.DoodehFam-R,20210607,25363.00,25363.00,22949.00,23275.00,5264062890,226170,51,D,24156.00,22949.00
Sanati.DoodehFam-R,20210602,26471.00,26471.00,23951.00,24156.00,3198730597,132421,39,D,25211.00,23951.00
Sanati.DoodehFam-R,20210601,27586.00,27586.00,24960.00,25211.00,3251774386,128983,13,D,26273.00,24960.00
Sanati.DoodehFam-R,20210531,28705.00,28705.00,25973.00,26273.00,3082926820,117340,14,D,27339.00,25973.00
Sanati.DoodehFam-R,20210530,28800.00,28800.00,27160.00,27339.00,3104328000,113550,10,D,28589.00,27160.00
Sanati.DoodehFam-R,20210529,29697.00,29697.00,27413.00,28589.00,530041326,18540,12,D,28855.00,27413.00
Sanati.DoodehFam-R,20210526,28940.00,28940.00,28840.00,28855.00,40281240,1396,3,D,17178.00,28840.00
Sanati.DoodehFam-R,20201108,17350.00,17840.00,16953.00,17178.00,83412350370,4855864,10841,D,17845.00,17107.00
Sanati.DoodehFam-R,20201107,17840.00,18170.00,17700.00,17845.00,58185339251,3260556,5309,D,18208.00,17715.00
Sanati.DoodehFam-R,20201104,17948.00,18500.00,17740.00,18208.00,29706749053,1631508,4222,D,17948.00,18320.00
Sanati.DoodehFam-R,20201102,17660.00,18200.00,17520.00,17948.00,30636920348,1707019,3190,D,17716.00,18000.00
Sanati.DoodehFam-R,20201101,18020.00,18020.00,17620.00,17716.00,18304994024,1033246,2687,D,18058.00,17741.00
Sanati.DoodehFam-R,20201031,18000.00,18600.00,17840.00,18058.00,23141851097,1281503,3775,D,17845.00,17870.00
Sanati.DoodehFam-R,20201028,17490.00,18136.00,17490.00,17845.00,23742260425,1330436,3240,D,17526.00,17940.00
Sanati.DoodehFam-R,20201027,17707.00,18110.00,17305.00,17526.00,25241019592,1440214,4162,D,17707.00,17545.00
