<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
BPAR-991210-NT,20201108,2588.00,2588.00,2588.00,2588.00,216939100,83825,35,D,2006.00,2588.00
BPAR-991210-NT,20201021,2006.00,2006.00,2006.00,2006.00,200600000,100000,48,D,1834.00,2006.00
BPAR-991210-NT,20201020,1834.00,1834.00,1834.00,1834.00,183400000,100000,2,D,1641.00,1834.00
BPAR-991210-NT,20201019,1641.00,1641.00,1641.00,1641.00,164100000,100000,5,D,778.00,1641.00
BPAR-991210-NT,20201018,778.00,778.00,778.00,778.00,77800000,100000,1,D,767.00,778.00
BPAR-991210-NT,20201014,767.00,767.00,767.00,767.00,76700000,100000,6,D,764.00,767.00
BPAR-991210-NT,20201013,764.00,764.00,764.00,764.00,305600000,400000,155,D,761.00,764.00
BPAR-991210-NT,20201012,761.00,761.00,761.00,761.00,76100000,100000,43,D,758.00,761.00
BPAR-991210-NT,20201011,758.00,758.00,758.00,758.00,75800000,100000,9,D,1175.00,758.00
BPAR-991210-NT,20201010,1175.00,1175.00,1175.00,1175.00,117500000,100000,2,D,1367.00,1175.00
BPAR-991210-NT,20201007,1367.00,1367.00,1367.00,1367.00,136700000,100000,2,D,1554.00,1367.00
BPAR-991210-NT,20201006,1554.00,1554.00,1554.00,1554.00,155400000,100000,70,D,1701.00,1554.00
BPAR-991210-NT,20201005,1701.00,1701.00,1701.00,1701.00,212402169,124869,61,D,1879.00,1701.00
BPAR-991210-NT,20201004,1879.00,1879.00,1879.00,1879.00,187900000,100000,40,D,2046.00,1879.00
BPAR-991210-NT,20201003,2046.00,2046.00,2046.00,2046.00,1782900768,871408,202,D,1968.00,2046.00
BPAR-991210-NT,20200930,1968.00,1968.00,1968.00,1968.00,196800000,100000,16,D,1785.00,1968.00
BPAR-991210-NT,20200929,1785.00,1785.00,1785.00,1785.00,178500000,100000,1,D,1612.00,1785.00
BPAR-991210-NT,20200928,1612.00,1612.00,1612.00,1612.00,322400000,200000,4,D,1409.00,1612.00
BPAR-991210-NT,20200927,1409.00,1409.00,1409.00,1409.00,140900000,100000,4,D,1237.00,1409.00
BPAR-991210-NT,20200926,1237.00,1237.00,1237.00,1237.00,123700000,100000,8,D,1108.00,1237.00
BPAR-991210-NT,20200923,1108.00,1108.00,1108.00,1108.00,110800000,100000,13,D,886.00,1108.00
BPAR-991210-NT,20200922,886.00,886.00,886.00,886.00,88600000,100000,2,D,700.00,886.00
BPAR-991210-NT,20200921,700.00,700.00,700.00,700.00,770000000,1100000,139,D,1.00,700.00
BPAR-991210-NT,20200919,1.00,1.00,1.00,1.00,3700000,3700000,97,D,1.00,1.00
BPAR-991210-NT,20200916,1.00,1.00,1.00,1.00,7478625,7478625,240,D,1.00,1.00
