<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
GDIR-991216-NT,20201226,4248.00,4248.00,4248.00,4248.00,127440000,30000,1,D,3724.00,4248.00
GDIR-991216-NT,20201221,3724.00,3724.00,3724.00,3724.00,2349844,631,1,D,3775.00,3724.00
GDIR-991216-NT,20201220,3775.00,3775.00,3775.00,3775.00,377500,100,1,D,3041.00,3775.00
GDIR-991216-NT,20201215,3041.00,3041.00,3041.00,3041.00,79066000,26000,1,D,2271.00,3041.00
GDIR-991216-NT,20201208,2271.00,2271.00,2271.00,2271.00,113550000,50000,6,D,1762.00,2271.00
GDIR-991216-NT,20201207,1762.00,1762.00,1762.00,1762.00,88100000,50000,9,D,2173.00,1762.00
GDIR-991216-NT,20201206,2173.00,2173.00,2173.00,2173.00,49174990,22630,4,D,3979.00,2173.00
GDIR-991216-NT,20201125,3979.00,3979.00,3979.00,3979.00,1933794,486,3,D,3420.00,3979.00
GDIR-991216-NT,20201124,3420.00,3420.00,3420.00,3420.00,49661820,14521,2,D,3652.00,3420.00
GDIR-991216-NT,20201123,3652.00,3652.00,3652.00,3652.00,188552760,51630,4,D,4214.00,3652.00
GDIR-991216-NT,20201121,4214.00,4214.00,4214.00,4214.00,788018,187,19,D,5310.00,4214.00
GDIR-991216-NT,20201117,5310.00,5310.00,5310.00,5310.00,26550,5,5,D,5702.00,5310.00
GDIR-991216-NT,20201116,5702.00,5702.00,5702.00,5702.00,764068,134,12,D,6184.00,5702.00
GDIR-991216-NT,20201115,6184.00,6184.00,6184.00,6184.00,272096,44,3,D,6605.00,6184.00
GDIR-991216-NT,20201114,6605.00,6605.00,6605.00,6605.00,9101690,1378,3,D,6760.00,6605.00
GDIR-991216-NT,20201111,6760.00,6760.00,6760.00,6760.00,137904000,20400,6,D,6781.00,6760.00
GDIR-991216-NT,20201110,6781.00,6781.00,6781.00,6781.00,439564763,64823,14,D,6303.00,6781.00
GDIR-991216-NT,20201109,6303.00,6303.00,6303.00,6303.00,1599127827,253709,28,D,5874.00,6303.00
GDIR-991216-NT,20201108,5874.00,5874.00,5874.00,5874.00,140083152,23848,24,D,4633.00,5874.00
GDIR-991216-NT,20201107,4633.00,4633.00,4633.00,4633.00,1389900000,300000,23,D,4647.00,4633.00
GDIR-991216-NT,20201104,5821.00,5821.00,4633.00,4647.00,21431548,4612,13,D,4639.00,4633.00
GDIR-991216-NT,20201102,5399.00,5399.00,4639.00,4639.00,579494523,124917,11,D,4639.00,4639.00
GDIR-991216-NT,20201101,4966.00,4966.00,4633.00,4639.00,362734224,78198,11,D,4633.00,4633.00
GDIR-991216-NT,20201031,5448.00,5448.00,4633.00,4633.00,53461817,11539,7,D,4633.00,4633.00
GDIR-991216-NT,20201028,4633.00,4633.00,4633.00,4633.00,148557145,32065,17,D,4624.00,4633.00
GDIR-991216-NT,20201027,4624.00,4624.00,4624.00,4624.00,552147216,119409,53,D,3349.00,4624.00
GDIR-991216-NT,20201024,3349.00,3349.00,3349.00,3349.00,527377077,157473,56,D,2895.00,3349.00
