<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
KVIR-991002-NT,20201031,1496.00,1496.00,1496.00,1496.00,1171020928,782768,175,D,1.00,1496.00
KVIR-991002-NT,20201019,1.00,1.00,1.00,1.00,500000,500000,15,D,279.00,1.00
KVIR-991002-NT,20201007,279.00,279.00,279.00,279.00,83700000,300000,13,D,708.00,279.00
KVIR-991002-NT,20201006,708.00,708.00,708.00,708.00,212400000,300000,51,D,1276.00,708.00
KVIR-991002-NT,20201004,1276.00,1276.00,1276.00,1276.00,1115014736,873836,264,D,1795.00,1276.00
KVIR-991002-NT,20201003,1795.00,1795.00,1795.00,1795.00,1795000000,1000000,142,D,1892.00,1795.00
KVIR-991002-NT,20200930,1892.00,1892.00,1892.00,1892.00,3465322872,1831566,215,D,1811.00,1892.00
KVIR-991002-NT,20200929,1811.00,1811.00,1811.00,1811.00,3622000000,2000000,224,D,1591.00,1811.00
KVIR-991002-NT,20200928,1591.00,1591.00,1591.00,1591.00,4604182172,2893892,406,D,1330.00,1591.00
KVIR-991002-NT,20200927,1330.00,1330.00,1330.00,1330.00,5320000000,4000000,711,D,1129.00,1330.00
KVIR-991002-NT,20200926,1129.00,1129.00,1129.00,1129.00,5255170977,4654713,782,D,573.00,1129.00
KVIR-991002-NT,20200923,500.00,1207.00,500.00,573.00,574505671,1003153,53,D,1.00,1207.00
