<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MAPN-991211-NT,20201108,6115.00,6115.00,6115.00,6115.00,9814575,1605,2,D,3242.00,6115.00
MAPN-991211-NT,20201021,3242.00,3242.00,3242.00,3242.00,340410000,105000,30,D,2451.00,3242.00
MAPN-991211-NT,20201020,2451.00,2451.00,2451.00,2451.00,245100000,100000,28,D,1420.00,2451.00
MAPN-991211-NT,20201019,1420.00,1420.00,1420.00,1420.00,87734700,61785,21,D,339.00,1420.00
MAPN-991211-NT,20201018,339.00,339.00,339.00,339.00,34578000,102000,30,D,1.00,339.00
MAPN-991211-NT,20201014,1.00,1.00,1.00,1.00,100000,100000,16,D,1.00,1.00
MAPN-991211-NT,20201013,1.00,1.00,1.00,1.00,105000,105000,10,D,1.00,1.00
MAPN-991211-NT,20201012,1.00,1.00,1.00,1.00,95594,95594,13,D,1.00,1.00
MAPN-991211-NT,20201011,1.00,1.00,1.00,1.00,100000,100000,18,D,540.00,1.00
MAPN-991211-NT,20201010,540.00,540.00,540.00,540.00,54000000,100000,40,D,4487.00,540.00
MAPN-991211-NT,20200929,4487.00,4487.00,4487.00,4487.00,133595938,29774,33,D,3020.00,4487.00
MAPN-991211-NT,20200928,3020.00,3020.00,3020.00,3020.00,171705120,56856,31,D,2494.00,3020.00
MAPN-991211-NT,20200927,2494.00,2494.00,2494.00,2494.00,235368756,94374,49,D,3708.00,2494.00
MAPN-991211-NT,20200926,3708.00,3708.00,3708.00,3708.00,71315964,19233,24,D,4749.00,3708.00
MAPN-991211-NT,20200923,4749.00,4749.00,4749.00,4749.00,190301928,40072,33,D,4133.00,4749.00
MAPN-991211-NT,20200922,4133.00,4133.00,4133.00,4133.00,195800875,47375,20,D,2950.00,4133.00
MAPN-991211-NT,20200921,2950.00,2950.00,2950.00,2950.00,354000000,120000,323,D,1.00,2950.00
MAPN-991211-NT,20200920,1.00,1.00,1.00,1.00,330000,330000,55,D,1.00,1.00
MAPN-991211-NT,20200919,1.00,1.00,1.00,1.00,570000,570000,102,D,1.00,1.00
