<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
NAFT-991204-NT,20201108,2638.00,2638.00,2638.00,2638.00,87631722,33219,46,D,945.00,2638.00
NAFT-991204-NT,20201021,945.00,945.00,945.00,945.00,94500000,100000,15,D,317.00,945.00
NAFT-991204-NT,20201020,317.00,317.00,317.00,317.00,31700000,100000,12,D,1.00,317.00
NAFT-991204-NT,20201019,1.00,1.00,1.00,1.00,100000,100000,6,D,1.00,1.00
NAFT-991204-NT,20201018,1.00,1.00,1.00,1.00,100000,100000,3,D,1.00,1.00
NAFT-991204-NT,20201014,1.00,1.00,1.00,1.00,100000,100000,3,D,1.00,1.00
NAFT-991204-NT,20201013,1.00,1.00,1.00,1.00,240000,240000,8,D,1.00,1.00
NAFT-991204-NT,20201012,1.00,1.00,1.00,1.00,100000,100000,6,D,1.00,1.00
NAFT-991204-NT,20201011,1.00,1.00,1.00,1.00,100000,100000,7,D,1.00,1.00
NAFT-991204-NT,20201010,1.00,1.00,1.00,1.00,100000,100000,6,D,1.00,1.00
NAFT-991204-NT,20201007,1.00,1.00,1.00,1.00,80000,80000,2,D,15.00,1.00
NAFT-991204-NT,20201006,15.00,15.00,15.00,15.00,1500000,100000,8,D,1.00,15.00
NAFT-991204-NT,20201005,1.00,1.00,1.00,1.00,120000,120000,8,D,451.00,1.00
NAFT-991204-NT,20201004,451.00,451.00,451.00,451.00,45100000,100000,11,D,1023.00,451.00
NAFT-991204-NT,20201003,1023.00,1023.00,1023.00,1023.00,327360000,320000,36,D,1602.00,1023.00
NAFT-991204-NT,20200930,1602.00,1602.00,1602.00,1602.00,160200000,100000,10,D,1824.00,1602.00
NAFT-991204-NT,20200929,1824.00,1824.00,1824.00,1824.00,182400000,100000,15,D,1177.00,1824.00
NAFT-991204-NT,20200928,1177.00,1177.00,1177.00,1177.00,117700000,100000,6,D,490.00,1177.00
NAFT-991204-NT,20200927,490.00,490.00,490.00,490.00,49000000,100000,14,D,453.00,490.00
NAFT-991204-NT,20200926,453.00,453.00,453.00,453.00,45300000,100000,17,D,171.00,453.00
NAFT-991204-NT,20200923,171.00,171.00,171.00,171.00,17100000,100000,12,D,1.00,171.00
NAFT-991204-NT,20200921,1.00,1.00,1.00,1.00,120000,120000,8,D,1.00,1.00
NAFT-991204-NT,20200920,1.00,1.00,1.00,1.00,1600000,1600000,107,D,1.00,1.00
NAFT-991204-NT,20200919,1.00,1.00,1.00,1.00,360000,360000,20,D,1.00,1.00
NAFT-991204-NT,20200916,1.00,1.00,1.00,1.00,2000000,2000000,112,D,1.00,1.00
