<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
NBEH-991202-NT,20201018,2329.00,2329.00,2329.00,2329.00,8079301,3469,18,D,46.00,2329.00
NBEH-991202-NT,20201014,46.00,46.00,46.00,46.00,4600000,100000,30,D,1.00,46.00
NBEH-991202-NT,20201013,1.00,1.00,1.00,1.00,105000,105000,38,D,1.00,1.00
NBEH-991202-NT,20201012,1.00,1.00,1.00,1.00,100000,100000,30,D,269.00,1.00
NBEH-991202-NT,20201011,269.00,269.00,269.00,269.00,26900000,100000,57,D,3343.00,269.00
NBEH-991202-NT,20201010,3343.00,3343.00,3343.00,3343.00,150906363,45141,59,D,6197.00,3343.00
NBEH-991202-NT,20201007,6197.00,6197.00,6197.00,6197.00,237152993,38269,86,D,7722.00,6197.00
NBEH-991202-NT,20201006,7722.00,7722.00,7722.00,7722.00,510022656,66048,121,D,7106.00,7722.00
NBEH-991202-NT,20201005,7106.00,7106.00,7106.00,7106.00,176484616,24836,54,D,8721.00,7106.00
NBEH-991202-NT,20201004,8721.00,8721.00,8721.00,8721.00,109169478,12518,38,D,10636.00,8721.00
NBEH-991202-NT,20201003,10636.00,10636.00,10636.00,10636.00,286246668,26913,75,D,12700.00,10636.00
NBEH-991202-NT,20200930,12700.00,12700.00,12700.00,12700.00,1236802200,97386,160,D,11685.00,12700.00
NBEH-991202-NT,20200929,11685.00,11685.00,11685.00,11685.00,1012774005,86673,127,D,9260.00,11685.00
NBEH-991202-NT,20200928,9260.00,9260.00,9260.00,9260.00,530931360,57336,123,D,7165.00,9260.00
NBEH-991202-NT,20200927,7165.00,7165.00,7165.00,7165.00,550100040,76776,98,D,7330.00,7165.00
NBEH-991202-NT,20200926,7330.00,7330.00,7330.00,7330.00,481104550,65635,118,D,8205.00,7330.00
NBEH-991202-NT,20200923,8205.00,8205.00,8205.00,8205.00,861525000,105000,101,D,5480.00,8205.00
NBEH-991202-NT,20200922,5480.00,5480.00,5480.00,5480.00,575400000,105000,116,D,3340.00,5480.00
NBEH-991202-NT,20200921,3340.00,3340.00,3340.00,3340.00,397460000,119000,133,D,1.00,3340.00
NBEH-991202-NT,20200920,1.00,1.00,1.00,1.00,301000,301000,74,D,1.00,1.00
NBEH-991202-NT,20200919,1.00,1.00,1.00,1.00,140000,140000,47,D,1.00,1.00
NBEH-991202-NT,20200916,1.00,1.00,1.00,1.00,224000,224000,60,D,1.00,1.00
