<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PFAN-991126-NT,20201108,38921.00,38921.00,38921.00,38921.00,84458570,2170,14,D,19175.00,38921.00
PFAN-991126-NT,20201024,19175.00,19175.00,19175.00,19175.00,116526475,6077,8,D,12472.00,19175.00
PFAN-991126-NT,20201012,12472.00,12472.00,12472.00,12472.00,249440000,20000,62,D,10939.00,12472.00
PFAN-991126-NT,20201011,10939.00,10939.00,10939.00,10939.00,196902000,18000,43,D,4657.00,10939.00
PFAN-991126-NT,20201010,4657.00,4657.00,4657.00,4657.00,93140000,20000,39,D,7450.00,4657.00
PFAN-991126-NT,20201007,7450.00,7450.00,7450.00,7450.00,149000000,20000,60,D,1508.00,7450.00
PFAN-991126-NT,20201006,1508.00,1508.00,1508.00,1508.00,30160000,20000,33,D,1.00,1508.00
PFAN-991126-NT,20201005,1.00,1.00,1.00,1.00,22000,22000,22,D,1.00,1.00
PFAN-991126-NT,20201004,1.00,1.00,1.00,1.00,24000,24000,20,D,1.00,1.00
PFAN-991126-NT,20200930,1.00,1.00,1.00,1.00,14000,14000,16,D,1.00,1.00
PFAN-991126-NT,20200929,1.00,1.00,1.00,1.00,20000,20000,19,D,459.00,1.00
PFAN-991126-NT,20200922,459.00,459.00,459.00,459.00,9180000,20000,16,D,1.00,459.00
PFAN-991126-NT,20200921,1.00,1.00,1.00,1.00,20000,20000,11,D,1.00,1.00
PFAN-991126-NT,20200920,1.00,1.00,1.00,1.00,121552,121552,141,D,1.00,1.00
PFAN-991126-NT,20200916,1.00,1.00,1.00,1.00,41334,41334,32,D,1.00,1.00
