<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PSHZ-991127-NT,20201108,19889.00,19889.00,19889.00,19889.00,102010681,5129,26,D,14263.00,19889.00
PSHZ-991127-NT,20201021,14263.00,14263.00,14263.00,14263.00,820436286,57522,101,D,11547.00,14263.00
PSHZ-991127-NT,20201020,11547.00,11547.00,11547.00,11547.00,868103460,75180,126,D,8532.00,11547.00
PSHZ-991127-NT,20201019,8532.00,8532.00,8532.00,8532.00,536355648,62864,67,D,7247.00,8532.00
PSHZ-991127-NT,20201018,7247.00,7247.00,7247.00,7247.00,300815723,41509,58,D,6685.00,7247.00
PSHZ-991127-NT,20201014,6685.00,6685.00,6685.00,6685.00,297322060,44476,82,D,7300.00,6685.00
PSHZ-991127-NT,20201013,7300.00,7300.00,7300.00,7300.00,295920100,40537,100,D,5924.00,7300.00
PSHZ-991127-NT,20201012,5924.00,5924.00,5924.00,5924.00,353182956,59619,71,D,8439.00,5924.00
PSHZ-991127-NT,20201011,8439.00,8439.00,8439.00,8439.00,693111948,82132,170,D,7764.00,8439.00
PSHZ-991127-NT,20201010,7764.00,7764.00,7764.00,7764.00,340816308,43897,81,D,7169.00,7764.00
PSHZ-991127-NT,20201007,7169.00,7169.00,7169.00,7169.00,329766831,45999,87,D,7454.00,7169.00
PSHZ-991127-NT,20201006,7454.00,7454.00,7454.00,7454.00,775216000,104000,187,D,4239.00,7454.00
PSHZ-991127-NT,20201005,4239.00,4239.00,4239.00,4239.00,406944000,96000,120,D,834.00,4239.00
PSHZ-991127-NT,20201004,834.00,834.00,834.00,834.00,83400000,100000,44,D,2129.00,834.00
PSHZ-991127-NT,20201003,2129.00,2129.00,2129.00,2129.00,170320000,80000,40,D,1774.00,2129.00
PSHZ-991127-NT,20200930,1774.00,1774.00,1774.00,1774.00,177400000,100000,115,D,1.00,1774.00
PSHZ-991127-NT,20200929,1.00,1.00,1.00,1.00,104000,104000,28,D,1.00,1.00
PSHZ-991127-NT,20200928,1.00,1.00,1.00,1.00,114993,114993,41,D,1.00,1.00
PSHZ-991127-NT,20200927,1.00,1.00,1.00,1.00,88000,88000,24,D,642.00,1.00
PSHZ-991127-NT,20200923,642.00,642.00,642.00,642.00,66768000,104000,30,D,907.00,642.00
PSHZ-991127-NT,20200922,907.00,907.00,907.00,907.00,116096000,128000,60,D,1.00,907.00
PSHZ-991127-NT,20200921,1.00,1.00,1.00,1.00,80000,80000,21,D,1.00,1.00
PSHZ-991127-NT,20200920,1.00,1.00,1.00,1.00,352000,352000,92,D,1.00,1.00
PSHZ-991127-NT,20200919,1.00,1.00,1.00,1.00,144000,144000,38,D,1.00,1.00
PSHZ-991127-NT,20200916,1.00,1.00,1.00,1.00,280000,280000,61,D,1.00,1.00
