<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SADR-000220-NT,20210509,3646.00,3646.00,3646.00,3646.00,16516380,4530,1,D,3602.00,3646.00
SADR-000220-NT,20210508,3602.00,3602.00,3602.00,3602.00,3879354,1077,3,D,3300.00,3602.00
SADR-000220-NT,20210505,3300.00,3300.00,3300.00,3300.00,57783000,17510,5,D,3202.00,3300.00
SADR-000220-NT,20210503,3202.00,3202.00,3202.00,3202.00,1065411066,332733,21,D,3118.00,3202.00
SADR-000220-NT,20210502,3118.00,3118.00,3118.00,3118.00,627182582,201149,18,D,2923.00,3118.00
SADR-000220-NT,20210501,2923.00,2923.00,2923.00,2923.00,2923000,1000,1,D,3405.00,2923.00
SADR-000220-NT,20210424,3405.00,3405.00,3405.00,3405.00,476700000,140000,6,D,3197.00,3405.00
SADR-000220-NT,20210417,3197.00,3197.00,3197.00,3197.00,32385610,10130,3,D,3005.00,3197.00
SADR-000220-NT,20210414,3005.00,3005.00,3005.00,3005.00,10857065,3613,2,D,3509.00,3005.00
SADR-000220-NT,20210313,3509.00,3509.00,3509.00,3509.00,445643,127,1,D,3342.00,3509.00
SADR-000220-NT,20210309,3342.00,3342.00,3342.00,3342.00,3342,1,1,D,3798.00,3342.00
SADR-000220-NT,20210308,3798.00,3798.00,3798.00,3798.00,3798,1,1,D,3809.00,3798.00
SADR-000220-NT,20210303,3809.00,3809.00,3809.00,3809.00,4570800,1200,2,D,3712.00,3809.00
SADR-000220-NT,20210302,3712.00,3712.00,3712.00,3712.00,3712,1,1,D,3536.00,3712.00
SADR-000220-NT,20210301,3536.00,3536.00,3536.00,3536.00,76377600,21600,3,D,3368.00,3536.00
SADR-000220-NT,20210223,3368.00,3368.00,3368.00,3368.00,10104,3,1,D,3090.00,3368.00
SADR-000220-NT,20210221,3090.00,3090.00,3090.00,3090.00,6180000,2000,1,D,2926.00,3090.00
SADR-000220-NT,20210220,2926.00,2926.00,2926.00,2926.00,7900200,2700,1,D,2814.00,2926.00
SADR-000220-NT,20210217,2814.00,2814.00,2814.00,2814.00,32361000,11500,3,D,2701.00,2814.00
SADR-000220-NT,20210216,2701.00,2701.00,2701.00,2701.00,54020000,20000,1,D,2413.00,2701.00
SADR-000220-NT,20210214,2413.00,2413.00,2413.00,2413.00,159258000,66000,4,D,2899.00,2413.00
SADR-000220-NT,20210213,2899.00,2899.00,2899.00,2899.00,5798,2,1,D,2884.00,2899.00
SADR-000220-NT,20210209,2884.00,2884.00,2884.00,2884.00,252998900,87725,6,D,2460.00,2884.00
SADR-000220-NT,20210208,2460.00,2460.00,2460.00,2460.00,136530000,55500,6,D,2146.00,2460.00
SADR-000220-NT,20210207,2146.00,2146.00,2146.00,2146.00,2146000,1000,1,D,1800.00,2146.00
SADR-000220-NT,20210203,1800.00,1800.00,1800.00,1800.00,5400000,3000,1,D,3365.00,1800.00
SADR-000220-NT,20210130,3365.00,3365.00,3365.00,3365.00,22209000,6600,3,D,3452.00,3365.00
SADR-000220-NT,20210124,3452.00,3452.00,3452.00,3452.00,35144812,10181,3,D,3413.00,3452.00
SADR-000220-NT,20210111,3413.00,3413.00,3413.00,3413.00,3413,1,1,D,3819.00,3413.00
SADR-000220-NT,20210110,3819.00,3819.00,3819.00,3819.00,5843070,1530,1,D,3815.00,3819.00
SADR-000220-NT,20210109,3815.00,3815.00,3815.00,3815.00,190750,50,1,D,3454.00,3815.00
SADR-000220-NT,20210106,3454.00,3454.00,3454.00,3454.00,50946500,14750,3,D,2990.00,3454.00
SADR-000220-NT,20210105,2990.00,2990.00,2990.00,2990.00,46539350,15565,6,D,2926.00,2990.00
SADR-000220-NT,20210104,2926.00,2926.00,2926.00,2926.00,101789688,34788,8,D,2299.00,2926.00
SADR-000220-NT,20210102,2299.00,2299.00,2299.00,2299.00,45980,20,1,D,1464.00,2299.00
SADR-000220-NT,20201229,1464.00,1464.00,1464.00,1464.00,127368000,87000,7,D,1660.00,1464.00
SADR-000220-NT,20201228,1660.00,1660.00,1660.00,1660.00,2921600,1760,3,D,1612.00,1660.00
SADR-000220-NT,20201226,1612.00,1612.00,1612.00,1612.00,50652264,31422,8,D,1371.00,1612.00
SADR-000220-NT,20201223,1371.00,1371.00,1371.00,1371.00,105224250,76750,4,D,1347.00,1371.00
SADR-000220-NT,20201222,1347.00,1347.00,1347.00,1347.00,6735000,5000,1,D,1735.00,1347.00
SADR-000220-NT,20201216,1735.00,1735.00,1735.00,1735.00,1754085,1011,3,D,617.00,1735.00
SADR-000220-NT,20201214,617.00,617.00,617.00,617.00,19272612,31236,8,D,834.00,617.00
SADR-000220-NT,20201213,834.00,834.00,834.00,834.00,34303254,41131,9,D,1390.00,834.00
SADR-000220-NT,20201212,1390.00,1390.00,1390.00,1390.00,320022480,230232,32,D,1189.00,1390.00
SADR-000220-NT,20201209,1189.00,1189.00,1189.00,1189.00,484305858,407322,42,D,915.00,1189.00
SADR-000220-NT,20201208,915.00,915.00,915.00,915.00,54668505,59747,13,D,581.00,915.00
SADR-000220-NT,20201207,581.00,581.00,581.00,581.00,323036,556,2,D,1138.00,581.00
SADR-000220-NT,20201206,1138.00,1138.00,1138.00,1138.00,233534670,205215,22,D,1604.00,1138.00
SADR-000220-NT,20201205,1604.00,1604.00,1604.00,1604.00,188115516,117279,36,D,1553.00,1604.00
SADR-000220-NT,20201202,1553.00,1553.00,1553.00,1553.00,59653836,38412,5,D,2778.00,1553.00
SADR-000220-NT,20201128,2778.00,2778.00,2778.00,2778.00,15873492,5714,6,D,2777.00,2778.00
SADR-000220-NT,20201125,2777.00,2777.00,2777.00,2777.00,17689490,6370,2,D,2609.00,2777.00
SADR-000220-NT,20201123,2609.00,2609.00,2609.00,2609.00,15664436,6004,4,D,2496.00,2609.00
SADR-000220-NT,20201122,2496.00,2496.00,2496.00,2496.00,202200960,81010,4,D,2932.00,2496.00
SADR-000220-NT,20201121,2932.00,2932.00,2932.00,2932.00,23397360,7980,9,D,3391.00,2932.00
SADR-000220-NT,20201118,3391.00,3391.00,3391.00,3391.00,186505,55,2,D,3827.00,3391.00
SADR-000220-NT,20201117,3827.00,3827.00,3827.00,3827.00,6260972,1636,6,D,3874.00,3827.00
SADR-000220-NT,20201116,3874.00,3874.00,3874.00,3874.00,1007240,260,5,D,3990.00,3874.00
SADR-000220-NT,20201115,3990.00,3990.00,3990.00,3990.00,12241320,3068,12,D,4356.00,3990.00
SADR-000220-NT,20201114,4356.00,4356.00,4356.00,4356.00,375051600,86100,62,D,4095.00,4356.00
SADR-000220-NT,20201111,4095.00,4095.00,4095.00,4095.00,2378523420,580836,180,D,3822.00,4095.00
SADR-000220-NT,20201110,3822.00,3822.00,3822.00,3822.00,1077593790,281945,114,D,3358.00,3822.00
SADR-000220-NT,20201109,3358.00,3358.00,3358.00,3358.00,923728714,275083,121,D,3254.00,3358.00
SADR-000220-NT,20201108,3254.00,3254.00,3254.00,3254.00,412431484,126746,54,D,3151.00,3254.00
SADR-000220-NT,20201107,3151.00,3151.00,3151.00,3151.00,635254204,201604,68,D,3580.00,3151.00
SADR-000220-NT,20201104,3580.00,3580.00,3580.00,3580.00,835296340,233323,135,D,3442.00,3580.00
SADR-000220-NT,20201102,3442.00,3442.00,3442.00,3442.00,1347243546,391413,191,D,3019.00,3442.00
SADR-000220-NT,20201101,3019.00,3019.00,3019.00,3019.00,1024138389,339231,84,D,3085.00,3019.00
SADR-000220-NT,20201031,3085.00,3085.00,3085.00,3085.00,1234000000,400000,170,D,2344.00,3085.00
SADR-000220-NT,20201028,2344.00,2344.00,2344.00,2344.00,687075624,293121,136,D,2341.00,2344.00
SADR-000220-NT,20201027,2341.00,2341.00,2341.00,2341.00,1594899890,681290,232,D,2317.00,2341.00
SADR-000220-NT,20201026,2317.00,2317.00,2317.00,2317.00,2409680000,1040000,355,D,1869.00,2317.00
SADR-000220-NT,20201021,1869.00,1869.00,1869.00,1869.00,3076359048,1645992,481,D,1665.00,1869.00
SADR-000220-NT,20201020,1665.00,1665.00,1665.00,1665.00,2005937055,1204767,351,D,1422.00,1665.00
SADR-000220-NT,20201019,1422.00,1422.00,1422.00,1422.00,1561169718,1097869,343,D,1058.00,1422.00
SADR-000220-NT,20201018,1058.00,1058.00,1058.00,1058.00,402335182,380279,133,D,834.00,1058.00
SADR-000220-NT,20201014,834.00,834.00,834.00,834.00,296630448,355672,125,D,840.00,834.00
