<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ZOBZ-7330-P-210314,20201122,2270.00,2270.00,2270.00,2270.00,3178000,1400,2,D,2260.00,2270.00
ZOBZ-7330-P-210314,20201121,2260.00,2260.00,2260.00,2260.00,1760540,779,3,D,2030.00,2260.00
ZOBZ-7330-P-210314,20201118,2030.00,2030.00,2030.00,2030.00,97306020,47934,16,D,2260.00,2030.00
ZOBZ-7330-P-210314,20201117,2260.00,2260.00,2260.00,2260.00,10445720,4622,10,D,2550.00,2260.00
ZOBZ-7330-P-210314,20201115,2550.00,2550.00,2550.00,2550.00,55123350,21617,6,D,2530.00,2550.00
ZOBZ-7330-P-210314,20201108,2530.00,2530.00,2530.00,2530.00,173568120,68604,42,D,2395.00,2530.00
ZOBZ-7330-P-210314,20201031,4461.00,2500.00,2350.00,2395.00,53335450,22270,12,D,2300.00,2350.00
ZOBZ-7330-P-210314,20201024,2300.00,2300.00,2300.00,2300.00,600382800,261036,198,D,2000.00,2300.00
ZOBZ-7330-P-210314,20201021,2000.00,2000.00,2000.00,2000.00,639462000,319731,177,D,1900.00,2000.00
ZOBZ-7330-P-210314,20201020,1900.00,1900.00,1900.00,1900.00,761787900,400941,201,D,1800.00,1900.00
ZOBZ-7330-P-210314,20201019,1800.00,1800.00,1800.00,1800.00,456613200,253674,95,D,1500.00,1800.00
ZOBZ-7330-P-210314,20201018,1500.00,1500.00,1500.00,1500.00,404611500,269741,176,D,1200.00,1500.00
ZOBZ-7330-P-210314,20201014,1200.00,1200.00,1200.00,1200.00,395907600,329923,175,D,800.00,1200.00
ZOBZ-7330-P-210314,20201013,800.00,800.00,800.00,800.00,388000000,485000,197,D,700.00,800.00
ZOBZ-7330-P-210314,20201012,700.00,700.00,700.00,700.00,236953500,338505,164,D,500.00,700.00
ZOBZ-7330-P-210314,20201011,500.00,500.00,500.00,500.00,240000000,480000,108,D,700.00,500.00
ZOBZ-7330-P-210314,20201010,700.00,700.00,700.00,700.00,241555300,345079,101,D,810.00,700.00
ZOBZ-7330-P-210314,20201007,810.00,810.00,810.00,810.00,216032670,266707,100,D,1600.00,810.00
ZOBZ-7330-P-210314,20201005,1600.00,1600.00,1600.00,1600.00,298681600,186676,78,D,2000.00,1600.00
ZOBZ-7330-P-210314,20201004,2000.00,2000.00,2000.00,2000.00,804298000,402149,262,D,2000.00,2000.00
ZOBZ-7330-P-210314,20201003,2000.00,2000.00,2000.00,2000.00,435560000,217780,168,D,1900.00,2000.00
ZOBZ-7330-P-210314,20200930,1900.00,1900.00,1900.00,1900.00,1434196000,754840,340,D,1900.00,1900.00
ZOBZ-7330-P-210314,20200929,1900.00,1900.00,1900.00,1900.00,1298906500,683635,311,D,1700.00,1900.00
ZOBZ-7330-P-210314,20200928,1700.00,1700.00,1700.00,1700.00,1601269100,941923,485,D,1500.00,1700.00
ZOBZ-7330-P-210314,20200927,1500.00,1500.00,1500.00,1500.00,914929500,609953,322,D,1052.00,1500.00
ZOBZ-7330-P-210314,20200926,5915.00,5915.00,910.00,1052.00,3065158780,2913177,983,D,850.00,910.00
ZOBZ-7330-P-210314,20200923,850.00,850.00,850.00,850.00,1087920100,1279906,624,D,700.00,850.00
ZOBZ-7330-P-210314,20200922,700.00,700.00,700.00,700.00,110751900,158217,124,D,260.00,700.00
ZOBZ-7330-P-210314,20200921,260.00,260.00,260.00,260.00,140354760,539826,143,D,7330.00,260.00
