<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ARMAGHAN.ETF,20210921,10073.00,10083.00,10073.00,10075.00,5410149191,536990,70,D,10072.00,10080.00
ARMAGHAN.ETF,20210920,10077.00,10079.00,10066.00,10072.00,4378232366,434691,82,D,10064.00,10076.00
ARMAGHAN.ETF,20210919,10063.00,10076.00,10062.00,10064.00,8481858400,842755,81,D,10061.00,10075.00
ARMAGHAN.ETF,20210918,10055.00,10075.00,10055.00,10061.00,9004208579,894941,87,D,10046.00,10060.00
ARMAGHAN.ETF,20210915,10041.00,10055.00,10041.00,10046.00,4097004751,407826,103,D,10037.00,10054.00
ARMAGHAN.ETF,20210914,10034.00,10047.00,10034.00,10037.00,9866690990,983027,99,D,10029.00,10043.00
ARMAGHAN.ETF,20210913,10033.00,10045.00,10025.00,10029.00,19874681724,1981771,136,D,10031.00,10036.00
ARMAGHAN.ETF,20210912,10039.00,10041.00,10026.00,10031.00,10542603573,1050960,141,D,10026.00,10033.00
ARMAGHAN.ETF,20210911,10034.00,10036.00,10017.00,10026.00,13927096117,1389033,115,D,10008.00,10032.00
ARMAGHAN.ETF,20210908,10004.00,10014.00,10003.00,10008.00,13491499088,1348132,165,D,10005.00,10012.00
ARMAGHAN.ETF,20210907,10002.00,10013.00,10001.00,10005.00,21141106238,2113078,176,D,10161.00,10006.00
ARMAGHAN.ETF,20210906,10170.00,10170.00,10161.00,10161.00,71341333436,7021000,224,D,10157.00,10162.00
ARMAGHAN.ETF,20210905,10158.00,10160.00,10156.00,10157.00,32913823638,3240437,128,D,10154.00,10160.00
ARMAGHAN.ETF,20210904,10170.00,10170.00,10152.00,10154.00,8530636133,840138,85,D,10147.00,10154.00
ARMAGHAN.ETF,20210901,10150.00,10150.00,10136.00,10147.00,8721861366,859559,85,D,10133.00,10149.00
ARMAGHAN.ETF,20210831,10135.00,10143.00,10129.00,10133.00,14872699264,1467769,119,D,10126.00,10140.00
ARMAGHAN.ETF,20210830,10134.00,10136.00,10122.00,10126.00,52485269874,5183366,203,D,10119.00,10135.00
ARMAGHAN.ETF,20210829,10133.00,10133.00,10117.00,10119.00,29157776506,2881459,178,D,10114.00,10128.00
ARMAGHAN.ETF,20210828,10097.00,10120.00,10097.00,10114.00,39117903041,3867620,241,D,10095.00,10120.00
ARMAGHAN.ETF,20210825,10096.00,10097.00,10095.00,10095.00,37821971491,3746535,236,D,10084.00,10095.00
ARMAGHAN.ETF,20210824,10098.00,10098.00,10068.00,10084.00,134917041827,13378985,423,D,10076.00,10074.00
ARMAGHAN.ETF,20210823,10084.00,10085.00,10067.00,10076.00,171653039134,17035156,463,D,10078.00,10079.00
ARMAGHAN.ETF,20210822,10079.00,10080.00,10045.00,10078.00,195805691258,19429731,571,D,10056.00,10055.00
ARMAGHAN.ETF,20210815,10060.00,10063.00,10040.00,10056.00,76954639637,7652518,213,D,10043.00,10053.00
ARMAGHAN.ETF,20210814,10027.00,10063.00,10027.00,10043.00,85888812129,8551906,304,D,10018.00,10063.00
ARMAGHAN.ETF,20210811,10018.00,10022.00,10015.00,10018.00,115465888694,11525946,364,D,10014.00,10015.00
ARMAGHAN.ETF,20210810,10017.00,10018.00,10013.00,10014.00,30744599325,3070303,188,D,10007.00,10013.00
ARMAGHAN.ETF,20210809,10007.00,10010.00,10007.00,10007.00,20004655100,1998995,136,D,10003.00,10007.00
ARMAGHAN.ETF,20210808,10005.00,10005.00,10002.00,10003.00,23727500075,2372126,155,D,10001.00,10003.00
ARMAGHAN.ETF,20210807,10007.00,10007.00,10000.00,10001.00,44672189874,4466831,245,D,10143.00,10000.00
ARMAGHAN.ETF,20210804,10146.00,10159.00,10141.00,10143.00,47214330007,4655089,196,D,10136.00,10141.00
ARMAGHAN.ETF,20210803,10132.00,10146.00,10132.00,10136.00,10621434499,1047897,81,D,10129.00,10140.00
ARMAGHAN.ETF,20210802,10128.00,10133.00,10125.00,10129.00,11027720576,1088751,80,D,10124.00,10130.00
ARMAGHAN.ETF,20210801,10120.00,10126.00,10120.00,10124.00,21745269627,2147844,122,D,10122.00,10125.00
ARMAGHAN.ETF,20210731,10137.00,10137.00,10120.00,10122.00,60976342111,6024251,314,D,10120.00,10125.00
ARMAGHAN.ETF,20210728,10104.00,10125.00,10104.00,10120.00,41020526383,4053309,189,D,10096.00,10120.00
ARMAGHAN.ETF,20210727,10100.00,10106.00,10094.00,10096.00,33789686165,3346752,162,D,10092.00,10101.00
ARMAGHAN.ETF,20210726,10091.00,10110.00,10090.00,10092.00,25799917314,2556356,167,D,10055.00,10097.00
ARMAGHAN.ETF,20210719,10058.00,10069.00,10054.00,10055.00,87245237055,8676729,298,D,10048.00,10056.00
ARMAGHAN.ETF,20210718,10055.00,10055.00,10048.00,10048.00,34327852308,3416241,163,D,10044.00,10050.00
ARMAGHAN.ETF,20210717,10043.00,10048.00,10043.00,10044.00,20287876754,2019861,198,D,10038.00,10043.00
ARMAGHAN.ETF,20210714,10032.00,10044.00,10032.00,10038.00,20366062460,2028937,159,D,10036.00,10039.00
ARMAGHAN.ETF,20210713,10030.00,10038.00,10030.00,10036.00,16563515542,1650415,136,D,10026.00,10035.00
ARMAGHAN.ETF,20210712,10028.00,10035.00,10023.00,10026.00,16617979950,1657420,149,D,10027.00,10026.00
ARMAGHAN.ETF,20210711,10029.00,10030.00,10019.00,10027.00,32072497161,3198703,185,D,10018.00,10026.00
ARMAGHAN.ETF,20210710,10013.00,10023.00,10012.00,10018.00,40696884696,4062322,228,D,10002.00,10023.00
ARMAGHAN.ETF,20210707,10008.00,10012.00,10000.00,10002.00,54923708481,5491246,320,D,10164.00,10003.00
ARMAGHAN.ETF,20210706,10163.00,10169.00,10163.00,10164.00,29318261246,2884587,195,D,10157.00,10164.00
ARMAGHAN.ETF,20210705,10156.00,10167.00,10156.00,10157.00,51108647179,5031872,208,D,10152.00,10160.00
ARMAGHAN.ETF,20210704,10152.00,10158.00,10151.00,10152.00,14372307344,1415650,120,D,10148.00,10151.00
ARMAGHAN.ETF,20210703,10146.00,10153.00,10146.00,10148.00,26426434087,2604229,143,D,10131.00,10153.00
ARMAGHAN.ETF,20210630,10133.00,10136.00,10125.00,10131.00,33449971978,3301637,164,D,10129.00,10130.00
ARMAGHAN.ETF,20210629,10134.00,10134.00,10126.00,10129.00,14247174181,1406628,126,D,10123.00,10133.00
ARMAGHAN.ETF,20210628,10123.00,10134.00,10121.00,10123.00,48616020147,4802732,211,D,10121.00,10122.00
ARMAGHAN.ETF,20210627,10119.00,10129.00,10116.00,10121.00,18230991433,1801367,119,D,10115.00,10125.00
ARMAGHAN.ETF,20210626,10112.00,10123.00,10111.00,10115.00,22276547191,2202279,161,D,10101.00,10119.00
ARMAGHAN.ETF,20210623,10112.00,10112.00,10097.00,10101.00,30971575275,3066062,183,D,10093.00,10106.00
ARMAGHAN.ETF,20210622,10091.00,10102.00,10090.00,10093.00,19996360465,1981182,125,D,10082.00,10102.00
ARMAGHAN.ETF,20210621,10084.00,10087.00,10082.00,10082.00,61793323957,6128978,197,D,10078.00,10083.00
ARMAGHAN.ETF,20210620,10078.00,10080.00,10051.00,10078.00,105089383582,10427677,275,D,10072.00,10051.00
ARMAGHAN.ETF,20210619,10079.00,10079.00,10028.00,10072.00,267975667814,26606999,652,D,10056.00,10060.00
ARMAGHAN.ETF,20210616,10056.00,10060.00,10054.00,10056.00,34769053610,3457662,168,D,10055.00,10054.00
ARMAGHAN.ETF,20210615,10060.00,10061.00,10049.00,10055.00,6616045254,657958,89,D,10056.00,10049.00
ARMAGHAN.ETF,20210614,10047.00,10057.00,10045.00,10056.00,109300129702,10868932,318,D,10050.00,10045.00
ARMAGHAN.ETF,20210613,10043.00,10054.00,10043.00,10050.00,7417315326,738057,102,D,10041.00,10054.00
ARMAGHAN.ETF,20210612,10044.00,10047.00,10030.00,10041.00,16344217207,1627752,136,D,10024.00,10043.00
ARMAGHAN.ETF,20210609,10025.00,10030.00,10013.00,10024.00,26798080908,2673400,157,D,10018.00,10028.00
ARMAGHAN.ETF,20210608,10011.00,10040.00,10010.00,10018.00,20748182660,2071135,181,D,10015.00,10040.00
ARMAGHAN.ETF,20210607,10075.00,10075.00,10010.00,10015.00,34335327047,3428494,248,D,10165.00,10011.00
ARMAGHAN.ETF,20210602,10158.00,10172.00,10149.00,10165.00,29844308711,2936117,159,D,10151.00,10172.00
ARMAGHAN.ETF,20210601,10152.00,10156.00,10145.00,10151.00,18400020516,1812710,117,D,10145.00,10147.00
ARMAGHAN.ETF,20210531,10148.00,10148.00,10137.00,10145.00,7967089891,785357,107,D,10136.00,10145.00
ARMAGHAN.ETF,20210530,10132.00,10148.00,10131.00,10136.00,11479412483,1132545,145,D,10134.00,10148.00
ARMAGHAN.ETF,20210529,10129.00,10144.00,10130.00,10134.00,12052064106,1189219,182,D,10130.00,10134.00
ARMAGHAN.ETF,20210526,10114.00,10135.00,10114.00,10130.00,27629594020,2727445,146,D,10119.00,10128.00
ARMAGHAN.ETF,20210525,10110.00,10139.00,10110.00,10119.00,13288150374,1313169,124,D,10112.00,10139.00
ARMAGHAN.ETF,20210524,10104.00,10133.00,10104.00,10112.00,18225123740,1802381,116,D,10104.00,10110.00
ARMAGHAN.ETF,20210523,10104.00,10104.00,10100.00,10104.00,20963036224,2074801,103,D,10098.00,10104.00
ARMAGHAN.ETF,20210522,10094.00,10101.00,10088.00,10098.00,61138035809,6054743,202,D,10079.00,10098.00
ARMAGHAN.ETF,20210519,10075.00,10081.00,10074.00,10079.00,28683380304,2845735,111,D,10074.00,10081.00
ARMAGHAN.ETF,20210518,10063.00,10080.00,10063.00,10074.00,21277263226,2112112,121,D,10061.00,10080.00
ARMAGHAN.ETF,20210517,10057.00,10064.00,10057.00,10061.00,18412851333,1830114,122,D,10056.00,10064.00
ARMAGHAN.ETF,20210516,10054.00,10063.00,10050.00,10056.00,10688860223,1062950,98,D,10052.00,10053.00
ARMAGHAN.ETF,20210515,10057.00,10061.00,10045.00,10052.00,14526078585,1445083,122,D,10039.00,10061.00
ARMAGHAN.ETF,20210512,10040.00,10043.00,10030.00,10039.00,10389264979,1034912,115,D,10037.00,10043.00
ARMAGHAN.ETF,20210511,10033.00,10045.00,10026.00,10037.00,43085492555,4292475,183,D,10022.00,10039.00
ARMAGHAN.ETF,20210510,10029.00,10032.00,10009.00,10022.00,49210559357,4910071,243,D,10024.00,10032.00
ARMAGHAN.ETF,20210509,10023.00,10028.00,10020.00,10024.00,135524056239,13519976,412,D,10018.00,10025.00
ARMAGHAN.ETF,20210508,10018.00,10020.00,10016.00,10018.00,126346326156,12611962,550,D,10163.00,10020.00
ARMAGHAN.ETF,20210505,10185.00,10190.00,10147.00,10163.00,551053338959,54219085,1297,D,10187.00,10172.00
ARMAGHAN.ETF,20210503,10200.00,10200.00,10178.00,10187.00,10411497966,1022002,76,D,10196.00,10188.00
ARMAGHAN.ETF,20210502,10199.00,10200.00,10171.00,10196.00,115846977884,11361902,302,D,10203.00,10200.00
ARMAGHAN.ETF,20210501,10200.00,10215.00,10182.00,10203.00,121202559386,11879690,324,D,10196.00,10200.00
ARMAGHAN.ETF,20210428,10190.00,10206.00,10181.00,10196.00,54636114676,5358378,180,D,10184.00,10206.00
