<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Amin.Yekom.ETF,20210921,10149.00,10152.00,10148.00,10149.00,551193570742,54309215,2098,D,10144.00,10152.00
Amin.Yekom.ETF,20210920,10144.00,10147.00,10141.00,10144.00,868443027359,85615268,2662,D,10140.00,10141.00
Amin.Yekom.ETF,20210919,10136.00,10142.00,10120.00,10140.00,1580506661329,155872164,4368,D,10134.00,10141.00
Amin.Yekom.ETF,20210918,10137.00,10138.00,10132.00,10134.00,452597644776,44661195,2148,D,10126.00,10133.00
Amin.Yekom.ETF,20210915,10123.00,10130.00,10122.00,10126.00,1493904666055,147534456,4588,D,10122.00,10125.00
Amin.Yekom.ETF,20210914,10120.00,10126.00,10119.00,10122.00,708526820489,70001576,2659,D,10115.00,10122.00
Amin.Yekom.ETF,20210913,10114.00,10130.00,10112.00,10115.00,608845087655,60193686,2487,D,10109.00,10118.00
Amin.Yekom.ETF,20210912,10114.00,10114.00,10104.00,10109.00,709351095912,70169565,2841,D,10100.00,10108.00
Amin.Yekom.ETF,20210911,10097.00,10108.00,10091.00,10100.00,933358422521,92407920,2906,D,10080.00,10104.00
Amin.Yekom.ETF,20210908,10077.00,10086.00,10076.00,10080.00,481817945354,47799870,3116,D,10072.00,10083.00
Amin.Yekom.ETF,20210907,10074.00,10080.00,10069.00,10072.00,893999789429,88756711,3513,D,10068.00,10076.00
Amin.Yekom.ETF,20210906,10069.00,10072.00,10065.00,10068.00,679007361961,67442198,2744,D,10064.00,10069.00
Amin.Yekom.ETF,20210905,10076.00,10076.00,10055.00,10064.00,1553284725666,154339780,3485,D,10062.00,10065.00
Amin.Yekom.ETF,20210904,10060.00,10069.00,10058.00,10062.00,709856514213,70548676,2637,D,10049.00,10066.00
Amin.Yekom.ETF,20210901,10036.00,10070.00,10035.00,10049.00,9214847123226,916979384,4489,D,10030.00,10047.00
Amin.Yekom.ETF,20210831,10030.00,10037.00,10026.00,10030.00,1990259463325,198432986,5364,D,10024.00,10030.00
Amin.Yekom.ETF,20210830,10025.00,10031.00,10000.00,10024.00,951016310630,94870138,3250,D,10020.00,10026.00
Amin.Yekom.ETF,20210829,10022.00,10024.00,10014.00,10020.00,1317624019826,131501154,4189,D,10014.00,10020.00
Amin.Yekom.ETF,20210828,10017.00,10017.00,10009.00,10014.00,1572408104446,157014405,4966,D,10004.00,10016.00
Amin.Yekom.ETF,20210825,10005.00,10006.00,9999.00,10004.00,1890305108458,188954653,3837,D,10001.00,10004.00
Amin.Yekom.ETF,20210824,10004.00,10005.00,9999.00,10001.00,1721939937654,172172238,5833,D,10000.00,10002.00
Amin.Yekom.ETF,20210823,10000.00,10003.00,9990.00,10000.00,3345619286801,334561215,9077,D,10142.00,9999.00
Amin.Yekom.ETF,20210822,10140.00,10150.00,10138.00,10142.00,1397603483586,137807727,4405,D,10105.00,10145.00
Amin.Yekom.ETF,20210815,10090.00,10145.00,10088.00,10105.00,697660385712,69038063,2967,D,10078.00,10133.00
Amin.Yekom.ETF,20210814,10082.00,10083.00,10072.00,10078.00,1338656165838,132833415,3951,D,10071.00,10081.00
Amin.Yekom.ETF,20210811,10073.00,10079.00,10064.00,10071.00,5030707493774,499511631,5823,D,10067.00,10071.00
Amin.Yekom.ETF,20210810,10069.00,10070.00,10065.00,10067.00,952912364348,94652717,3038,D,10064.00,10067.00
Amin.Yekom.ETF,20210809,10065.00,10067.00,10062.00,10064.00,3871110794115,384649037,2793,D,10060.00,10065.00
Amin.Yekom.ETF,20210808,10063.00,10065.00,10055.00,10060.00,4147443970162,412287417,4324,D,10056.00,10059.00
Amin.Yekom.ETF,20210807,10057.00,10060.00,10052.00,10056.00,1238532363677,123164204,3631,D,10045.00,10057.00
Amin.Yekom.ETF,20210804,10046.00,10050.00,10041.00,10045.00,5848062909131,582183378,2940,D,10040.00,10044.00
Amin.Yekom.ETF,20210803,10039.00,10042.00,10039.00,10040.00,676868214724,67420300,2391,D,10034.00,10042.00
Amin.Yekom.ETF,20210802,10033.00,10037.00,10032.00,10034.00,731001897088,72855812,2604,D,10028.00,10036.00
Amin.Yekom.ETF,20210801,10029.00,10033.00,10019.00,10028.00,1464869732225,146079092,4204,D,10023.00,10022.00
Amin.Yekom.ETF,20210731,10028.00,10028.00,10015.00,10023.00,1738567650816,173451678,5069,D,10018.00,10026.00
Amin.Yekom.ETF,20210728,10016.00,10022.00,10014.00,10018.00,1107763105705,110578117,3890,D,10012.00,10021.00
Amin.Yekom.ETF,20210727,10015.00,10016.00,10005.00,10012.00,1533392272763,153154515,4973,D,10010.00,10011.00
Amin.Yekom.ETF,20210726,10015.00,10015.00,9999.00,10010.00,1625606528273,162391547,5667,D,10120.00,10008.00
Amin.Yekom.ETF,20210719,10125.00,10131.00,10115.00,10120.00,1090216383499,107725060,3367,D,10116.00,10130.00
