<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Parand.ETF,20210921,10084.00,10092.00,10084.00,10085.00,462951392225,45907128,1316,D,10079.00,10085.00
Parand.ETF,20210920,10078.00,10080.00,10078.00,10079.00,457645327774,45407885,1274,D,10072.00,10079.00
Parand.ETF,20210919,10072.00,10074.00,10072.00,10072.00,301272857326,29910728,925,D,10064.00,10073.00
Parand.ETF,20210918,10067.00,10068.00,10062.00,10064.00,5897865846581,586033905,2577,D,10053.00,10066.00
Parand.ETF,20210915,10052.00,10055.00,10051.00,10053.00,328294112749,32655506,1332,D,10046.00,10054.00
Parand.ETF,20210914,10045.00,10047.00,10045.00,10046.00,880142048563,87613228,2058,D,10040.00,10046.00
Parand.ETF,20210913,10040.00,10041.00,10039.00,10040.00,508319944944,50630840,1384,D,10034.00,10040.00
Parand.ETF,20210912,10034.00,10035.00,10033.00,10034.00,811497636008,80875320,2114,D,10028.00,10034.00
Parand.ETF,20210911,10028.00,10029.00,10027.00,10028.00,790043164120,78786385,1857,D,10014.00,10028.00
Parand.ETF,20210908,10013.00,10016.00,10012.00,10014.00,368749731487,36822387,1526,D,10006.00,10013.00
Parand.ETF,20210907,10007.00,10008.00,10006.00,10006.00,666222836706,66579872,2051,D,10173.00,10008.00
Parand.ETF,20210906,10174.00,10176.00,10173.00,10173.00,447797039307,44016267,1346,D,10169.00,10174.00
Parand.ETF,20210905,10169.00,10170.00,10168.00,10169.00,531399865164,52256545,1323,D,10164.00,10169.00
Parand.ETF,20210904,10169.00,10169.00,10162.00,10164.00,169479868902,16675189,756,D,10151.00,10163.00
Parand.ETF,20210901,10147.00,10154.00,10146.00,10151.00,356604944991,35129006,1067,D,10141.00,10154.00
Parand.ETF,20210831,10141.00,10145.00,10140.00,10141.00,430985093998,42498916,1227,D,10136.00,10141.00
Parand.ETF,20210830,10136.00,10140.00,10135.00,10136.00,1683440780977,166085863,1773,D,10129.00,10136.00
Parand.ETF,20210829,10130.00,10135.00,10129.00,10129.00,1881212336947,185718765,2178,D,10124.00,10130.00
Parand.ETF,20210828,10124.00,10129.00,10124.00,10124.00,377369627946,37273097,1196,D,10111.00,10124.00
Parand.ETF,20210825,10110.00,10130.00,10109.00,10111.00,212987504905,21065608,891,D,10097.00,10112.00
Parand.ETF,20210824,10098.00,10108.00,10096.00,10097.00,473501708405,46895856,1379,D,10091.00,10097.00
Parand.ETF,20210823,10091.00,10100.00,10090.00,10091.00,627024147206,62137924,1676,D,10085.00,10091.00
Parand.ETF,20210822,10085.00,10088.00,10083.00,10085.00,1487634388795,147512029,3445,D,10052.00,10083.00
Parand.ETF,20210815,10048.00,10080.00,10046.00,10052.00,293553951375,29203484,1015,D,10041.00,10080.00
Parand.ETF,20210814,10041.00,10043.00,10041.00,10041.00,890289948473,88662359,2274,D,10027.00,10041.00
Parand.ETF,20210811,10027.00,10033.00,10026.00,10027.00,1805379756583,180054918,3143,D,10022.00,10027.00
Parand.ETF,20210810,10021.00,10023.00,10021.00,10022.00,698374017818,69686034,1938,D,10016.00,10022.00
Parand.ETF,20210809,10020.00,10020.00,10013.00,10016.00,1918892469938,191589294,4857,D,11291.00,10017.00
Parand.ETF,20210804,11291.00,11293.00,11290.00,11291.00,826049742256,73158227,1867,D,11279.00,11292.00
Parand.ETF,20210803,11279.00,11287.00,11278.00,11279.00,385660042554,34192026,862,D,11273.00,11279.00
Parand.ETF,20210802,11273.00,11274.00,11272.00,11273.00,267573957956,23736270,714,D,11267.00,11273.00
Parand.ETF,20210801,11267.00,11268.00,11266.00,11267.00,708435491835,62879202,1414,D,11260.00,11267.00
Parand.ETF,20210731,11260.00,11263.00,11260.00,11260.00,542842406914,48208774,1337,D,11249.00,11261.00
Parand.ETF,20210728,11248.00,11255.00,11248.00,11249.00,537577905877,47789713,1341,D,11237.00,11249.00
