<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kamand.ETF,20210921,10083.00,10085.00,10082.00,10082.00,2872223085123,284872661,7180,D,10077.00,10083.00
Kamand.ETF,20210920,10077.00,10079.00,10077.00,10077.00,2688192543368,266755298,6595,D,10071.00,10077.00
Kamand.ETF,20210919,10072.00,10073.00,10071.00,10071.00,2583668123819,256533874,6408,D,10066.00,10071.00
Kamand.ETF,20210918,10066.00,10068.00,10066.00,10066.00,1698441466858,168724563,5122,D,10050.00,10066.00
Kamand.ETF,20210915,10049.00,10052.00,10049.00,10050.00,3330328975958,331374748,8554,D,10045.00,10050.00
Kamand.ETF,20210914,10044.00,10046.00,10044.00,10045.00,2060276119039,205107638,5488,D,10039.00,10046.00
Kamand.ETF,20210913,10039.00,10040.00,10038.00,10039.00,2226939749668,221831964,5635,D,10034.00,10039.00
Kamand.ETF,20210912,10034.00,10035.00,10033.00,10034.00,2212287476753,220483787,6126,D,10028.00,10034.00
Kamand.ETF,20210911,10027.00,10030.00,10027.00,10028.00,6580971126984,656265493,14223,D,10012.00,10028.00
Kamand.ETF,20210908,10011.00,10013.00,10011.00,10012.00,3282990555787,327911917,8591,D,10006.00,10012.00
Kamand.ETF,20210907,10007.00,10100.00,10005.00,10006.00,5048324207838,504528676,10178,D,10170.00,10010.00
Kamand.ETF,20210906,10170.00,10172.00,10170.00,10170.00,1907851519470,187589609,4847,D,10164.00,10170.00
Kamand.ETF,20210905,10165.00,10166.00,10164.00,10164.00,2240185912863,220393248,5337,D,10160.00,10164.00
Kamand.ETF,20210904,10160.00,10161.00,10159.00,10160.00,2076110976270,204343535,4911,D,10143.00,10160.00
Kamand.ETF,20210901,10143.00,10147.00,10142.00,10143.00,2641209248670,260392130,6229,D,10138.00,10142.00
Kamand.ETF,20210831,10137.00,10139.00,10137.00,10138.00,2540156334091,250567594,5969,D,10133.00,10138.00
Kamand.ETF,20210830,10132.00,10134.00,10132.00,10133.00,2729206097934,269342641,6711,D,10127.00,10133.00
Kamand.ETF,20210829,10126.00,10130.00,10126.00,10127.00,3320935046908,327938398,7653,D,10122.00,10126.00
Kamand.ETF,20210828,10121.00,10123.00,10121.00,10122.00,3556053939067,351331333,8199,D,10105.00,10122.00
Kamand.ETF,20210825,10104.00,10107.00,10104.00,10105.00,5053693742469,500122331,11003,D,10099.00,10105.00
Kamand.ETF,20210824,10099.00,10101.00,10099.00,10099.00,2425069650818,240123073,6006,D,10094.00,10099.00
Kamand.ETF,20210823,10093.00,10095.00,10093.00,10094.00,2611146230927,258694398,5981,D,10088.00,10094.00
Kamand.ETF,20210822,10088.00,10090.00,10088.00,10088.00,6726640858541,666776151,10881,D,10066.00,10088.00
Kamand.ETF,20210815,10066.00,10067.00,10065.00,10066.00,4549291543069,451960598,10124,D,10044.00,10065.00
Kamand.ETF,20210814,10044.00,10046.00,10044.00,10044.00,4010444703447,399269214,9125,D,10027.00,10044.00
Kamand.ETF,20210811,10027.00,10029.00,10027.00,10027.00,5171390449659,515721755,11449,D,10023.00,10027.00
Kamand.ETF,20210810,10022.00,10024.00,10022.00,10023.00,2493075231891,248742628,5959,D,10016.00,10024.00
Kamand.ETF,20210809,10016.00,10018.00,10016.00,10016.00,1348662782995,134644319,3706,D,10012.00,10016.00
Kamand.ETF,20210808,10011.00,10013.00,10011.00,10012.00,2369993431028,236721773,5947,D,10006.00,10012.00
Kamand.ETF,20210807,10007.00,10007.00,10005.00,10006.00,2583569004059,258204675,6785,D,10159.00,10006.00
Kamand.ETF,20210804,10159.00,10161.00,10158.00,10159.00,2503917583211,246466052,5972,D,10154.00,10160.00
