<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kardan.ETF,20210921,192560.00,192570.00,186010.00,188990.00,86158370320,455886,454,D,195100.00,188940.00
Kardan.ETF,20210920,197040.00,197680.00,193000.00,195100.00,30142044020,154499,809,D,193460.00,193470.00
Kardan.ETF,20210919,195550.00,199990.00,191100.00,193460.00,75143790330,388427,571,D,197870.00,196490.00
Kardan.ETF,20210918,208770.00,208770.00,197000.00,197870.00,49840201670,251881,438,D,204500.00,197160.00
Kardan.ETF,20210915,207120.00,209660.00,203000.00,204500.00,36791255120,179907,515,D,206630.00,204100.00
Kardan.ETF,20210914,202710.00,210440.00,202710.00,206630.00,40872845380,197811,660,D,201600.00,210030.00
Kardan.ETF,20210913,204210.00,211260.00,200000.00,201600.00,61527870200,305204,676,D,207250.00,202580.00
Kardan.ETF,20210912,211020.00,211020.00,203800.00,207250.00,58914077960,284263,620,D,216340.00,206120.00
Kardan.ETF,20210911,220800.00,221520.00,212150.00,216340.00,26972254050,124673,521,D,217340.00,213000.00
Kardan.ETF,20210908,216330.00,220990.00,213350.00,217340.00,54496698810,250748,829,D,220800.00,217890.00
Kardan.ETF,20210907,226000.00,226000.00,216100.00,220800.00,51954902170,235306,882,D,230410.00,217330.00
Kardan.ETF,20210906,233910.00,234590.00,223150.00,230410.00,48950520010,212453,853,D,233020.00,225500.00
Kardan.ETF,20210905,233500.00,235600.00,223050.00,233020.00,83535288130,358496,779,D,232880.00,233910.00
Kardan.ETF,20210904,230040.00,235500.00,228000.00,232880.00,76691660320,329320,950,D,227790.00,234000.00
Kardan.ETF,20210901,222710.00,230000.00,222710.00,227790.00,129730345130,569519,993,D,221550.00,229750.00
Kardan.ETF,20210831,215120.00,230310.00,208500.00,221550.00,355112927560,1602868,1273,D,220310.00,222500.00
Kardan.ETF,20210830,230000.00,230640.00,215550.00,220310.00,260453456850,1182211,1481,D,238970.00,215550.00
Kardan.ETF,20210829,240100.00,244000.00,232190.00,238970.00,352854875420,1476554,1401,D,234430.00,233500.00
Kardan.ETF,20210828,230000.00,238210.00,229110.00,234430.00,178986402820,763508,1080,D,225920.00,237000.00
Kardan.ETF,20210825,225800.00,228900.00,218550.00,225920.00,132924363000,588359,1137,D,222060.00,227920.00
Kardan.ETF,20210824,216150.00,225720.00,216150.00,222060.00,87319038570,393217,689,D,216140.00,225680.00
Kardan.ETF,20210823,219500.00,219500.00,212500.00,216140.00,94648774310,437897,705,D,216570.00,216300.00
Kardan.ETF,20210822,213150.00,219290.00,213150.00,216570.00,66854919050,308693,744,D,211890.00,216980.00
Kardan.ETF,20210815,212260.00,213690.00,208960.00,211890.00,70112139260,330897,679,D,212270.00,212690.00
Kardan.ETF,20210814,215000.00,217900.00,208000.00,212270.00,98860837640,465721,1097,D,212410.00,213020.00
Kardan.ETF,20210811,207950.00,213700.00,207050.00,212410.00,120745818300,568463,1033,D,205120.00,213270.00
Kardan.ETF,20210810,205000.00,207500.00,202300.00,205120.00,84018447330,409611,577,D,201800.00,207000.00
Kardan.ETF,20210809,199810.00,203880.00,199810.00,201800.00,57461930030,284746,562,D,199700.00,202800.00
Kardan.ETF,20210808,198000.00,200990.00,196000.00,199700.00,119287815970,597350,1108,D,195760.00,200490.00
Kardan.ETF,20210807,194400.00,199700.00,193800.00,195760.00,41257918740,210758,521,D,192240.00,196000.00
Kardan.ETF,20210804,188900.00,197000.00,188900.00,192240.00,108170832790,562700,674,D,187010.00,195480.00
Kardan.ETF,20210803,184800.00,188500.00,184500.00,187010.00,33503927460,179157,438,D,183190.00,188100.00
Kardan.ETF,20210802,183000.00,183990.00,179980.00,183190.00,24607147030,134326,277,D,181450.00,183410.00
Kardan.ETF,20210801,181000.00,183000.00,179990.00,181450.00,33374114980,183934,422,D,177940.00,182000.00
Kardan.ETF,20210731,175930.00,179900.00,174540.00,177940.00,41640629700,234010,494,D,175980.00,179670.00
Kardan.ETF,20210728,177540.00,177540.00,174500.00,175980.00,11621236660,66038,212,D,176800.00,175720.00
Kardan.ETF,20210727,177150.00,177150.00,175100.00,176800.00,16074022190,90914,183,D,177100.00,176000.00
Kardan.ETF,20210726,178180.00,178180.00,176500.00,177100.00,9582246960,54107,152,D,176320.00,177280.00
Kardan.ETF,20210719,178210.00,178210.00,175990.00,176320.00,20104048670,114019,519,D,176390.00,177900.00
Kardan.ETF,20210718,178000.00,178000.00,175200.00,176390.00,22770280660,129089,266,D,176860.00,176350.00
Kardan.ETF,20210717,176550.00,178230.00,176100.00,176860.00,13464025250,76126,257,D,174850.00,177070.00
Kardan.ETF,20210714,174740.00,175190.00,174700.00,174850.00,24701280770,141273,265,D,174770.00,175190.00
Kardan.ETF,20210713,175100.00,176300.00,171500.00,174770.00,34631359730,198153,475,D,174530.00,174790.00
Kardan.ETF,20210712,174900.00,178230.00,172300.00,174530.00,37422706270,214416,406,D,172360.00,173290.00
Kardan.ETF,20210711,171210.00,174100.00,170990.00,172360.00,59862655540,347309,596,D,170350.00,172370.00
Kardan.ETF,20210710,172200.00,172200.00,168900.00,170350.00,25689423470,150808,367,D,171550.00,169990.00
Kardan.ETF,20210707,172890.00,172900.00,169990.00,171550.00,31837046110,185581,582,D,170050.00,171860.00
Kardan.ETF,20210706,167040.00,171980.00,167040.00,170050.00,36231827380,213070,756,D,166090.00,171440.00
Kardan.ETF,20210705,163010.00,166490.00,163010.00,166090.00,30974394600,186487,437,D,161920.00,166240.00
Kardan.ETF,20210704,159680.00,163930.00,157400.00,161920.00,36834746100,227491,418,D,159700.00,162420.00
Kardan.ETF,20210703,161640.00,164990.00,155110.00,159700.00,33177778280,207751,508,D,159700.00,158000.00
Kardan.ETF,20210630,157730.00,160400.00,157730.00,159700.00,27197229510,170306,614,D,157710.00,159690.00
Kardan.ETF,20210629,154900.00,158500.00,154850.00,157710.00,27102717770,171854,401,D,154320.00,158000.00
Kardan.ETF,20210628,151210.00,155980.00,151210.00,154320.00,29717079780,192568,486,D,152980.00,154990.00
Kardan.ETF,20210627,152100.00,154700.00,150610.00,152980.00,41712085070,272657,659,D,151940.00,153490.00
Kardan.ETF,20210626,147700.00,153600.00,147700.00,151940.00,30758494000,202442,647,D,146560.00,151580.00
Kardan.ETF,20210623,142320.00,149000.00,142320.00,146560.00,23954479030,163448,451,D,142830.00,148460.00
Kardan.ETF,20210622,141310.00,144190.00,141310.00,142830.00,16897654220,118307,303,D,141160.00,144120.00
Kardan.ETF,20210621,140000.00,142490.00,139210.00,141160.00,9881943300,70006,186,D,142080.00,141300.00
Kardan.ETF,20210620,144400.00,144400.00,141000.00,142080.00,7404816440,52117,171,D,142500.00,141080.00
Kardan.ETF,20210619,140480.00,143780.00,140480.00,142500.00,17460138080,122527,247,D,139730.00,143500.00
