<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ava.ETF,20210921,7509.00,7509.00,7150.00,7246.00,21692906552,2993643,651,D,7567.00,7186.00
Ava.ETF,20210920,7615.00,7650.00,7483.00,7567.00,12145933753,1605127,419,D,7501.00,7490.00
Ava.ETF,20210919,7647.00,7750.00,7300.00,7501.00,20720141645,2762342,552,D,7623.00,7580.00
Ava.ETF,20210918,7900.00,7900.00,7520.00,7623.00,19624274449,2574339,644,D,7935.00,7565.00
Ava.ETF,20210915,8070.00,8130.00,7822.00,7935.00,17759055952,2238077,780,D,8052.00,7888.00
Ava.ETF,20210914,8000.00,8140.00,7850.00,8052.00,30210709650,3752107,913,D,7854.00,8128.00
Ava.ETF,20210913,8029.00,8112.00,7740.00,7854.00,27371988447,3485316,856,D,8069.00,7840.00
Ava.ETF,20210912,8398.00,8398.00,7900.00,8069.00,24168732245,2995382,787,D,8450.00,8012.00
Ava.ETF,20210911,8551.00,8644.00,8300.00,8450.00,22161387789,2622651,623,D,8454.00,8345.00
Ava.ETF,20210908,8480.00,8550.00,8330.00,8454.00,29795047326,3524480,927,D,8421.00,8480.00
Ava.ETF,20210907,8400.00,8549.00,8320.00,8421.00,37502997669,4453518,879,D,8705.00,8320.00
Ava.ETF,20210906,8641.00,8850.00,8441.00,8705.00,42203051031,4848177,959,D,8721.00,8499.00
Ava.ETF,20210905,8800.00,8880.00,8400.00,8721.00,38897259546,4460362,830,D,8921.00,8750.00
Ava.ETF,20210904,8999.00,9120.00,8770.00,8921.00,65251283000,7313981,1542,D,8914.00,8844.00
Ava.ETF,20210901,8930.00,9079.00,8671.00,8914.00,69173322772,7760493,1335,D,8656.00,8960.00
Ava.ETF,20210831,8560.00,9000.00,8402.00,8656.00,116697995206,13481755,1487,D,8829.00,8799.00
Ava.ETF,20210830,8830.00,9300.00,8500.00,8829.00,129943530446,14718073,1836,D,9108.00,8610.00
Ava.ETF,20210829,9300.00,9330.00,8751.00,9108.00,244999169523,26898827,3591,D,8922.00,8880.00
Ava.ETF,20210828,8709.00,9180.00,8695.00,8922.00,104790284756,11745377,2195,D,8448.00,9082.00
Ava.ETF,20210825,8477.00,8611.00,8200.00,8448.00,50322991305,5956917,1357,D,8337.00,8611.00
Ava.ETF,20210824,8050.00,8448.00,8050.00,8337.00,64226696932,7703929,1190,D,8189.00,8438.00
Ava.ETF,20210823,8330.00,8379.00,7918.00,8189.00,40984507538,5005105,987,D,8182.00,8160.00
Ava.ETF,20210822,7998.00,8300.00,7953.00,8182.00,32133926452,3927515,810,D,7926.00,8300.00
Ava.ETF,20210815,7935.00,8000.00,7700.00,7926.00,18640190555,2351717,480,D,7793.00,7998.00
Ava.ETF,20210814,7780.00,7939.00,7699.00,7793.00,29811957008,3825383,701,D,7704.00,7893.00
Ava.ETF,20210811,7510.00,7777.00,7510.00,7704.00,20632230253,2678146,493,D,7493.00,7777.00
Ava.ETF,20210810,7444.00,7570.00,7430.00,7493.00,25462914168,3398331,453,D,7421.00,7569.00
Ava.ETF,20210809,7419.00,7445.00,7382.00,7421.00,22131547330,2982448,359,D,7373.00,7430.00
Ava.ETF,20210808,7350.00,7400.00,7349.00,7373.00,14468385256,1962345,286,D,7391.00,7390.00
Ava.ETF,20210807,7425.00,7495.00,7336.00,7391.00,18251012212,2469478,387,D,7296.00,7410.00
Ava.ETF,20210804,7239.00,7370.00,7202.00,7296.00,17374032892,2381431,456,D,7189.00,7359.00
Ava.ETF,20210803,7194.00,7210.00,7151.00,7189.00,7949812816,1105858,206,D,7172.00,7208.00
Ava.ETF,20210802,7130.00,7190.00,7130.00,7172.00,10162982654,1417119,209,D,7136.00,7170.00
Ava.ETF,20210801,7159.00,7171.00,7070.00,7136.00,19518669892,2735097,329,D,7139.00,7139.00
Ava.ETF,20210731,7060.00,7158.00,7060.00,7139.00,9605938767,1345602,287,D,7053.00,7157.00
Ava.ETF,20210728,7035.00,7075.00,7034.00,7053.00,9692307368,1374202,208,D,7019.00,7051.00
Ava.ETF,20210727,7040.00,7070.00,7000.00,7019.00,18339029881,2612903,222,D,7045.00,7024.00
Ava.ETF,20210726,7000.00,7095.00,7000.00,7045.00,7196728195,1021484,231,D,7010.00,7065.00
Ava.ETF,20210719,7001.00,7080.00,7000.00,7010.00,14812983657,2113150,298,D,7000.00,7079.00
Ava.ETF,20210718,6999.00,7040.00,6950.00,7000.00,54600552407,7799532,558,D,6986.00,7037.00
Ava.ETF,20210717,7050.00,7080.00,6900.00,6986.00,17817056496,2550269,551,D,6933.00,6935.00
Ava.ETF,20210714,6850.00,7039.00,6827.00,6933.00,21493545758,3100241,520,D,6922.00,7000.00
Ava.ETF,20210713,6951.00,7000.00,6850.00,6922.00,23324445504,3369650,665,D,7038.00,6850.00
Ava.ETF,20210712,7119.00,7122.00,6944.00,7038.00,25459561100,3617281,689,D,7075.00,6990.00
Ava.ETF,20210711,7092.00,7122.00,7000.00,7075.00,14434177759,2040155,478,D,7075.00,7090.00
Ava.ETF,20210710,7199.00,7199.00,7020.00,7075.00,9400513926,1328787,455,D,7206.00,7060.00
Ava.ETF,20210707,7327.00,7327.00,7151.00,7206.00,9139397128,1268351,406,D,7303.00,7190.00
Ava.ETF,20210706,7229.00,7380.00,7229.00,7303.00,25826481321,3536504,692,D,7247.00,7299.00
Ava.ETF,20210705,7211.00,7324.00,7210.00,7247.00,12556463648,1732721,427,D,7228.00,7246.00
Ava.ETF,20210704,7200.00,7330.00,7122.00,7228.00,14866399790,2056749,425,D,7294.00,7205.00
Ava.ETF,20210703,7300.00,7330.00,7210.00,7294.00,50193660767,6881562,624,D,7324.00,7220.00
Ava.ETF,20210630,7367.00,7367.00,7311.00,7324.00,22812898537,3114790,442,D,7339.00,7315.00
Ava.ETF,20210629,7360.00,7400.00,7300.00,7339.00,25225216139,3437245,513,D,7325.00,7322.00
Ava.ETF,20210628,7300.00,7407.00,7000.00,7325.00,36842455667,5029476,715,D,7309.00,7320.00
Ava.ETF,20210627,7300.00,7425.00,7249.00,7309.00,50586214284,6920886,753,D,7321.00,7309.00
Ava.ETF,20210626,7330.00,7380.00,7230.00,7321.00,45278438944,6184713,826,D,7209.00,7303.00
Ava.ETF,20210623,7172.00,7350.00,7110.00,7209.00,45890611710,6365417,777,D,7093.00,7274.00
Ava.ETF,20210622,6995.00,7165.00,6951.00,7093.00,22940367755,3234230,558,D,6881.00,7165.00
Ava.ETF,20210621,6870.00,6978.00,6770.00,6881.00,24900129758,3618875,460,D,6798.00,6950.00
Ava.ETF,20210620,6751.00,6850.00,6740.00,6798.00,41976158959,6174612,467,D,6692.00,6800.00
Ava.ETF,20210619,6666.00,6747.00,6630.00,6692.00,14538195516,2172624,323,D,6631.00,6713.00
Ava.ETF,20210616,6601.00,6660.00,6590.00,6631.00,18174364560,2740762,384,D,6628.00,6660.00
