<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Servat.Parsian.ETF,20210921,85196.00,85800.00,84911.00,85422.00,1270228230,14870,8,D,87779.00,84911.00
Servat.Parsian.ETF,20210920,87560.00,89092.00,87556.00,87779.00,1569494520,17880,30,D,87824.00,88290.00
Servat.Parsian.ETF,20210919,88684.00,89100.00,86819.00,87824.00,5328267410,60670,27,D,89688.00,87870.00
Servat.Parsian.ETF,20210918,91622.00,91622.00,88366.00,89688.00,218838040,2440,14,D,91862.00,89100.00
Servat.Parsian.ETF,20210915,92120.00,92189.00,91360.00,91862.00,3681814910,40080,27,D,92384.00,91821.00
Servat.Parsian.ETF,20210914,90969.00,93020.00,90969.00,92384.00,6193424690,67040,23,D,91510.00,92350.00
Servat.Parsian.ETF,20210913,92237.00,92490.00,89100.00,91510.00,5905167260,64530,25,D,91936.00,91390.00
Servat.Parsian.ETF,20210912,93794.00,93794.00,91021.00,91936.00,2392169080,26020,25,D,96079.00,92552.00
Servat.Parsian.ETF,20210911,94071.00,96100.00,94080.00,96079.00,277969992150,2893130,80,D,93523.00,94700.00
Servat.Parsian.ETF,20210908,93185.00,93815.00,92815.00,93523.00,6889862020,73670,25,D,93347.00,93454.00
Servat.Parsian.ETF,20210907,93743.00,93970.00,93000.00,93347.00,644094650,6900,25,D,94640.00,93070.00
Servat.Parsian.ETF,20210906,94427.00,94940.00,93756.00,94640.00,7442478060,78640,49,D,93832.00,94600.00
Servat.Parsian.ETF,20210905,94338.00,94690.00,93000.00,93832.00,2857192080,30450,47,D,94338.00,94579.00
Servat.Parsian.ETF,20210904,94529.00,94990.00,93621.00,94338.00,10215864380,108290,65,D,94044.00,94360.00
Servat.Parsian.ETF,20210901,92375.00,95239.00,92223.00,94044.00,13420985930,142710,88,D,93023.00,95239.00
Servat.Parsian.ETF,20210831,93083.00,94870.00,90483.00,93023.00,9484589720,101960,66,D,93949.00,92270.00
Servat.Parsian.ETF,20210830,95899.00,95899.00,92607.00,93949.00,19178658150,204140,61,D,96895.00,92980.00
Servat.Parsian.ETF,20210829,98688.00,98688.00,95000.00,96895.00,28802157610,297250,152,D,97588.00,95001.00
Servat.Parsian.ETF,20210828,97257.00,97990.00,97171.00,97588.00,16840758270,172570,115,D,96495.00,97990.00
Servat.Parsian.ETF,20210825,96735.00,97200.00,95560.00,96495.00,16588515780,171910,85,D,95791.00,97184.00
Servat.Parsian.ETF,20210824,94198.00,96800.00,94198.00,95791.00,338022300130,3528730,154,D,93247.00,95830.00
Servat.Parsian.ETF,20210823,93432.00,93929.00,92966.00,93247.00,9387199720,100670,60,D,93047.00,93400.00
Servat.Parsian.ETF,20210822,92801.00,93855.00,92760.00,93047.00,7147847190,76820,71,D,91636.00,93630.00
Servat.Parsian.ETF,20210815,91208.00,92910.00,90985.00,91636.00,5744632070,62690,57,D,90709.00,92250.00
Servat.Parsian.ETF,20210814,91502.00,91959.00,89690.00,90709.00,9653294750,106420,64,D,90586.00,91355.00
Servat.Parsian.ETF,20210811,90054.00,91550.00,89127.00,90586.00,5617242080,62010,73,D,89040.00,91400.00
Servat.Parsian.ETF,20210810,89000.00,89482.00,88794.00,89040.00,4043307780,45410,70,D,88095.00,88834.00
Servat.Parsian.ETF,20210809,88037.00,88880.00,87611.00,88095.00,6637933690,75350,59,D,87421.00,88311.00
Servat.Parsian.ETF,20210808,86889.00,88499.00,86889.00,87421.00,5768894440,65990,50,D,87168.00,88002.00
Servat.Parsian.ETF,20210807,87380.00,88180.00,86680.00,87168.00,9234533410,105940,57,D,85322.00,87100.00
Servat.Parsian.ETF,20210804,85241.00,87326.00,85241.00,85322.00,557053046170,6528850,197,D,85272.00,86800.00
Servat.Parsian.ETF,20210803,85014.00,87000.00,85014.00,85272.00,7107424640,83350,34,D,85121.00,87000.00
Servat.Parsian.ETF,20210802,85232.00,85990.00,84481.00,85121.00,8502774400,99890,50,D,85383.00,85990.00
Servat.Parsian.ETF,20210801,85159.00,85585.00,85123.00,85383.00,4953084260,58010,33,D,84776.00,85334.00
Servat.Parsian.ETF,20210731,83629.00,85999.00,83629.00,84776.00,7085608120,83580,43,D,83492.00,85600.00
Servat.Parsian.ETF,20210728,83051.00,84000.00,82941.00,83492.00,4047680320,48480,36,D,83562.00,83797.00
Servat.Parsian.ETF,20210727,83636.00,84053.00,83119.00,83562.00,3847193510,46040,33,D,83897.00,83300.00
Servat.Parsian.ETF,20210726,83749.00,84350.00,83008.00,83897.00,3579864960,42670,55,D,82886.00,83805.00
Servat.Parsian.ETF,20210719,82303.00,83420.00,82303.00,82886.00,3022853460,36470,43,D,82627.00,82970.00
Servat.Parsian.ETF,20210718,82638.00,82925.00,82226.00,82627.00,3202636650,38760,77,D,86969.00,82425.00
Servat.Parsian.ETF,20210717,84300.00,87000.00,83792.00,86969.00,705461866170,8111660,261,D,84709.00,84100.00
Servat.Parsian.ETF,20210714,83549.00,85999.00,83300.00,84709.00,23804791540,281020,116,D,82984.00,84299.00
Servat.Parsian.ETF,20210713,82447.00,83659.00,82447.00,82984.00,9860169540,118820,68,D,82164.00,83289.00
Servat.Parsian.ETF,20210712,82100.00,83000.00,81549.00,82164.00,5673406460,69050,68,D,80083.00,82359.00
Servat.Parsian.ETF,20210711,79886.00,81705.00,79635.00,80083.00,8970071770,112010,108,D,77859.00,81000.00
Servat.Parsian.ETF,20210710,79025.00,79025.00,77445.00,77859.00,2004085070,25740,42,D,77171.00,78229.00
Servat.Parsian.ETF,20210707,77200.00,78614.00,76963.00,77171.00,9787577240,126830,55,D,74519.00,77500.00
Servat.Parsian.ETF,20210706,75790.00,79789.00,74500.00,74519.00,603019021650,8092150,240,D,75986.00,77888.00
Servat.Parsian.ETF,20210705,76679.00,77520.00,75200.00,75986.00,13377416310,176050,45,D,77103.00,77520.00
Servat.Parsian.ETF,20210704,77099.00,78400.00,76999.00,77103.00,6258463920,81170,39,D,80213.00,77011.00
Servat.Parsian.ETF,20210703,80501.00,80901.00,78200.00,80213.00,4162256000,51890,21,D,79956.00,78200.00
Servat.Parsian.ETF,20210630,80260.00,80661.00,79660.00,79956.00,8578529470,107290,38,D,79655.00,79669.00
Servat.Parsian.ETF,20210629,79653.00,80051.00,79651.00,79655.00,3075495790,38610,24,D,78957.00,79651.00
Servat.Parsian.ETF,20210628,79523.00,79523.00,78629.00,78957.00,2320559800,29390,28,D,78152.00,79300.00
Servat.Parsian.ETF,20210627,78434.00,79825.00,77542.00,78152.00,6398298150,81870,30,D,78061.00,79500.00
Servat.Parsian.ETF,20210626,78051.00,79654.00,77662.00,78061.00,25535314620,327120,93,D,76170.00,78848.00
Servat.Parsian.ETF,20210623,75950.00,77000.00,75623.00,76170.00,19894110840,261180,45,D,74999.00,76500.00
Servat.Parsian.ETF,20210622,74810.00,75677.00,74810.00,74999.00,8428423920,112380,35,D,74450.00,75672.00
Servat.Parsian.ETF,20210621,73699.00,74814.00,73699.00,74450.00,7531313800,101160,16,D,74518.00,74814.00
Servat.Parsian.ETF,20210620,74718.00,74718.00,73831.00,74518.00,2298873610,30850,7,D,74399.00,73900.00
Servat.Parsian.ETF,20210619,73933.00,74836.00,73768.00,74399.00,4148461970,55760,27,D,73008.00,74498.00
Servat.Parsian.ETF,20210616,73254.00,73754.00,73000.00,73008.00,11755791500,161020,9,D,74216.00,73010.00
Servat.Parsian.ETF,20210615,74244.00,74744.00,73500.00,74216.00,4683052590,63100,21,D,73670.00,73500.00
Servat.Parsian.ETF,20210614,73106.00,74500.00,73106.00,73670.00,7881923280,106990,33,D,72064.00,74107.00
Servat.Parsian.ETF,20210613,72964.00,73028.00,71375.00,72064.00,18972182610,263270,30,D,73890.00,72400.00
Servat.Parsian.ETF,20210612,73912.00,74000.00,73227.00,73890.00,663536660,8980,14,D,74443.00,73411.00
Servat.Parsian.ETF,20210609,73921.00,74702.00,73921.00,74443.00,2269037350,30480,9,D,74762.00,74702.00
Servat.Parsian.ETF,20210608,74215.00,76080.00,74075.00,74762.00,14083585600,188380,38,D,73966.00,74490.00
Servat.Parsian.ETF,20210607,73356.00,74850.00,73356.00,73966.00,12590463090,170220,40,D,72646.00,74101.00
Servat.Parsian.ETF,20210602,71942.00,73500.00,71763.00,72646.00,5639540060,77630,13,D,72620.00,73500.00
Servat.Parsian.ETF,20210601,72710.00,72710.00,72107.00,72620.00,1864884560,25680,4,D,72979.00,72107.00
Servat.Parsian.ETF,20210531,72890.00,73754.00,72708.00,72979.00,6626479940,90800,16,D,74284.00,73254.00
Servat.Parsian.ETF,20210530,72883.00,75284.00,72758.00,74284.00,6240578100,84010,35,D,71987.00,72758.00
Servat.Parsian.ETF,20210529,71259.00,73700.00,71000.00,71987.00,9179825630,127520,37,D,70831.00,73030.00
Servat.Parsian.ETF,20210526,70500.00,71531.00,70213.00,70831.00,5076457190,71670,13,D,70825.00,70214.00
Servat.Parsian.ETF,20210525,70660.00,71500.00,69810.00,70825.00,4130518030,58320,23,D,70870.00,70858.00
Servat.Parsian.ETF,20210524,70791.00,71439.00,70320.00,70870.00,5024001840,70890,18,D,70465.00,70986.00
Servat.Parsian.ETF,20210523,71152.00,71510.00,70010.00,70465.00,1178177920,16720,8,D,72128.00,70208.00
Servat.Parsian.ETF,20210522,73086.00,73086.00,71586.00,72128.00,1278828500,17730,12,D,73147.00,71951.00
Servat.Parsian.ETF,20210519,74637.00,74637.00,72766.00,73147.00,1405894170,19220,8,D,74504.00,73137.00
Servat.Parsian.ETF,20210518,73884.00,75457.00,73884.00,74504.00,6476600410,86930,19,D,74162.00,74957.00
Servat.Parsian.ETF,20210517,74859.00,74859.00,73800.00,74162.00,1808076720,24380,11,D,75866.00,73800.00
Servat.Parsian.ETF,20210516,75437.00,76520.00,75437.00,75866.00,1652352210,21780,20,D,75225.00,75460.00
Servat.Parsian.ETF,20210515,74676.00,76050.00,74676.00,75225.00,2840505800,37760,24,D,74933.00,74990.00
Servat.Parsian.ETF,20210512,74389.00,75589.00,73017.00,74933.00,3665701350,48920,38,D,73360.00,74018.00
Servat.Parsian.ETF,20210511,72192.00,74799.00,72000.00,73360.00,4887263050,66620,31,D,71297.00,74799.00
Servat.Parsian.ETF,20210510,70900.00,72600.00,70696.00,71297.00,5773627250,80980,34,D,70669.00,72600.00
Servat.Parsian.ETF,20210509,70900.00,70950.00,70447.00,70669.00,190098470,2690,11,D,70666.00,70900.00
Servat.Parsian.ETF,20210508,71574.00,71575.00,70200.00,70666.00,2707915480,38320,32,D,71408.00,70460.00
Servat.Parsian.ETF,20210505,71200.00,71848.00,71060.00,71408.00,10437676010,146170,46,D,70353.00,71510.00
Servat.Parsian.ETF,20210503,70904.00,70904.00,70227.00,70353.00,2852832850,40550,14,D,71240.00,70230.00
Servat.Parsian.ETF,20210502,72990.00,72990.00,71030.00,71240.00,2541126500,35670,24,D,73192.00,71060.00
Servat.Parsian.ETF,20210501,74054.00,74054.00,72116.00,73192.00,3534431200,48290,21,D,73568.00,72116.00
Servat.Parsian.ETF,20210428,73610.00,74660.00,73090.00,73568.00,8062296080,109590,54,D,73262.00,74300.00
Servat.Parsian.ETF,20210427,71944.00,74600.00,71944.00,73262.00,17182249650,234530,91,D,71735.00,73500.00
Servat.Parsian.ETF,20210426,71133.00,72685.00,70777.00,71735.00,5729458610,79870,69,D,70651.00,72170.00
Servat.Parsian.ETF,20210425,71986.00,72000.00,69710.00,70651.00,2518008680,35640,37,D,72075.00,69751.00
Servat.Parsian.ETF,20210424,71408.00,73171.00,71408.00,72075.00,5455323870,75690,36,D,72912.00,71900.00
Servat.Parsian.ETF,20210421,73935.00,73935.00,72435.00,72912.00,93326800,1280,9,D,73621.00,72435.00
Servat.Parsian.ETF,20210420,72707.00,74350.00,72707.00,73621.00,5752024090,78130,34,D,72358.00,73700.00
Servat.Parsian.ETF,20210419,71700.00,73700.00,71700.00,72358.00,7025196930,97090,42,D,71957.00,73700.00
Servat.Parsian.ETF,20210418,72573.00,72935.00,71526.00,71957.00,1490231280,20710,21,D,73249.00,71550.00
Servat.Parsian.ETF,20210417,74306.00,74306.00,72950.00,73249.00,585995400,8000,13,D,74107.00,72950.00
Servat.Parsian.ETF,20210414,73925.00,74507.00,73925.00,74107.00,2048317790,27640,29,D,75114.00,74051.00
Servat.Parsian.ETF,20210413,73968.00,76200.00,73968.00,75114.00,7032165530,93620,46,D,73348.00,75210.00
