<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ArmanAti.Kosar.ETF,20210921,34250.00,34257.00,34250.00,34252.00,211511873272,6175221,387,D,34234.00,34257.00
ArmanAti.Kosar.ETF,20210920,34233.00,34240.00,34233.00,34234.00,125572116157,3668045,299,D,34216.00,34237.00
ArmanAti.Kosar.ETF,20210919,34217.00,34223.00,34216.00,34216.00,286427505243,8371062,754,D,34198.00,34223.00
ArmanAti.Kosar.ETF,20210918,34198.00,34201.00,34198.00,34198.00,286792235970,8386147,861,D,34147.00,34198.00
ArmanAti.Kosar.ETF,20210915,34147.00,34154.00,34147.00,34147.00,306474992933,8975075,702,D,34131.00,34147.00
ArmanAti.Kosar.ETF,20210914,34130.00,34137.00,34130.00,34131.00,302888612301,8874395,447,D,34114.00,34133.00
ArmanAti.Kosar.ETF,20210913,34119.00,34119.00,34113.00,34114.00,158639236912,4650273,364,D,34097.00,34114.00
ArmanAti.Kosar.ETF,20210912,34096.00,34103.00,34096.00,34097.00,310695427648,9112114,450,D,34079.00,34097.00
ArmanAti.Kosar.ETF,20210911,34078.00,34084.00,34078.00,34079.00,192911259133,5660717,328,D,34027.00,34079.00
ArmanAti.Kosar.ETF,20210908,34026.00,34033.00,34026.00,34027.00,160589686965,4719437,686,D,34008.00,34032.00
ArmanAti.Kosar.ETF,20210907,34008.00,34012.00,34006.00,34008.00,161409471620,4746252,511,D,33991.00,34012.00
ArmanAti.Kosar.ETF,20210906,33989.00,33996.00,33989.00,33991.00,138625427749,4078339,439,D,33970.00,33989.00
ArmanAti.Kosar.ETF,20210905,33969.00,33976.00,33969.00,33970.00,115290958388,3393936,297,D,33949.00,33976.00
ArmanAti.Kosar.ETF,20210904,33948.00,33955.00,33948.00,33949.00,266955988179,7863388,463,D,33890.00,33948.00
ArmanAti.Kosar.ETF,20210901,33908.00,33912.00,33887.00,33890.00,544069362740,16054140,629,D,33868.00,33889.00
ArmanAti.Kosar.ETF,20210831,33867.00,33873.00,33867.00,33868.00,360643487129,10648393,595,D,33848.00,33873.00
ArmanAti.Kosar.ETF,20210830,33852.00,33857.00,33837.00,33848.00,545694635740,16121926,638,D,33827.00,33848.00
ArmanAti.Kosar.ETF,20210829,33827.00,33836.00,33826.00,33827.00,212667514909,6287008,434,D,33807.00,33827.00
ArmanAti.Kosar.ETF,20210828,33806.00,33812.00,33806.00,33807.00,502049686846,14850669,654,D,33746.00,33812.00
ArmanAti.Kosar.ETF,20210825,33754.00,33754.00,33745.00,33746.00,514254439202,15238788,708,D,33725.00,33746.00
ArmanAti.Kosar.ETF,20210824,33724.00,33734.00,33715.00,33725.00,338876999629,10048230,614,D,33701.00,33732.00
ArmanAti.Kosar.ETF,20210823,33700.00,33707.00,33700.00,33701.00,381434371599,11318129,542,D,33680.00,33701.00
ArmanAti.Kosar.ETF,20210822,33680.00,33683.00,33595.00,33680.00,1092288172341,32431809,1090,D,33595.00,33680.00
ArmanAti.Kosar.ETF,20210815,33591.00,34202.00,33591.00,33595.00,722974235779,21520451,822,D,33575.00,33591.00
ArmanAti.Kosar.ETF,20210814,33574.00,33581.00,33574.00,33575.00,348630491458,10383749,528,D,33525.00,33581.00
ArmanAti.Kosar.ETF,20210811,33524.00,33531.00,33524.00,33525.00,527393390266,15731467,654,D,33508.00,33525.00
ArmanAti.Kosar.ETF,20210810,33508.00,33514.00,33507.00,33508.00,337027721029,10058165,436,D,33492.00,33508.00
ArmanAti.Kosar.ETF,20210809,33490.00,33497.00,33490.00,33492.00,223350377634,6668849,397,D,33475.00,33490.00
ArmanAti.Kosar.ETF,20210808,33474.00,33481.00,33474.00,33475.00,160385356216,4791234,301,D,33458.00,33474.00
ArmanAti.Kosar.ETF,20210807,33457.00,33464.00,33457.00,33458.00,165011005170,4931916,314,D,33408.00,33458.00
ArmanAti.Kosar.ETF,20210804,33407.00,33412.00,33407.00,33408.00,181717376550,5439399,354,D,33391.00,33407.00
ArmanAti.Kosar.ETF,20210803,33390.00,33397.00,33390.00,33391.00,50095645305,1500280,209,D,33373.00,33397.00
ArmanAti.Kosar.ETF,20210802,33373.00,33377.00,33373.00,33373.00,95505637242,2861744,266,D,33357.00,33375.00
ArmanAti.Kosar.ETF,20210801,33357.00,33364.00,33357.00,33357.00,367713511643,11023554,465,D,33340.00,33357.00
ArmanAti.Kosar.ETF,20210731,33340.00,33346.00,33340.00,33340.00,146999166286,4409083,375,D,33291.00,33341.00
ArmanAti.Kosar.ETF,20210728,33291.00,33297.00,33290.00,33291.00,612139042725,18387574,644,D,33250.00,33291.00
ArmanAti.Kosar.ETF,20210727,33250.00,33257.00,33250.00,33250.00,75040601651,2256827,239,D,33220.00,33252.00
ArmanAti.Kosar.ETF,20210726,33220.00,33226.00,33220.00,33220.00,227678776516,6853575,451,D,33142.00,33220.00
ArmanAti.Kosar.ETF,20210719,33141.00,33148.00,33141.00,33142.00,97558925211,2943699,296,D,33125.00,33148.00
ArmanAti.Kosar.ETF,20210718,33124.00,33130.00,33124.00,33125.00,130270624364,3932749,309,D,33108.00,33124.00
ArmanAti.Kosar.ETF,20210717,33108.00,33115.00,33108.00,33108.00,261841394473,7908624,445,D,33061.00,33111.00
ArmanAti.Kosar.ETF,20210714,33063.00,33065.00,33058.00,33061.00,151602917002,4585561,473,D,33041.00,33065.00
ArmanAti.Kosar.ETF,20210713,33042.00,33047.00,33041.00,33041.00,89756259282,2716485,306,D,33025.00,33044.00
ArmanAti.Kosar.ETF,20210712,33025.00,33032.00,33025.00,33025.00,302242976176,9151815,515,D,33009.00,33032.00
ArmanAti.Kosar.ETF,20210711,33015.00,33015.00,33008.00,33009.00,137887531646,4177313,324,D,32993.00,33015.00
ArmanAti.Kosar.ETF,20210710,32992.00,32999.00,32992.00,32993.00,113909380110,3452562,281,D,32943.00,32995.00
ArmanAti.Kosar.ETF,20210707,32942.00,32949.00,32942.00,32943.00,81416747827,2471422,317,D,32926.00,32948.00
ArmanAti.Kosar.ETF,20210706,32926.00,32933.00,32926.00,32926.00,248635980969,7551276,402,D,32911.00,32932.00
ArmanAti.Kosar.ETF,20210705,32910.00,32917.00,32910.00,32911.00,104946255205,3188765,255,D,32894.00,32917.00
ArmanAti.Kosar.ETF,20210704,32893.00,32900.00,32893.00,32894.00,73991087936,2249407,290,D,32879.00,32895.00
ArmanAti.Kosar.ETF,20210703,32878.00,32884.00,32877.00,32879.00,98546026306,2997270,315,D,32829.00,32883.00
ArmanAti.Kosar.ETF,20210630,32833.00,32833.00,32828.00,32829.00,196814132728,5995053,412,D,32812.00,32833.00
ArmanAti.Kosar.ETF,20210629,32813.00,32817.00,32812.00,32812.00,178038013515,5425943,327,D,32796.00,32816.00
ArmanAti.Kosar.ETF,20210628,32791.00,32800.00,32790.00,32796.00,107573532518,3280039,279,D,32780.00,32799.00
ArmanAti.Kosar.ETF,20210627,32779.00,32784.00,32779.00,32780.00,105057602377,3204973,347,D,32763.00,32779.00
ArmanAti.Kosar.ETF,20210626,32762.00,32767.00,32762.00,32763.00,183350021226,5596302,426,D,32714.00,32763.00
ArmanAti.Kosar.ETF,20210623,32714.00,32719.00,32714.00,32714.00,135529868578,4142808,437,D,32698.00,32719.00
ArmanAti.Kosar.ETF,20210622,32696.00,32701.00,32696.00,32698.00,1039990847583,31805963,817,D,32681.00,32697.00
ArmanAti.Kosar.ETF,20210621,32682.00,32685.00,32678.00,32681.00,1728424540070,52887663,1204,D,32664.00,32678.00
ArmanAti.Kosar.ETF,20210620,32663.00,32668.00,32663.00,32664.00,70487643681,2157955,212,D,32647.00,32667.00
ArmanAti.Kosar.ETF,20210619,32647.00,32651.00,32647.00,32647.00,270521591913,8286229,375,D,32599.00,32648.00
ArmanAti.Kosar.ETF,20210616,32599.00,32604.00,32599.00,32599.00,105893557897,3248319,380,D,32586.00,32604.00
ArmanAti.Kosar.ETF,20210615,32583.00,32588.00,32583.00,32586.00,173355418833,5320011,385,D,32567.00,32584.00
ArmanAti.Kosar.ETF,20210614,32567.00,32572.00,32567.00,32567.00,342859248307,10527684,449,D,32551.00,32567.00
ArmanAti.Kosar.ETF,20210613,32553.00,32559.00,32550.00,32551.00,256207644153,7871074,343,D,32536.00,32550.00
ArmanAti.Kosar.ETF,20210612,32536.00,32541.00,32536.00,32536.00,245823127690,7555315,378,D,32488.00,32536.00
ArmanAti.Kosar.ETF,20210609,32488.00,32492.00,32487.00,32488.00,235494692658,7248576,429,D,32471.00,32492.00
ArmanAti.Kosar.ETF,20210608,32471.00,32475.00,32471.00,32471.00,210025451648,6468026,463,D,32455.00,32471.00
ArmanAti.Kosar.ETF,20210607,32450.00,32470.00,32450.00,32455.00,244128706030,7522123,504,D,32380.00,32464.00
ArmanAti.Kosar.ETF,20210602,32384.00,32490.00,32378.00,32380.00,483409040027,14929195,676,D,32363.00,32490.00
ArmanAti.Kosar.ETF,20210601,32363.00,32367.00,32362.00,32363.00,108446378566,3350969,294,D,32347.00,32363.00
ArmanAti.Kosar.ETF,20210531,32346.00,32351.00,32335.00,32347.00,236245185860,7303436,411,D,32330.00,32346.00
ArmanAti.Kosar.ETF,20210530,32330.00,32346.00,32330.00,32330.00,125811112764,3891420,410,D,32315.00,32331.00
ArmanAti.Kosar.ETF,20210529,32315.00,32320.00,32315.00,32315.00,233749950174,7233454,595,D,32267.00,32317.00
ArmanAti.Kosar.ETF,20210526,32266.00,32270.00,32266.00,32267.00,119193994755,3694000,533,D,32250.00,32269.00
ArmanAti.Kosar.ETF,20210525,32249.00,32253.00,32249.00,32250.00,152325548421,4723340,523,D,32233.00,32250.00
ArmanAti.Kosar.ETF,20210524,32232.00,32237.00,32232.00,32233.00,403704640390,12524723,535,D,32216.00,32232.00
ArmanAti.Kosar.ETF,20210523,32220.00,32220.00,32215.00,32216.00,321811320336,9989132,520,D,32200.00,32216.00
ArmanAti.Kosar.ETF,20210522,32200.00,32298.00,32156.00,32200.00,721003350548,22391333,742,D,32152.00,32200.00
ArmanAti.Kosar.ETF,20210519,32151.00,32156.00,32151.00,32152.00,197262426396,6135318,414,D,32135.00,32156.00
ArmanAti.Kosar.ETF,20210518,32134.00,32137.00,32134.00,32135.00,151235188811,4706302,329,D,32118.00,32136.00
ArmanAti.Kosar.ETF,20210517,32118.00,32121.00,32116.00,32118.00,466331484438,14519522,502,D,32101.00,32118.00
ArmanAti.Kosar.ETF,20210516,32101.00,32105.00,32100.00,32101.00,177614572417,5533012,358,D,32084.00,32100.00
ArmanAti.Kosar.ETF,20210515,32089.00,32089.00,32084.00,32084.00,122207313592,3808929,295,D,32030.00,32084.00
ArmanAti.Kosar.ETF,20210512,32030.00,32035.00,32029.00,32030.00,123923802052,3869035,412,D,32013.00,32029.00
ArmanAti.Kosar.ETF,20210511,32013.00,32020.00,32000.00,32013.00,313434638382,9790919,965,D,31998.00,32001.00
ArmanAti.Kosar.ETF,20210510,31997.00,32002.00,31997.00,31998.00,99792951662,3118755,294,D,31982.00,31999.00
ArmanAti.Kosar.ETF,20210509,31984.00,31985.00,31980.00,31982.00,180298320112,5637569,329,D,31966.00,31985.00
ArmanAti.Kosar.ETF,20210508,31965.00,31970.00,31965.00,31966.00,108384774562,3390596,329,D,31911.00,31970.00
ArmanAti.Kosar.ETF,20210505,31909.00,31915.00,31909.00,31911.00,230980580179,7238276,403,D,31879.00,31911.00
ArmanAti.Kosar.ETF,20210503,31884.00,31885.00,31877.00,31879.00,245560115065,7702870,362,D,31864.00,31879.00
ArmanAti.Kosar.ETF,20210502,31863.00,31870.00,31851.00,31864.00,283392251627,8893760,413,D,31848.00,31870.00
ArmanAti.Kosar.ETF,20210501,31850.00,31856.00,31847.00,31848.00,192925498310,6057696,397,D,31802.00,31847.00
ArmanAti.Kosar.ETF,20210428,31800.00,31815.00,31790.00,31802.00,409219387735,12867612,485,D,31784.00,31803.00
ArmanAti.Kosar.ETF,20210427,31784.00,31789.00,31775.00,31784.00,198460363557,6244077,398,D,31771.00,31784.00
ArmanAti.Kosar.ETF,20210426,31774.00,31775.00,31770.00,31771.00,126352067578,3976950,313,D,31757.00,31775.00
ArmanAti.Kosar.ETF,20210425,31764.00,31765.00,31755.00,31757.00,262693497616,8272070,871,D,31742.00,31760.00
ArmanAti.Kosar.ETF,20210424,31744.00,31746.00,31740.00,31742.00,140883809083,4438448,425,D,31696.00,31746.00
ArmanAti.Kosar.ETF,20210421,31695.00,31700.00,31694.00,31696.00,273951374873,8643069,432,D,31680.00,31700.00
ArmanAti.Kosar.ETF,20210420,31681.00,31683.00,31679.00,31680.00,159016004188,5019420,327,D,31665.00,31682.00
ArmanAti.Kosar.ETF,20210419,31665.00,31670.00,31664.00,31665.00,78556249527,2480829,215,D,31650.00,31664.00
ArmanAti.Kosar.ETF,20210418,31651.00,31655.00,31639.00,31650.00,222271103297,7022755,369,D,31635.00,31650.00
ArmanAti.Kosar.ETF,20210417,31640.00,31640.00,31634.00,31635.00,214353369611,6775858,434,D,31589.00,31635.00
ArmanAti.Kosar.ETF,20210414,31588.00,31600.00,31588.00,31589.00,107589278502,3405905,316,D,31573.00,31589.00
ArmanAti.Kosar.ETF,20210413,31573.00,31579.00,31564.00,31573.00,449870561054,14248578,646,D,31558.00,31573.00
ArmanAti.Kosar.ETF,20210412,31557.00,31560.00,31557.00,31558.00,172529123610,5467025,365,D,31544.00,31560.00
ArmanAti.Kosar.ETF,20210411,31549.00,31550.00,31542.00,31544.00,140087859101,4440966,387,D,31527.00,31550.00
ArmanAti.Kosar.ETF,20210410,31534.00,31534.00,31525.00,31527.00,92070591712,2920346,438,D,31480.00,31530.00
ArmanAti.Kosar.ETF,20210407,31484.00,31484.00,31479.00,31480.00,343554142360,10913391,503,D,31464.00,31480.00
ArmanAti.Kosar.ETF,20210406,31463.00,31468.00,31463.00,31464.00,359126970234,11413931,573,D,31448.00,31464.00
ArmanAti.Kosar.ETF,20210405,31447.00,31450.00,31447.00,31448.00,229666346264,7303130,400,D,31432.00,31448.00
