<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
GanjinehAvid1.ETF,20210921,13726.00,13736.00,13726.00,13732.00,1815050127,132173,28,D,13722.00,13736.00
GanjinehAvid1.ETF,20210920,13719.00,13729.00,13719.00,13722.00,3923239180,285919,34,D,13719.00,13727.00
GanjinehAvid1.ETF,20210919,13712.00,13722.00,13711.00,13719.00,5310123372,387072,44,D,13707.00,13721.00
GanjinehAvid1.ETF,20210918,13715.00,13715.00,13704.00,13707.00,3916477567,285725,33,D,13693.00,13712.00
GanjinehAvid1.ETF,20210915,13685.00,13694.00,13685.00,13693.00,2468779824,180299,38,D,13685.00,13694.00
GanjinehAvid1.ETF,20210914,13675.00,13686.00,13675.00,13685.00,1577477968,115273,29,D,13670.00,13681.00
GanjinehAvid1.ETF,20210913,13668.00,13679.00,13668.00,13670.00,1162043097,85004,30,D,13665.00,13670.00
GanjinehAvid1.ETF,20210912,13665.00,13666.00,13664.00,13665.00,3311854181,242358,40,D,13657.00,13666.00
GanjinehAvid1.ETF,20210911,13653.00,13658.00,13653.00,13657.00,2490659499,182376,22,D,13642.00,13658.00
GanjinehAvid1.ETF,20210908,13639.00,13644.00,13636.00,13642.00,2850280495,208935,62,D,13632.00,13638.00
GanjinehAvid1.ETF,20210907,13636.00,13636.00,13626.00,13632.00,1104901844,81050,40,D,13548.00,13636.00
GanjinehAvid1.ETF,20210906,13619.00,13628.00,12254.00,13548.00,10321955842,761872,74,D,13615.00,13620.00
GanjinehAvid1.ETF,20210905,13623.00,13623.00,13612.00,13615.00,2568447973,188652,24,D,13611.00,13612.00
GanjinehAvid1.ETF,20210904,13616.00,13616.00,13606.00,13611.00,4696131050,345035,27,D,13598.00,13611.00
GanjinehAvid1.ETF,20210901,13599.00,13600.00,13592.00,13598.00,5852459956,430385,30,D,13585.00,13599.00
GanjinehAvid1.ETF,20210831,13580.00,13588.00,13577.00,13585.00,7524150518,553860,45,D,13590.00,13588.00
GanjinehAvid1.ETF,20210830,13569.00,14922.00,13569.00,13590.00,8092642678,595465,59,D,13566.00,13580.00
GanjinehAvid1.ETF,20210829,13566.00,13574.00,13564.00,13566.00,2321296122,171108,24,D,13561.00,13568.00
GanjinehAvid1.ETF,20210828,13555.00,13566.00,13555.00,13561.00,1138615449,83963,31,D,13539.00,13566.00
GanjinehAvid1.ETF,20210825,13546.00,13546.00,13537.00,13539.00,1975799997,145932,28,D,13537.00,13537.00
GanjinehAvid1.ETF,20210824,13538.00,13538.00,13531.00,13537.00,971143850,71742,22,D,13522.00,13536.00
GanjinehAvid1.ETF,20210823,13530.00,13532.00,13518.00,13522.00,6998708760,517564,39,D,13508.00,13523.00
GanjinehAvid1.ETF,20210822,13503.00,13518.00,13503.00,13508.00,10417395621,771209,31,D,13469.00,13518.00
GanjinehAvid1.ETF,20210815,13458.00,13470.00,13458.00,13469.00,5224303052,387887,25,D,13447.00,13469.00
GanjinehAvid1.ETF,20210814,13460.00,13460.00,13447.00,13447.00,619992831,46105,10,D,13430.00,13447.00
GanjinehAvid1.ETF,20210811,13425.00,13439.00,13425.00,13430.00,3753630242,279492,31,D,13423.00,13430.00
GanjinehAvid1.ETF,20210810,13432.00,13432.00,13420.00,13423.00,2430328402,181062,23,D,13413.00,13422.00
GanjinehAvid1.ETF,20210809,13411.00,13424.00,13404.00,13413.00,6137977448,457625,36,D,13405.00,13424.00
GanjinehAvid1.ETF,20210808,13416.00,13416.00,13404.00,13405.00,5486033947,409247,43,D,13396.00,13404.00
GanjinehAvid1.ETF,20210807,13396.00,13407.00,13390.00,13396.00,9958057204,743334,48,D,13384.00,13397.00
GanjinehAvid1.ETF,20210804,13390.00,13390.00,13378.00,13384.00,4168508034,311466,25,D,13378.00,13390.00
GanjinehAvid1.ETF,20210803,13383.00,13384.00,13372.00,13378.00,1321635273,98792,24,D,13370.00,13375.00
GanjinehAvid1.ETF,20210802,13367.00,13376.00,13366.00,13370.00,2192882614,164013,19,D,13362.00,13366.00
GanjinehAvid1.ETF,20210801,13365.00,13368.00,13358.00,13362.00,2543896688,190382,26,D,13352.00,13367.00
GanjinehAvid1.ETF,20210731,13340.00,13360.00,13339.00,13352.00,1840875901,137875,22,D,13338.00,13352.00
GanjinehAvid1.ETF,20210728,13336.00,13339.00,13331.00,13338.00,947875086,71066,31,D,13331.00,13339.00
GanjinehAvid1.ETF,20210727,13319.00,13332.00,13319.00,13331.00,1724520972,129364,20,D,13319.00,13330.00
GanjinehAvid1.ETF,20210726,13312.00,13325.00,13312.00,13319.00,9120631095,684782,52,D,13273.00,13317.00
GanjinehAvid1.ETF,20210719,13277.00,13277.00,13268.00,13273.00,5835544778,439643,35,D,13270.00,13273.00
GanjinehAvid1.ETF,20210718,13270.00,13270.00,13268.00,13270.00,4781865714,360352,38,D,13255.00,13270.00
GanjinehAvid1.ETF,20210717,13268.00,13268.00,13252.00,13255.00,6156557280,464467,28,D,13239.00,13268.00
GanjinehAvid1.ETF,20210714,13230.00,13239.00,13230.00,13239.00,1388297261,104867,21,D,13230.00,13239.00
GanjinehAvid1.ETF,20210713,13227.00,13332.00,13222.00,13230.00,1918652166,145019,20,D,13218.00,13230.00
GanjinehAvid1.ETF,20210712,13224.00,13227.00,13213.00,13218.00,1896129542,143446,25,D,13217.00,13227.00
GanjinehAvid1.ETF,20210711,13212.00,13219.00,13205.00,13217.00,681375847,51554,22,D,13203.00,13213.00
GanjinehAvid1.ETF,20210710,13198.00,13212.00,13198.00,13203.00,1194695420,90486,24,D,13182.00,13212.00
GanjinehAvid1.ETF,20210707,13191.00,13191.00,13178.00,13182.00,1727757282,131067,21,D,13182.00,13191.00
GanjinehAvid1.ETF,20210706,13181.00,13183.00,13180.00,13182.00,2326903568,176518,29,D,13174.00,13183.00
GanjinehAvid1.ETF,20210705,13168.00,13178.00,13166.00,13174.00,1627575978,123541,24,D,13168.00,13178.00
