<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Aseman.Omid.ETF,20210921,13013.00,13020.00,13013.00,13014.00,35701730956,2743299,130,D,13006.00,13013.00
Aseman.Omid.ETF,20210920,13006.00,13011.00,13006.00,13006.00,61776295984,4749712,182,D,12999.00,13006.00
Aseman.Omid.ETF,20210919,12999.00,13005.00,12999.00,12999.00,166974665826,12845059,338,D,12993.00,12999.00
Aseman.Omid.ETF,20210918,12993.00,12999.00,12992.00,12993.00,49827882601,3835096,203,D,12982.00,12992.00
Aseman.Omid.ETF,20210915,12971.00,12984.00,12971.00,12982.00,31134127106,2398194,158,D,12967.00,12984.00
Aseman.Omid.ETF,20210914,12964.00,12969.00,12964.00,12967.00,27855026552,2148119,140,D,12957.00,12964.00
Aseman.Omid.ETF,20210913,12963.00,12963.00,12956.00,12957.00,53125373338,4100071,188,D,12955.00,12958.00
Aseman.Omid.ETF,20210912,12956.00,12956.00,12950.00,12955.00,57581012078,4444604,234,D,12948.00,12956.00
Aseman.Omid.ETF,20210911,12948.00,12949.00,12943.00,12948.00,77938868082,6019521,230,D,12922.00,12944.00
Aseman.Omid.ETF,20210908,12922.00,12933.00,12921.00,12922.00,43399779056,3358619,200,D,12915.00,12923.00
Aseman.Omid.ETF,20210907,12916.00,12920.00,12914.00,12915.00,50526385510,3912375,176,D,12909.00,12916.00
Aseman.Omid.ETF,20210906,12913.00,12913.00,12906.00,12909.00,97226991794,7531523,256,D,12900.00,12913.00
Aseman.Omid.ETF,20210905,12900.00,12906.00,12899.00,12900.00,76839949980,5956452,213,D,12895.00,12906.00
Aseman.Omid.ETF,20210904,12898.00,12899.00,12892.00,12895.00,65727947233,5097330,212,D,12872.00,12899.00
Aseman.Omid.ETF,20210901,12871.00,12885.00,12871.00,12872.00,80661324616,6266485,239,D,12868.00,12871.00
Aseman.Omid.ETF,20210831,12864.00,12871.00,12864.00,12868.00,63975293509,4971529,257,D,12860.00,12871.00
