<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Meyar.ETF,20210921,10155.00,10155.00,10150.00,10154.00,9539004150,939464,30,D,10150.00,10155.00
Meyar.ETF,20210920,10150.00,10150.00,10145.00,10150.00,3989246600,393039,33,D,10140.00,10150.00
Meyar.ETF,20210919,10140.00,10145.00,10140.00,10140.00,8135447962,802273,38,D,10135.00,10145.00
Meyar.ETF,20210918,10135.00,10140.00,10135.00,10135.00,7541348610,744086,28,D,10109.00,10139.00
Meyar.ETF,20210915,10120.00,10125.00,10011.00,10109.00,114523708850,11328901,211,D,10115.00,10120.00
Meyar.ETF,20210914,10120.00,10120.00,10115.00,10115.00,1517912760,150064,10,D,10112.00,10120.00
Meyar.ETF,20210913,10110.00,10115.00,10110.00,10112.00,4937833350,488291,16,D,10109.00,10110.00
Meyar.ETF,20210912,10105.00,10110.00,10105.00,10109.00,1162835750,115030,8,D,10101.00,10109.00
Meyar.ETF,20210911,10105.00,10105.00,10100.00,10101.00,4237598380,419519,23,D,10089.00,10100.00
Meyar.ETF,20210908,10085.00,10090.00,10085.00,10089.00,2349891250,232923,27,D,10081.00,10090.00
Meyar.ETF,20210907,10080.00,10085.00,10080.00,10081.00,5135949114,509488,35,D,10078.00,10080.00
Meyar.ETF,20210906,10076.00,10079.00,10075.00,10078.00,4149964166,411785,27,D,10070.00,10075.00
Meyar.ETF,20210905,10070.00,10075.00,10070.00,10070.00,4221610610,419223,15,D,10065.00,10075.00
Meyar.ETF,20210904,10065.00,10070.00,10065.00,10065.00,9611070285,954894,35,D,10052.00,10065.00
Meyar.ETF,20210901,10050.00,10055.00,10050.00,10052.00,8197279950,815495,25,D,10046.00,10055.00
Meyar.ETF,20210831,10045.00,10050.00,10045.00,10046.00,12607174764,1254984,44,D,10040.00,10045.00
Meyar.ETF,20210830,10045.00,10045.00,10039.00,10040.00,49859834885,4966113,101,D,10035.00,10044.00
Meyar.ETF,20210829,10035.00,10036.00,10035.00,10035.00,2678605950,266924,14,D,10030.00,10036.00
Meyar.ETF,20210828,10030.00,10030.00,10029.00,10030.00,14786025711,1474225,47,D,10015.00,10030.00
Meyar.ETF,20210825,10020.00,10020.00,10014.00,10015.00,56475196657,5639159,138,D,10012.00,10015.00
Meyar.ETF,20210824,10010.00,10015.00,10009.00,10012.00,76376465753,7628669,187,D,10005.00,10014.00
Meyar.ETF,20210823,10010.00,10010.00,10004.00,10005.00,82681955177,8264043,200,D,10155.00,10010.00
Meyar.ETF,20210822,10155.00,10155.00,10155.00,10155.00,8837957430,870306,32,D,10125.00,10155.00
Meyar.ETF,20210815,10120.00,10125.00,10120.00,10125.00,10327597320,1020023,31,D,10120.00,10125.00
Meyar.ETF,20210814,10115.00,10120.00,10115.00,10120.00,4176856128,412743,20,D,10102.00,10120.00
Meyar.ETF,20210811,10100.00,10105.00,10100.00,10102.00,1668488486,165162,27,D,10095.00,10105.00
Meyar.ETF,20210810,10095.00,10096.00,10095.00,10095.00,482290910,47773,10,D,10090.00,10095.00
Meyar.ETF,20210809,10090.00,10091.00,10090.00,10090.00,3071590210,304419,15,D,10085.00,10090.00
Meyar.ETF,20210808,10085.00,10090.00,10085.00,10085.00,6758004079,670102,30,D,10080.00,10085.00
Meyar.ETF,20210807,10080.00,10084.00,10080.00,10080.00,2285785612,226762,22,D,10066.00,10084.00
Meyar.ETF,20210804,10070.00,10070.00,10065.00,10066.00,13725878040,1363654,44,D,10063.00,10065.00
Meyar.ETF,20210803,10065.00,10065.00,10061.00,10063.00,2840552973,282281,22,D,10055.00,10065.00
Meyar.ETF,20210802,10055.00,10059.00,10055.00,10055.00,1635553141,162659,12,D,10051.00,10059.00
