<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Noafarin.PCF,20210901,761750.00,761750.00,761750.00,761750.00,761750000,1000,1,D,692500.00,761750.00
Noafarin.PCF,20210406,342500.00,342500.00,342500.00,342500.00,524025000,1530,1,D,342500.00,342500.00
Noafarin.PCF,20210404,320000.00,350000.00,320000.00,342500.00,1370000000,4000,2,D,325000.00,350000.00
Noafarin.PCF,20210314,325000.00,325000.00,325000.00,325000.00,650000000,2000,1,D,326666.00,325000.00
Noafarin.PCF,20201028,326666.00,326666.00,326666.00,326666.00,326666000,1000,1,D,326666.00,326666.00
Noafarin.PCF,20201020,299999.00,339999.00,299999.00,326666.00,979997000,3000,2,D,339999.00,339999.00
Noafarin.PCF,20201012,339999.00,339999.00,339999.00,339999.00,679998000,2000,1,D,350000.00,339999.00
Noafarin.PCF,20200929,350000.00,350000.00,350000.00,350000.00,350000000,1000,1,D,420000.00,350000.00
Noafarin.PCF,20200926,420000.00,420000.00,420000.00,420000.00,420000000,1000,1,D,420000.00,420000.00
Noafarin.PCF,20200621,420000.00,420000.00,420000.00,420000.00,420000000,1000,1,D,350000.00,420000.00
Noafarin.PCF,20200310,350000.00,350000.00,350000.00,350000.00,14465500000,41330,4,D,350000.00,350000.00
Noafarin.PCF,20200309,350000.00,350000.00,350000.00,350000.00,19600000000,56000,4,D,350000.00,350000.00
Noafarin.PCF,20200307,350000.00,350000.00,350000.00,350000.00,61834500000,176670,15,D,350000.00,350000.00
Noafarin.PCF,20200304,350000.00,350000.00,350000.00,350000.00,5950000000,17000,2,D,350000.00,350000.00
Noafarin.PCF,20200303,350000.00,350000.00,350000.00,350000.00,2100000000,6000,2,D,350000.00,350000.00
Noafarin.PCF,20200302,350000.00,350000.00,350000.00,350000.00,4200000000,12000,3,D,350000.00,350000.00
Noafarin.PCF,20200301,350000.00,350000.00,350000.00,350000.00,1050000000,3000,1,D,350000.00,350000.00
Noafarin.PCF,20200229,350000.00,350000.00,350000.00,350000.00,700000000,2000,2,D,350000.00,350000.00
Noafarin.PCF,20200226,350000.00,350000.00,350000.00,350000.00,12250000000,35000,7,D,350000.00,350000.00
Noafarin.PCF,20200225,350000.00,350000.00,350000.00,350000.00,350000000,1000,1,D,350000.00,350000.00
