<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
HastiBakhshAgahETF,20210921,81848.00,81848.00,78000.00,79082.00,130711828674,1652867,1824,D,81865.00,79000.00
HastiBakhshAgahETF,20210920,81730.00,82990.00,81000.00,81865.00,85492208087,1044301,1312,D,80885.00,81397.00
HastiBakhshAgahETF,20210919,81217.00,82976.00,79110.00,80885.00,183899728685,2273608,2142,D,82103.00,81730.00
HastiBakhshAgahETF,20210918,83700.00,84299.00,81232.00,82103.00,134049890554,1632702,1861,D,84330.00,81405.00
HastiBakhshAgahETF,20210915,85970.00,85970.00,83850.00,84330.00,83605821438,991411,1981,D,84711.00,84070.00
HastiBakhshAgahETF,20210914,83500.00,85963.00,83410.00,84711.00,247283013463,2919132,1928,D,83261.00,85963.00
HastiBakhshAgahETF,20210913,85200.00,85306.00,82138.00,83261.00,151789266992,1823046,2064,D,84350.00,83235.00
HastiBakhshAgahETF,20210912,86385.00,86385.00,83000.00,84350.00,130961207081,1552594,2312,D,87011.00,84600.00
HastiBakhshAgahETF,20210911,87690.00,88500.00,85978.00,87011.00,120812331980,1388470,1757,D,86598.00,86385.00
HastiBakhshAgahETF,20210908,85500.00,87480.00,84669.00,86598.00,156114843567,1802750,2555,D,85802.00,87280.00
HastiBakhshAgahETF,20210907,86129.00,86980.00,85100.00,85802.00,143316277461,1670314,2482,D,87891.00,85124.00
HastiBakhshAgahETF,20210906,88999.00,89499.00,86000.00,87891.00,147717536415,1680685,2324,D,87970.00,86480.00
HastiBakhshAgahETF,20210905,88960.00,89336.00,86310.00,87970.00,91157527787,1036238,1677,D,89337.00,88750.00
HastiBakhshAgahETF,20210904,89260.00,89909.00,88003.00,89337.00,297496472981,3330060,2523,D,87799.00,88960.00
HastiBakhshAgahETF,20210901,86650.00,89000.00,85300.00,87799.00,262747390716,2992592,2588,D,84947.00,89000.00
HastiBakhshAgahETF,20210831,83000.00,88000.00,80800.00,84947.00,397799879395,4682902,3684,D,84084.00,86500.00
HastiBakhshAgahETF,20210830,85840.00,86890.00,83300.00,84084.00,581719369456,6918287,4041,D,89586.00,83400.00
HastiBakhshAgahETF,20210829,91900.00,91977.00,86000.00,89586.00,336054853659,3751184,4867,D,91366.00,86890.00
HastiBakhshAgahETF,20210828,91020.00,91847.00,91020.00,91366.00,329218395927,3603289,3655,D,90731.00,91847.00
HastiBakhshAgahETF,20210825,91166.00,92599.00,89201.00,90731.00,593409576138,6540310,4439,D,90664.00,90860.00
HastiBakhshAgahETF,20210824,88845.00,91150.00,88845.00,90664.00,392703599658,4331394,3605,D,87911.00,90800.00
HastiBakhshAgahETF,20210823,88064.00,88744.00,85600.00,87911.00,205008445243,2331991,2508,D,87344.00,88698.00
