<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
AminTadbirFardaETF,20210921,127500.00,127500.00,120000.00,120795.00,716070299,5928,43,D,128323.00,122350.00
AminTadbirFardaETF,20210920,130000.00,130000.00,127560.00,128323.00,269606513,2101,30,D,128075.00,128112.00
AminTadbirFardaETF,20210919,132000.00,132000.00,127500.00,128075.00,3168583381,24740,80,D,129555.00,129999.00
AminTadbirFardaETF,20210918,132999.00,132999.00,127500.00,129555.00,2724148459,21027,61,D,131230.00,130800.00
AminTadbirFardaETF,20210915,134006.00,135499.00,130000.00,131230.00,1604154006,12224,76,D,134344.00,131999.00
AminTadbirFardaETF,20210914,132600.00,136000.00,131000.00,134344.00,3158015271,23507,78,D,132814.00,134200.00
AminTadbirFardaETF,20210913,134505.00,136988.00,131151.00,132814.00,3867936200,29123,112,D,138131.00,132590.00
AminTadbirFardaETF,20210912,140999.00,141000.00,134520.00,138131.00,2962771545,21449,90,D,141310.00,136001.00
AminTadbirFardaETF,20210911,140391.00,142000.00,137900.00,141310.00,7649271737,54131,143,D,140390.00,140200.00
AminTadbirFardaETF,20210908,136710.00,141865.00,136710.00,140390.00,2733108769,19468,105,D,139959.00,140510.00
AminTadbirFardaETF,20210907,138700.00,141987.00,138700.00,139959.00,3247745682,23205,135,D,140959.00,138900.00
AminTadbirFardaETF,20210906,140000.00,142897.00,138010.00,140959.00,9172653073,65073,179,D,138158.00,140000.00
AminTadbirFardaETF,20210905,140000.00,141997.00,126400.00,138158.00,6473963966,46859,141,D,140430.00,139997.00
AminTadbirFardaETF,20210904,139000.00,145152.00,138900.00,140430.00,13709313505,97624,232,D,137498.00,141000.00
AminTadbirFardaETF,20210901,131000.00,143990.00,131000.00,137498.00,8730996340,63499,183,D,131479.00,138990.00
AminTadbirFardaETF,20210831,128810.00,136870.00,126010.00,131479.00,19187053427,145933,177,D,129766.00,134999.00
AminTadbirFardaETF,20210830,132010.00,132010.00,123541.00,129766.00,9664976176,74480,101,D,136412.00,128800.00
AminTadbirFardaETF,20210829,135520.00,138000.00,133000.00,136412.00,5813041079,42614,138,D,136289.00,133100.00
AminTadbirFardaETF,20210828,133800.00,137700.00,133000.00,136289.00,8101166184,59441,153,D,132523.00,137700.00
AminTadbirFardaETF,20210825,130997.00,133800.00,127495.00,132523.00,5623336825,42433,123,D,126883.00,133799.00
AminTadbirFardaETF,20210824,124000.00,131499.00,124000.00,126883.00,3865730708,30467,86,D,123674.00,128200.00
AminTadbirFardaETF,20210823,125900.00,125900.00,121514.00,123674.00,6839044602,55299,139,D,125190.00,124000.00
AminTadbirFardaETF,20210822,125000.00,126000.00,121651.00,125190.00,4356624050,34800,51,D,123842.00,126000.00
AminTadbirFardaETF,20210815,122900.00,125499.00,119610.00,123842.00,6742311789,54443,86,D,120472.00,125000.00
AminTadbirFardaETF,20210814,119620.00,121050.00,119620.00,120472.00,632478244,5250,26,D,119829.00,121050.00
AminTadbirFardaETF,20210811,119890.00,121000.00,117020.00,119829.00,2453854231,20478,57,D,118584.00,119501.00
AminTadbirFardaETF,20210810,117997.00,119899.00,117000.00,118584.00,584855761,4932,43,D,116230.00,119899.00
AminTadbirFardaETF,20210809,115890.00,116652.00,114911.00,116230.00,680641679,5856,44,D,115908.00,116600.00
AminTadbirFardaETF,20210808,115407.00,116418.00,115407.00,115908.00,114285282,986,9,D,116361.00,115890.00
AminTadbirFardaETF,20210807,119779.00,119780.00,114353.00,116361.00,1160465655,9973,46,D,114467.00,115492.00
AminTadbirFardaETF,20210804,112749.00,116990.00,112749.00,114467.00,3847922885,33616,68,D,112748.00,116990.00
AminTadbirFardaETF,20210803,112000.00,114000.00,112000.00,112748.00,450315996,3994,25,D,111822.00,113990.00
AminTadbirFardaETF,20210802,113799.00,113800.00,100990.00,111822.00,2852680126,25511,46,D,112209.00,112000.00
AminTadbirFardaETF,20210801,112510.00,113000.00,112016.00,112209.00,1510896185,13465,63,D,112800.00,112990.00
AminTadbirFardaETF,20210731,112007.00,114000.00,112007.00,112800.00,2544995836,22562,65,D,112963.00,112500.00
AminTadbirFardaETF,20210728,112001.00,114000.00,112001.00,112963.00,517597773,4582,27,D,113358.00,113000.00
AminTadbirFardaETF,20210727,112435.00,114999.00,112435.00,113358.00,507959188,4481,21,D,114423.00,112437.00
AminTadbirFardaETF,20210726,112000.00,115000.00,112000.00,114423.00,1663477524,14538,59,D,112001.00,114999.00
AminTadbirFardaETF,20210719,109002.00,112200.00,109002.00,112001.00,1522991432,13598,48,D,109131.00,112200.00
AminTadbirFardaETF,20210718,110000.00,110000.00,109000.00,109131.00,1006619903,9224,31,D,108870.00,109950.00
AminTadbirFardaETF,20210717,107121.00,109499.00,107121.00,108870.00,194223782,1784,21,D,107161.00,109350.00
AminTadbirFardaETF,20210714,107001.00,108440.00,107000.00,107161.00,461115587,4303,32,D,107970.00,108150.00
AminTadbirFardaETF,20210713,107001.00,108000.00,107001.00,107970.00,1180218603,10931,16,D,108155.00,107990.00
AminTadbirFardaETF,20210712,109300.00,109488.00,107700.00,108155.00,1278610203,11822,39,D,106435.00,108000.00
AminTadbirFardaETF,20210711,106901.00,108885.00,106021.00,106435.00,374014240,3514,16,D,108434.00,107000.00
AminTadbirFardaETF,20210710,106030.00,108930.00,106015.00,108434.00,73843558,681,7,D,106475.00,108798.00
AminTadbirFardaETF,20210707,108000.00,108990.00,106010.00,106475.00,219658038,2063,22,D,107180.00,108000.00
AminTadbirFardaETF,20210706,105800.00,108000.00,105800.00,107180.00,441152203,4116,29,D,104852.00,108000.00
AminTadbirFardaETF,20210705,105129.00,105190.00,103000.00,104852.00,399277714,3808,27,D,103313.00,103000.00
