<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tose.Andukhte.ETF,20210921,254999.00,255000.00,246363.00,248483.00,43231384992,173981,860,D,255347.00,247712.00
Tose.Andukhte.ETF,20210920,254750.00,257001.00,254010.00,255347.00,60762187051,237959,759,D,251390.00,255175.00
Tose.Andukhte.ETF,20210919,256900.00,256900.00,247121.00,251390.00,77398964862,307884,930,D,254542.00,254000.00
Tose.Andukhte.ETF,20210918,260210.00,262000.00,252100.00,254542.00,70954341776,278753,931,D,261585.00,255000.00
Tose.Andukhte.ETF,20210915,266000.00,266000.00,260000.00,261585.00,43533518031,166422,1196,D,265501.00,261616.00
Tose.Andukhte.ETF,20210914,260000.00,267000.00,260000.00,265501.00,91414742037,344310,980,D,259131.00,266501.00
Tose.Andukhte.ETF,20210913,262000.00,264000.00,255437.00,259131.00,71111451525,274423,1096,D,262161.00,258831.00
Tose.Andukhte.ETF,20210912,265001.00,267900.00,259001.00,262161.00,68082187709,259696,1182,D,269649.00,261600.00
Tose.Andukhte.ETF,20210911,271495.00,274500.00,267102.00,269649.00,142366700051,527970,930,D,268813.00,268700.00
Tose.Andukhte.ETF,20210908,265061.00,271501.00,265061.00,268813.00,48453208788,180249,962,D,265910.00,270501.00
Tose.Andukhte.ETF,20210907,260001.00,269499.00,260001.00,265910.00,56898358741,213976,928,D,272649.00,265100.00
Tose.Andukhte.ETF,20210906,274500.00,276990.00,262130.00,272649.00,74938760365,274854,1084,D,273047.00,267500.00
Tose.Andukhte.ETF,20210905,278550.00,278550.00,270040.00,273047.00,146073481015,534976,1047,D,278549.00,274499.00
Tose.Andukhte.ETF,20210904,280995.00,283605.00,275005.00,278549.00,346836493563,1245153,1603,D,271649.00,278999.00
Tose.Andukhte.ETF,20210901,265746.00,275900.00,265746.00,271649.00,236859319566,871930,1315,D,259461.00,275420.00
Tose.Andukhte.ETF,20210831,252990.00,273969.00,237103.00,259461.00,206344779108,795281,1614,D,263447.00,265742.00
Tose.Andukhte.ETF,20210830,271000.00,271000.00,253608.00,263447.00,229638242202,871669,1764,D,278716.00,259997.00
Tose.Andukhte.ETF,20210829,283100.00,283100.00,271001.00,278716.00,165431176508,593547,1648,D,281401.00,271001.00
Tose.Andukhte.ETF,20210828,282999.00,283000.00,279005.00,281401.00,164318355200,583929,1615,D,279726.00,281660.00
Tose.Andukhte.ETF,20210825,285001.00,288000.00,275826.00,279726.00,229862867851,821743,2216,D,281786.00,280450.00
Tose.Andukhte.ETF,20210824,275990.00,285000.00,274071.00,281786.00,165897747706,588736,1607,D,273594.00,281995.00
Tose.Andukhte.ETF,20210823,274001.00,275001.00,267030.00,273594.00,164217890444,600225,1328,D,273113.00,273861.00
Tose.Andukhte.ETF,20210822,269001.00,275000.00,269001.00,273113.00,156962180509,574716,1459,D,264539.00,272951.00
Tose.Andukhte.ETF,20210815,264999.00,269999.00,261011.00,264539.00,79749623936,301466,886,D,261263.00,266600.00
Tose.Andukhte.ETF,20210814,265000.00,265123.00,253252.00,261263.00,109288199397,418308,1259,D,260898.00,261101.00
Tose.Andukhte.ETF,20210811,258890.00,263000.00,258883.00,260898.00,192526645596,737938,1194,D,254751.00,261801.00
Tose.Andukhte.ETF,20210810,250850.00,257390.00,250850.00,254751.00,93356068547,366460,875,D,251172.00,257390.00
Tose.Andukhte.ETF,20210809,247750.00,255000.00,247750.00,251172.00,80636572165,321041,774,D,249142.00,251890.00
Tose.Andukhte.ETF,20210808,248001.00,251000.00,247000.00,249142.00,64516478022,258955,687,D,250457.00,247500.00
Tose.Andukhte.ETF,20210807,252001.00,258001.00,246150.00,250457.00,83130971434,331917,1053,D,248550.00,248002.00
Tose.Andukhte.ETF,20210804,244000.00,251999.00,244000.00,248550.00,125848326653,506330,874,D,243102.00,249001.00
Tose.Andukhte.ETF,20210803,242600.00,244800.00,241260.00,243102.00,47735817477,196361,527,D,242662.00,244000.00
Tose.Andukhte.ETF,20210802,244000.00,244000.00,241226.00,242662.00,49380907275,203497,505,D,242999.00,242500.00
Tose.Andukhte.ETF,20210801,245000.00,249986.00,240500.00,242999.00,145476413586,598670,708,D,241021.00,243995.00
Tose.Andukhte.ETF,20210731,235000.00,243001.00,235000.00,241021.00,56457994742,234245,686,D,235685.00,242501.00
Tose.Andukhte.ETF,20210728,233201.00,236499.00,233201.00,235685.00,49730158157,211003,399,D,234685.00,234996.00
Tose.Andukhte.ETF,20210727,236989.00,237100.00,232000.00,234685.00,35235338614,150139,483,D,235968.00,233110.00
Tose.Andukhte.ETF,20210726,235001.00,236989.00,234000.00,235968.00,48446566323,205310,509,D,233337.00,236080.00
Tose.Andukhte.ETF,20210719,232990.00,234660.00,231300.00,233337.00,16139468739,69168,330,D,232610.00,234660.00
Tose.Andukhte.ETF,20210718,234490.00,235000.00,231400.00,232610.00,22396867246,96285,366,D,235083.00,232250.00
Tose.Andukhte.ETF,20210717,234004.00,236501.00,233010.00,235083.00,41628774225,177081,477,D,232558.00,234100.00
Tose.Andukhte.ETF,20210714,229501.00,234001.00,229002.00,232558.00,34331382593,147625,437,D,231359.00,233200.00
Tose.Andukhte.ETF,20210713,231960.00,234501.00,228001.00,231359.00,33191269478,143462,484,D,232190.00,230011.00
Tose.Andukhte.ETF,20210712,231300.00,234001.00,230001.00,232190.00,60679768108,261337,532,D,229587.00,231980.00
Tose.Andukhte.ETF,20210711,226451.00,231301.00,226451.00,229587.00,20771895904,90475,390,D,226943.00,231000.00
Tose.Andukhte.ETF,20210710,230001.00,230001.00,225000.00,226943.00,18045363341,79515,368,D,229397.00,226451.00
Tose.Andukhte.ETF,20210707,230000.00,231501.00,227610.00,229397.00,28034574055,122210,441,D,228216.00,228675.00
Tose.Andukhte.ETF,20210706,225100.00,229500.00,225100.00,228216.00,37373818151,163765,519,D,223077.00,228421.00
Tose.Andukhte.ETF,20210705,222501.00,224989.00,222000.00,223077.00,27851567606,124852,392,D,220113.00,224001.00
Tose.Andukhte.ETF,20210704,221001.00,222001.00,215003.00,220113.00,17825413698,80983,264,D,220396.00,221970.00
Tose.Andukhte.ETF,20210703,218420.00,222222.00,218420.00,220396.00,27775798813,126027,470,D,218966.00,218900.00
