<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Aseman.Armani.ETF,20210921,178019.00,178019.00,171500.00,172432.00,15045534833,87255,193,D,178641.00,172000.00
Aseman.Armani.ETF,20210920,178400.00,179480.00,177601.00,178641.00,10510520455,58836,129,D,177594.00,178020.00
Aseman.Armani.ETF,20210919,180200.00,181490.00,175605.00,177594.00,11967688077,67388,153,D,181146.00,178000.00
Aseman.Armani.ETF,20210918,186000.00,186000.00,179770.00,181146.00,8219491608,45375,138,D,185330.00,180100.00
Aseman.Armani.ETF,20210915,186930.00,186930.00,184101.00,185330.00,4486643279,24209,195,D,186740.00,186300.00
Aseman.Armani.ETF,20210914,183380.00,188200.00,183380.00,186740.00,10905969325,58402,261,D,183936.00,186686.00
Aseman.Armani.ETF,20210913,186500.00,187898.00,182000.00,183936.00,15758866918,85676,229,D,186388.00,183350.00
Aseman.Armani.ETF,20210912,193000.00,193000.00,185120.00,186388.00,16691379163,89552,211,D,192922.00,186650.00
Aseman.Armani.ETF,20210911,192290.00,195789.00,191499.00,192922.00,12558467715,65096,200,D,191300.00,193000.00
Aseman.Armani.ETF,20210908,190500.00,193500.00,190200.00,191300.00,15565485573,81367,233,D,190391.00,192290.00
Aseman.Armani.ETF,20210907,193600.00,193600.00,190000.00,190391.00,23578642219,123843,227,D,194673.00,190998.00
Aseman.Armani.ETF,20210906,196000.00,196970.00,192500.00,194673.00,15356385943,78883,222,D,195360.00,193600.00
Aseman.Armani.ETF,20210905,197100.00,197100.00,193420.00,195360.00,11337146521,58032,235,D,197349.00,196280.00
Aseman.Armani.ETF,20210904,196999.00,199400.00,195500.00,197349.00,18818262026,95355,297,D,193429.00,197000.00
Aseman.Armani.ETF,20210901,192000.00,196550.00,188300.00,193429.00,17948268464,92790,305,D,189476.00,195100.00
Aseman.Armani.ETF,20210831,192641.00,193990.00,185300.00,189476.00,35024536708,184849,434,D,192641.00,188990.00
Aseman.Armani.ETF,20210830,196200.00,198049.00,190180.00,192641.00,112887486823,585998,492,D,198111.00,191500.00
Aseman.Armani.ETF,20210829,202399.00,203900.00,194000.00,198111.00,58372189253,294644,612,D,200821.00,195998.00
Aseman.Armani.ETF,20210828,199499.00,202500.00,196900.00,200821.00,118786221401,591502,608,D,196755.00,202400.00
Aseman.Armani.ETF,20210825,197000.00,199000.00,194800.00,196755.00,36258493155,184282,522,D,194806.00,198997.00
Aseman.Armani.ETF,20210824,190690.00,196900.00,187200.00,194806.00,64658522474,331912,593,D,184937.00,196000.00
Aseman.Armani.ETF,20210823,184205.00,189699.00,184000.00,184937.00,33652043402,181965,266,D,183939.00,189649.00
Aseman.Armani.ETF,20210822,183600.00,187000.00,182000.00,183939.00,70287867031,382126,505,D,181856.00,185000.00
Aseman.Armani.ETF,20210815,180001.00,184800.00,179000.00,181856.00,25887413187,142351,328,D,180350.00,183970.00
Aseman.Armani.ETF,20210814,183698.00,183698.00,178000.00,180350.00,62271892537,345283,417,D,182361.00,180000.00
Aseman.Armani.ETF,20210811,181101.00,183490.00,181101.00,182361.00,32334089177,177308,352,D,181085.00,182589.00
Aseman.Armani.ETF,20210810,180009.00,182480.00,180000.00,181085.00,21021782202,116088,315,D,180378.00,181100.00
Aseman.Armani.ETF,20210809,180000.00,182900.00,178200.00,180378.00,52833084666,292902,370,D,179328.00,180453.00
Aseman.Armani.ETF,20210808,178100.00,179900.00,178000.00,179328.00,8792818067,49032,201,D,179112.00,179270.00
Aseman.Armani.ETF,20210807,178330.00,180700.00,177271.00,179112.00,28059697399,156660,338,D,177271.00,179650.00
Aseman.Armani.ETF,20210804,171871.00,178700.00,171500.00,177271.00,135614319626,765011,563,D,171270.00,178000.00
Aseman.Armani.ETF,20210803,171190.00,171700.00,170500.00,171270.00,18094831145,105651,214,D,170197.00,171680.00
Aseman.Armani.ETF,20210802,169500.00,171499.00,169500.00,170197.00,18594193374,109251,173,D,168931.00,170399.00
Aseman.Armani.ETF,20210801,168999.00,169900.00,167500.00,168931.00,10608209699,62796,215,D,167644.00,169570.00
Aseman.Armani.ETF,20210731,166500.00,168600.00,166500.00,167644.00,25823566302,154038,453,D,166452.00,168500.00
Aseman.Armani.ETF,20210728,168000.00,168000.00,165800.00,166452.00,7183903562,43159,167,D,166557.00,166470.00
Aseman.Armani.ETF,20210727,167899.00,167899.00,165550.00,166557.00,5661606754,33992,138,D,167100.00,166798.00
Aseman.Armani.ETF,20210726,165864.00,168900.00,165864.00,167100.00,147762140632,884272,257,D,165863.00,167330.00
Aseman.Armani.ETF,20210719,165746.00,166200.00,165746.00,165863.00,12115797403,73047,142,D,165746.00,166000.00
Aseman.Armani.ETF,20210718,166200.00,166200.00,164501.00,165746.00,18408055673,111062,92,D,166126.00,165400.00
Aseman.Armani.ETF,20210717,166500.00,167040.00,165501.00,166126.00,13442113334,80915,154,D,165561.00,165590.00
