<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sepehr.CharismaETF,20210921,13811.00,13811.00,13300.00,13496.00,24921251596,1846611,355,D,13810.00,13459.00
Sepehr.CharismaETF,20210920,13900.00,13955.00,13741.00,13810.00,47017139813,3404476,330,D,13742.00,13811.00
Sepehr.CharismaETF,20210919,13810.00,14099.00,13600.00,13742.00,33281966979,2421910,401,D,13995.00,13810.00
Sepehr.CharismaETF,20210918,14499.00,14499.00,13803.00,13995.00,46251312453,3304846,399,D,14331.00,13840.00
Sepehr.CharismaETF,20210915,14620.00,14620.00,14200.00,14331.00,23701322268,1653895,416,D,14405.00,14356.00
Sepehr.CharismaETF,20210914,14172.00,14595.00,14172.00,14405.00,20901899476,1451050,499,D,14127.00,14584.00
Sepehr.CharismaETF,20210913,14257.00,14388.00,14000.00,14127.00,39375998919,2787217,397,D,14142.00,14172.00
Sepehr.CharismaETF,20210912,14440.00,14440.00,13935.00,14142.00,43542461051,3078962,459,D,14413.00,14320.00
Sepehr.CharismaETF,20210911,14890.00,14890.00,14100.00,14413.00,85430988191,5927434,641,D,14495.00,14400.00
Sepehr.CharismaETF,20210908,14595.00,14695.00,14330.00,14495.00,25593390813,1765651,516,D,14478.00,14593.00
Sepehr.CharismaETF,20210907,14490.00,14649.00,14270.00,14478.00,27417571957,1893749,475,D,14785.00,14399.00
Sepehr.CharismaETF,20210906,14999.00,15070.00,14568.00,14785.00,56252669790,3804723,655,D,14941.00,14569.00
Sepehr.CharismaETF,20210905,15020.00,15050.00,14705.00,14941.00,25105301210,1680341,463,D,15063.00,14965.00
Sepehr.CharismaETF,20210904,15113.00,15170.00,14865.00,15063.00,56400346099,3744331,912,D,14890.00,15099.00
Sepehr.CharismaETF,20210901,14450.00,15020.00,14450.00,14890.00,129855315514,8720953,893,D,14420.00,14950.00
Sepehr.CharismaETF,20210831,14305.00,15094.00,13830.00,14420.00,109390420721,7586132,1108,D,14558.00,14475.00
Sepehr.CharismaETF,20210830,14880.00,15010.00,13960.00,14558.00,133254237284,9153414,994,D,15476.00,14420.00
Sepehr.CharismaETF,20210829,15730.00,15880.00,15010.00,15476.00,81814481249,5286633,1135,D,15667.00,15010.00
Sepehr.CharismaETF,20210828,15400.00,15800.00,15400.00,15667.00,219532285101,14012594,1167,D,15323.00,15794.00
Sepehr.CharismaETF,20210825,15500.00,15500.00,15060.00,15323.00,67743384445,4420885,973,D,15282.00,15469.00
Sepehr.CharismaETF,20210824,15022.00,15490.00,15021.00,15282.00,95334353794,6238350,997,D,15078.00,15490.00
Sepehr.CharismaETF,20210823,15180.00,15245.00,14911.00,15078.00,42296002386,2805150,722,D,15127.00,15079.00
Sepehr.CharismaETF,20210822,15045.00,15300.00,15001.00,15127.00,74264522131,4909381,831,D,14951.00,15180.00
Sepehr.CharismaETF,20210815,15300.00,15300.00,14700.00,14951.00,65463879462,4378455,787,D,14980.00,15001.00
Sepehr.CharismaETF,20210814,15300.00,15300.00,14400.00,14980.00,134039335885,8947658,1195,D,14971.00,14950.00
Sepehr.CharismaETF,20210811,14680.00,15200.00,14680.00,14971.00,104539986018,6982614,1163,D,14612.00,15041.00
Sepehr.CharismaETF,20210810,14350.00,14750.00,14301.00,14612.00,101228565867,6927719,902,D,14268.00,14700.00
Sepehr.CharismaETF,20210809,14230.00,14310.00,13950.00,14268.00,34754154761,2435832,549,D,13997.00,14300.00
Sepehr.CharismaETF,20210808,13994.00,14220.00,13821.00,13997.00,52089799273,3721564,586,D,13995.00,14111.00
Sepehr.CharismaETF,20210807,13948.00,14201.00,13850.00,13995.00,59786804890,4272035,664,D,13745.00,13978.00
Sepehr.CharismaETF,20210804,13450.00,14005.00,13450.00,13745.00,113373236667,8248110,875,D,13341.00,13945.00
Sepehr.CharismaETF,20210803,13440.00,13440.00,13222.00,13341.00,55763957743,4179776,362,D,13348.00,13400.00
Sepehr.CharismaETF,20210802,13352.00,13455.00,13154.00,13348.00,26486688376,1984261,334,D,13357.00,13380.00
Sepehr.CharismaETF,20210801,13415.00,13470.00,13288.00,13357.00,15851284219,1186746,329,D,13263.00,13315.00
Sepehr.CharismaETF,20210731,13100.00,13360.00,13043.00,13263.00,33278272456,2509180,530,D,13108.00,13360.00
Sepehr.CharismaETF,20210728,13150.00,13200.00,13016.00,13108.00,22245378912,1697124,341,D,13125.00,13110.00
Sepehr.CharismaETF,20210727,13426.00,13426.00,13010.00,13125.00,27058241889,2061614,389,D,13202.00,13173.00
Sepehr.CharismaETF,20210726,13180.00,13259.00,13102.00,13202.00,35603437918,2696865,468,D,13002.00,13200.00
