<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S.KhobreganNaftETF,20210921,9946.00,9972.00,9945.00,9961.00,1334788980,134000,21,D,9944.00,9970.00
S.KhobreganNaftETF,20210920,9969.00,9969.00,9939.00,9944.00,49918380,5020,6,D,9944.00,9939.00
S.KhobreganNaftETF,20210919,9941.00,9950.00,9939.00,9944.00,136526710,13730,10,D,9938.00,9939.00
S.KhobreganNaftETF,20210918,9962.00,9962.00,9937.00,9938.00,1587060470,159690,18,D,9936.00,9938.00
S.KhobreganNaftETF,20210915,9935.00,9940.00,9934.00,9936.00,1581739200,159190,13,D,9953.00,9934.00
S.KhobreganNaftETF,20210914,9918.00,9964.00,9917.00,9953.00,673700600,67690,16,D,9917.00,9962.00
S.KhobreganNaftETF,20210913,9940.00,9940.00,9911.00,9917.00,2152982640,217090,27,D,9957.00,9930.00
S.KhobreganNaftETF,20210912,9964.00,9964.00,9940.00,9957.00,354375550,35590,12,D,9943.00,9960.00
S.KhobreganNaftETF,20210911,9941.00,9975.00,9937.00,9943.00,211979200,21320,12,D,9947.00,9940.00
S.KhobreganNaftETF,20210908,9995.00,9995.00,9920.00,9947.00,1000702360,100600,22,D,9935.00,9960.00
S.KhobreganNaftETF,20210907,9981.00,9981.00,9907.00,9935.00,433644960,43650,21,D,10059.00,9922.00
S.KhobreganNaftETF,20210906,10053.00,10063.00,10053.00,10059.00,469659660,46690,12,D,10070.00,10062.00
S.KhobreganNaftETF,20210905,10098.00,10098.00,10050.00,10070.00,1275517700,126670,11,D,10030.00,10060.00
S.KhobreganNaftETF,20210904,10050.00,10050.00,10020.00,10030.00,909133880,90640,20,D,10024.00,10050.00
S.KhobreganNaftETF,20210901,10035.00,10035.00,10015.00,10024.00,157377340,15700,10,D,10028.00,10020.00
S.KhobreganNaftETF,20210831,10040.00,10040.00,10013.00,10028.00,79418620,7920,9,D,10031.00,10036.00
S.KhobreganNaftETF,20210830,10000.00,10047.00,10000.00,10031.00,220179310,21950,22,D,10025.00,10047.00
S.KhobreganNaftETF,20210829,10012.00,10037.00,10012.00,10025.00,315799500,31500,18,D,10025.00,10037.00
S.KhobreganNaftETF,20210828,9995.00,10042.00,9995.00,10025.00,321196480,32040,19,D,10025.00,10042.00
S.KhobreganNaftETF,20210825,9980.00,10025.00,9980.00,10025.00,99374653330,9912740,209,D,9988.00,10025.00
S.KhobreganNaftETF,20210824,10040.00,10040.00,9979.00,9988.00,1918614930,192100,59,D,10037.00,9990.00
S.KhobreganNaftETF,20210823,9980.00,10050.00,9980.00,10037.00,298611300,29750,9,D,9988.00,10040.00
S.KhobreganNaftETF,20210822,9982.00,10049.00,9979.00,9988.00,817499220,81850,19,D,9974.00,9979.00
S.KhobreganNaftETF,20210815,10025.00,10025.00,9937.00,9974.00,571990190,57350,19,D,10044.00,9937.00
S.KhobreganNaftETF,20210814,9980.00,10089.00,9980.00,10044.00,558569150,55610,17,D,9969.00,10020.00
S.KhobreganNaftETF,20210811,9960.00,10000.00,9940.00,9969.00,41470600,4160,6,D,9941.00,9980.00
S.KhobreganNaftETF,20210810,9940.00,9959.00,9940.00,9941.00,447637090,45030,13,D,9954.00,9959.00
S.KhobreganNaftETF,20210809,9967.00,9967.00,9930.00,9954.00,198086310,19900,16,D,9957.00,9944.00
S.KhobreganNaftETF,20210808,9964.00,9967.00,9915.00,9957.00,59344440,5960,10,D,9905.00,9966.00
S.KhobreganNaftETF,20210807,9906.00,9906.00,9905.00,9905.00,19811000,2000,2,D,10087.00,9905.00
S.KhobreganNaftETF,20210804,10079.00,10100.00,10079.00,10087.00,162507930,16110,16,D,10075.00,10082.00
S.KhobreganNaftETF,20210803,10066.00,10082.00,10066.00,10075.00,9067560,900,3,D,10062.00,10082.00
S.KhobreganNaftETF,20210802,10062.00,10062.00,10062.00,10062.00,10062000,1000,1,D,10058.00,10062.00
S.KhobreganNaftETF,20210801,10040.00,10060.00,10040.00,10058.00,47271400,4700,4,D,10036.00,10060.00
S.KhobreganNaftETF,20210731,10060.00,10063.00,10034.00,10036.00,396809510,39540,11,D,10031.00,10034.00
S.KhobreganNaftETF,20210728,10045.00,10049.00,10022.00,10031.00,786838430,78440,15,D,10021.00,10049.00
S.KhobreganNaftETF,20210727,10020.00,10040.00,10018.00,10021.00,2414188180,240910,17,D,10017.00,10030.00
S.KhobreganNaftETF,20210726,10005.00,10053.00,10004.00,10017.00,258937790,25850,14,D,9981.00,10004.00
