<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mapna.Parand.ETF,20210904,6962.00,7200.00,6962.00,7198.00,1367643000,190000,2,D,6785.00,7200.00
Mapna.Parand.ETF,20210822,6785.00,6785.00,6785.00,6785.00,4749500,700,1,D,6759.00,6785.00
Mapna.Parand.ETF,20210814,6759.00,6759.00,6759.00,6759.00,5407200,800,1,D,7200.00,6759.00
Mapna.Parand.ETF,20210809,7200.00,7200.00,7200.00,7200.00,10800000,1500,2,D,7000.00,7200.00
Mapna.Parand.ETF,20210518,7000.00,7000.00,7000.00,7000.00,70000000,10000,1,D,6385.00,7000.00
Mapna.Parand.ETF,20210309,6385.00,6385.00,6385.00,6385.00,319250000,50000,1,D,6257.00,6385.00
Mapna.Parand.ETF,20210308,6257.00,6257.00,6257.00,6257.00,312850000,50000,1,D,6126.00,6257.00
Mapna.Parand.ETF,20210125,6126.00,6126.00,6126.00,6126.00,306300000,50000,1,D,6041.00,6126.00
Mapna.Parand.ETF,20201122,6041.00,6041.00,6041.00,6041.00,1051134000,174000,1,D,5970.00,6041.00
Mapna.Parand.ETF,20201031,5970.00,5970.00,5970.00,5970.00,5970000,1000,1,D,5819.00,5970.00
Mapna.Parand.ETF,20201020,5819.00,5819.00,5819.00,5819.00,695690178403,119554937,1,D,5793.00,5819.00
Mapna.Parand.ETF,20201012,5793.00,5793.00,5793.00,5793.00,1013775000,175000,1,D,6250.00,5793.00
Mapna.Parand.ETF,20201005,6250.00,6250.00,6250.00,6250.00,198750000,31800,1,D,6000.00,6250.00
Mapna.Parand.ETF,20200909,6000.00,6000.00,6000.00,6000.00,1200000,200,1,D,5850.00,6000.00
Mapna.Parand.ETF,20200902,5850.00,5850.00,5850.00,5850.00,1170000000,200000,1,D,5750.00,5850.00
Mapna.Parand.ETF,20200901,5750.00,5750.00,5750.00,5750.00,1150000000,200000,2,D,5675.00,5750.00
Mapna.Parand.ETF,20200831,5675.00,5675.00,5675.00,5675.00,1196726975,210877,3,D,5662.00,5675.00
Mapna.Parand.ETF,20200826,5662.00,5662.00,5662.00,5662.00,1128436600,199300,3,D,5658.00,5662.00
Mapna.Parand.ETF,20200825,5658.00,5658.00,5658.00,5658.00,2715840000,480000,3,D,5636.00,5658.00
Mapna.Parand.ETF,20200824,5655.00,5655.00,5600.00,5636.00,1476742500,262000,3,D,5650.00,5655.00
Mapna.Parand.ETF,20200822,5650.00,5650.00,5650.00,5650.00,350300000,62000,1,D,5640.00,5650.00
Mapna.Parand.ETF,20200818,5640.00,5640.00,5640.00,5640.00,1186656000,210400,2,D,5637.00,5640.00
Mapna.Parand.ETF,20200817,5637.00,5637.00,5637.00,5637.00,1144311000,203000,2,D,5635.00,5637.00
Mapna.Parand.ETF,20200816,5635.00,5635.00,5635.00,5635.00,20116950,3570,1,D,5632.00,5635.00
Mapna.Parand.ETF,20200815,5632.00,5632.00,5632.00,5632.00,9856000000,1750000,1,D,5567.00,5632.00
Mapna.Parand.ETF,20200721,5567.00,5567.00,5567.00,5567.00,102043110,18330,3,D,5396.00,5567.00
Mapna.Parand.ETF,20200627,5396.00,5396.00,5396.00,5396.00,15648400000,2900000,1,D,5402.00,5396.00
Mapna.Parand.ETF,20200520,5402.00,5402.00,5402.00,5402.00,1500000350,277675,1,D,5400.00,5402.00
Mapna.Parand.ETF,20200519,5400.00,5400.00,5400.00,5400.00,37800000000,7000000,1,D,5384.00,5400.00
Mapna.Parand.ETF,20200513,5384.00,5384.00,5384.00,5384.00,1699998000,315750,1,D,5382.00,5384.00
Mapna.Parand.ETF,20200512,5382.00,5382.00,5382.00,5382.00,1496196000,278000,1,D,5379.00,5382.00
Mapna.Parand.ETF,20200511,5379.00,5379.00,5379.00,5379.00,650859000,121000,1,D,5361.00,5379.00
Mapna.Parand.ETF,20200504,5361.00,5361.00,5361.00,5361.00,26805000000,5000000,1,D,5358.00,5361.00
Mapna.Parand.ETF,20200503,5358.00,5358.00,5358.00,5358.00,147345000,27500,1,D,5197.00,5358.00
Mapna.Parand.ETF,20200411,5197.00,5197.00,5197.00,5197.00,91600710930,17625690,3,D,5189.00,5197.00
Mapna.Parand.ETF,20200408,5189.00,5189.00,5189.00,5189.00,159853537848,30806232,6,D,5186.00,5189.00
Mapna.Parand.ETF,20200407,5186.00,5186.00,5186.00,5186.00,41250398224,7954184,4,D,5028.00,5186.00
Mapna.Parand.ETF,20191230,5028.00,5028.00,5028.00,5028.00,14581200000,2900000,1,D,5024.00,5028.00
Mapna.Parand.ETF,20191229,4928.00,5026.00,4928.00,5024.00,1541482880,306835,2,D,4894.00,5026.00
Mapna.Parand.ETF,20191109,4894.00,4894.00,4894.00,4894.00,693367238,141677,3,D,4878.00,4894.00
Mapna.Parand.ETF,20191103,4878.00,4878.00,4878.00,4878.00,2999970000,615000,1,D,4781.00,4878.00
Mapna.Parand.ETF,20191102,4781.00,4781.00,4781.00,4781.00,26295500000,5500000,1,D,4831.00,4781.00
Mapna.Parand.ETF,20191016,4831.00,4831.00,4831.00,4831.00,49999999744,10349824,1,D,4716.00,4831.00
Mapna.Parand.ETF,20191006,4716.00,4716.00,4716.00,4716.00,544831670304,115528344,3,D,4601.00,4716.00
Mapna.Parand.ETF,20190928,4601.00,4601.00,4601.00,4601.00,386484000,84000,1,D,4587.00,4601.00
Mapna.Parand.ETF,20190921,4587.00,4587.00,4587.00,4587.00,300907200,65600,1,D,4580.00,4587.00
Mapna.Parand.ETF,20190918,4580.00,4580.00,4580.00,4580.00,158697000,34650,1,D,4572.00,4580.00
Mapna.Parand.ETF,20190914,4572.00,4572.00,4572.00,4572.00,199997568,43744,1,D,4517.00,4572.00
Mapna.Parand.ETF,20190819,4517.00,4517.00,4517.00,4517.00,9937400000,2200000,1,D,4489.00,4517.00
Mapna.Parand.ETF,20190806,4489.00,4489.00,4489.00,4489.00,1032470000,230000,1,D,4388.00,4489.00
Mapna.Parand.ETF,20190619,4388.00,4388.00,4388.00,4388.00,50462000,11500,1,D,4375.00,4388.00
Mapna.Parand.ETF,20190610,4375.00,4375.00,4369.00,4375.00,16046262761,3667769,3,D,4289.00,4369.00
Mapna.Parand.ETF,20190505,4289.00,4289.00,4289.00,4289.00,17558681343,4093887,1,D,4298.00,4289.00
Mapna.Parand.ETF,20190430,4368.00,4368.00,4283.00,4298.00,24069800,5600,3,D,4181.00,4283.00
Mapna.Parand.ETF,20190313,4181.00,4181.00,4181.00,4181.00,26486371597,6334937,1,D,4179.00,4181.00
Mapna.Parand.ETF,20190312,4179.00,4179.00,4179.00,4179.00,33243945000,7955000,1,D,4103.00,4179.00
Mapna.Parand.ETF,20190204,4103.00,4103.00,4103.00,4103.00,738540000,180000,1,D,4011.00,4103.00
Mapna.Parand.ETF,20181222,4011.00,4011.00,4011.00,4011.00,8503320000,2120000,2,D,3929.00,4011.00
Mapna.Parand.ETF,20181113,3929.00,3929.00,3929.00,3929.00,3929000000,1000000,1,D,3927.00,3929.00
Mapna.Parand.ETF,20181112,3926.00,3927.00,3926.00,3927.00,11887355340,3027090,3,D,3914.00,3927.00
Mapna.Parand.ETF,20181106,3914.00,3914.00,3914.00,3914.00,19570000000,5000000,1,D,3920.00,3914.00
Mapna.Parand.ETF,20181028,3920.00,3920.00,3920.00,3920.00,78400000000,20000000,1,D,3855.00,3920.00
Mapna.Parand.ETF,20181009,3855.00,3855.00,3855.00,3855.00,196605000000,51000000,1,D,3850.00,3855.00
Mapna.Parand.ETF,20181007,3850.00,3850.00,3850.00,3850.00,3158001000,820260,2,D,3850.00,3850.00
Mapna.Parand.ETF,20181006,3850.00,3850.00,3850.00,3850.00,13241343500,3439310,3,D,3850.00,3850.00
Mapna.Parand.ETF,20181003,3850.00,3850.00,3850.00,3850.00,212408977550,55171163,2,D,3760.00,3850.00
Mapna.Parand.ETF,20181001,3760.00,3760.00,3760.00,3760.00,101520000,27000,1,D,3758.00,3760.00
Mapna.Parand.ETF,20180930,3758.00,3758.00,3758.00,3758.00,2442700000,650000,1,D,3823.00,3758.00
Mapna.Parand.ETF,20180926,3823.00,3823.00,3823.00,3823.00,160566000000,42000000,1,D,3823.00,3823.00
Mapna.Parand.ETF,20180925,3823.00,3823.00,3823.00,3823.00,237026000000,62000000,3,D,3735.00,3823.00
Mapna.Parand.ETF,20180917,3735.00,3735.00,3735.00,3735.00,147121650,39390,1,D,3727.00,3735.00
Mapna.Parand.ETF,20180912,3727.00,3727.00,3727.00,3727.00,99999137,26831,1,D,3780.00,3727.00
Mapna.Parand.ETF,20180910,3780.00,3780.00,3780.00,3780.00,75600000000,20000000,7,D,3780.00,3780.00
Mapna.Parand.ETF,20180909,3780.00,3780.00,3780.00,3780.00,3780000000,1000000,1,D,3730.00,3780.00
Mapna.Parand.ETF,20180828,3730.00,3730.00,3730.00,3730.00,3002650000,805000,1,D,3699.00,3730.00
Mapna.Parand.ETF,20180827,3699.00,3699.00,3699.00,3699.00,2004858000,542000,1,D,3673.00,3699.00
Mapna.Parand.ETF,20180811,3673.00,3673.00,3673.00,3673.00,1494911000,407000,1,D,3735.00,3673.00
Mapna.Parand.ETF,20180807,3735.00,3735.00,3735.00,3735.00,53372914695,14289937,1,D,3654.00,3735.00
Mapna.Parand.ETF,20180731,3653.00,3654.00,3653.00,3654.00,39549341400,10823800,2,D,3651.00,3654.00
Mapna.Parand.ETF,20180730,3651.00,3651.00,3651.00,3651.00,54765000000,15000000,1,D,3649.00,3651.00
Mapna.Parand.ETF,20180729,3649.00,3649.00,3649.00,3649.00,103365223,28327,1,D,3648.00,3649.00
Mapna.Parand.ETF,20180728,3649.00,3649.00,3648.00,3648.00,10761900000,2950000,2,D,3637.00,3648.00
Mapna.Parand.ETF,20180721,3637.00,3637.00,3637.00,3637.00,16730200000,4600000,1,D,3618.00,3637.00
Mapna.Parand.ETF,20180711,3618.00,3618.00,3618.00,3618.00,32562000,9000,1,D,3617.00,3618.00
Mapna.Parand.ETF,20180710,3617.00,3617.00,3617.00,3617.00,20877421659,5772027,19,D,3614.00,3617.00
Mapna.Parand.ETF,20180708,3614.00,3614.00,3614.00,3614.00,68666000,19000,1,D,3611.00,3614.00
Mapna.Parand.ETF,20180707,3611.00,3611.00,3611.00,3611.00,54309440000,15040000,3,D,3605.00,3611.00
Mapna.Parand.ETF,20180703,3605.00,3605.00,3605.00,3605.00,57337525000,15905000,3,D,3603.00,3605.00
Mapna.Parand.ETF,20180702,3603.00,3603.00,3603.00,3603.00,44128614426,12247742,1,D,3594.00,3603.00
Mapna.Parand.ETF,20180627,3594.00,3594.00,3594.00,3594.00,2803320000,780000,1,D,3610.00,3594.00
Mapna.Parand.ETF,20180620,3610.00,3653.00,3610.00,3610.00,3610949780,1000260,2,D,3579.00,3653.00
Mapna.Parand.ETF,20180618,3579.00,3579.00,3579.00,3579.00,12104178000,3382000,1,D,3577.00,3579.00
Mapna.Parand.ETF,20180617,3577.00,3577.00,3577.00,3577.00,6474370000,1810000,2,D,3600.00,3577.00
Mapna.Parand.ETF,20180613,3600.00,3600.00,3600.00,3600.00,317203200,88112,2,D,3580.00,3600.00
Mapna.Parand.ETF,20180610,3580.00,3580.00,3580.00,3580.00,4997680000,1396000,1,D,3553.00,3580.00
