<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus.Gold.Com.ETF,20210921,81749.00,82733.00,80950.00,81621.00,172028660321,2107651,1352,D,82061.00,82000.00
Lotus.Gold.Com.ETF,20210920,81700.00,82750.00,81600.00,82061.00,151251170684,1843156,1153,D,81407.00,82000.00
Lotus.Gold.Com.ETF,20210919,82090.00,82090.00,81000.00,81407.00,81004311847,995059,1052,D,82571.00,81752.00
Lotus.Gold.Com.ETF,20210918,83593.00,83593.00,82100.00,82571.00,198218625734,2400585,1648,D,84267.00,82500.00
Lotus.Gold.Com.ETF,20210915,83661.00,84684.00,83661.00,84267.00,50972169470,604890,695,D,84758.00,84201.00
Lotus.Gold.Com.ETF,20210914,84754.00,85000.00,84400.00,84758.00,107377464767,1266873,1012,D,83941.00,84800.00
Lotus.Gold.Com.ETF,20210913,84499.00,84499.00,83512.00,83941.00,195049526917,2323638,1484,D,85298.00,84090.00
Lotus.Gold.Com.ETF,20210912,85901.00,85901.00,84850.00,85298.00,92383948965,1083076,1003,D,86463.00,85400.00
Lotus.Gold.Com.ETF,20210911,86760.00,86800.00,86000.00,86463.00,109310046155,1264237,1026,D,86223.00,86400.00
Lotus.Gold.Com.ETF,20210908,85980.00,86500.00,85750.00,86223.00,123134230593,1428096,1299,D,85423.00,86322.00
Lotus.Gold.Com.ETF,20210907,85072.00,85900.00,85001.00,85423.00,135709966620,1588677,1211,D,85415.00,85320.00
Lotus.Gold.Com.ETF,20210906,86399.00,86399.00,84901.00,85415.00,62851277039,735831,1296,D,86131.00,85072.00
Lotus.Gold.Com.ETF,20210905,85210.00,86600.00,85210.00,86131.00,120697118488,1401319,1259,D,85428.00,86400.00
Lotus.Gold.Com.ETF,20210904,85450.00,85700.00,85003.00,85428.00,119156597323,1394814,1273,D,85127.00,85260.00
Lotus.Gold.Com.ETF,20210901,85790.00,85900.00,84770.00,85127.00,127717963324,1500329,1538,D,84754.00,84890.00
Lotus.Gold.Com.ETF,20210831,83607.00,85499.00,83607.00,84754.00,226022202933,2666799,1893,D,83603.00,85010.00
Lotus.Gold.Com.ETF,20210830,85000.00,85000.00,82700.00,83603.00,214981182464,2571450,2149,D,86070.00,83313.00
Lotus.Gold.Com.ETF,20210829,88687.00,88687.00,84000.00,86070.00,305666751211,3551372,3338,D,88770.00,85495.00
Lotus.Gold.Com.ETF,20210828,88500.00,89200.00,88375.00,88770.00,278055193340,3132308,2467,D,87638.00,88799.00
Lotus.Gold.Com.ETF,20210825,87751.00,88298.00,86800.00,87638.00,220977114279,2521474,2463,D,88732.00,88200.00
Lotus.Gold.Com.ETF,20210824,89000.00,89479.00,87900.00,88732.00,433553556414,4886081,3472,D,87475.00,87900.00
Lotus.Gold.Com.ETF,20210823,89400.00,89400.00,86550.00,87475.00,274928281762,3142937,3072,D,88304.00,87800.00
Lotus.Gold.Com.ETF,20210822,87780.00,89500.00,86700.00,88304.00,498941311567,5650297,3961,D,86395.00,88550.00
Lotus.Gold.Com.ETF,20210815,86000.00,86995.00,85500.00,86395.00,300986123983,3483829,2328,D,85619.00,86470.00
Lotus.Gold.Com.ETF,20210814,85000.00,86500.00,84010.00,85619.00,314019890064,3667623,2320,D,84334.00,85490.00
Lotus.Gold.Com.ETF,20210811,83500.00,85750.00,82890.00,84334.00,467508293476,5543510,2573,D,82624.00,85400.00
Lotus.Gold.Com.ETF,20210810,82510.00,83200.00,81910.00,82624.00,220990314251,2674636,1526,D,81799.00,82405.00
Lotus.Gold.Com.ETF,20210809,82000.00,82400.00,81487.00,81799.00,208310986274,2546614,1160,D,82614.00,82310.00
Lotus.Gold.Com.ETF,20210808,82990.00,83200.00,82310.00,82614.00,198585923233,2403772,1427,D,81361.00,82400.00
Lotus.Gold.Com.ETF,20210807,82000.00,83000.00,80500.00,81361.00,298167308873,3664765,1764,D,83453.00,82480.00
Lotus.Gold.Com.ETF,20210804,84300.00,84300.00,82513.00,83453.00,339125016315,4063673,1788,D,83038.00,84100.00
Lotus.Gold.Com.ETF,20210803,82046.00,84640.00,81403.00,83038.00,340247568001,4097493,1851,D,82036.00,84200.00
Lotus.Gold.Com.ETF,20210802,81800.00,82800.00,81222.00,82036.00,177323531009,2161522,1699,D,82731.00,81334.00
Lotus.Gold.Com.ETF,20210801,83920.00,84600.00,81500.00,82731.00,231545014201,2798780,2678,D,83437.00,81900.00
Lotus.Gold.Com.ETF,20210731,81350.00,84869.00,81340.00,83437.00,710882704034,8520026,4467,D,80038.00,84640.00
Lotus.Gold.Com.ETF,20210728,78800.00,82000.00,78799.00,80038.00,409885037553,5121114,2394,D,78804.00,80990.00
Lotus.Gold.Com.ETF,20210727,78182.00,79500.00,78182.00,78804.00,168662613165,2140281,1533,D,77100.00,78799.00
Lotus.Gold.Com.ETF,20210726,75600.00,82391.00,75300.00,77100.00,194899257385,2527878,1468,D,74901.00,78199.00
Lotus.Gold.Com.ETF,20210719,75400.00,75400.00,74700.00,74901.00,23429602933,312807,523,D,74784.00,75000.00
Lotus.Gold.Com.ETF,20210718,75100.00,75289.00,74600.00,74784.00,16464508385,220161,444,D,75289.00,74730.00
Lotus.Gold.Com.ETF,20210717,75199.00,75500.00,75000.00,75289.00,24492870466,325320,469,D,75056.00,75115.00
Lotus.Gold.Com.ETF,20210714,75501.00,75501.00,74995.00,75056.00,26385890939,351549,638,D,75820.00,75094.00
Lotus.Gold.Com.ETF,20210713,76152.00,76588.00,75337.00,75820.00,33525261547,442167,655,D,76540.00,75540.00
Lotus.Gold.Com.ETF,20210712,76800.00,76890.00,76100.00,76540.00,11762439673,153677,465,D,76615.00,76590.00
Lotus.Gold.Com.ETF,20210711,77000.00,77000.00,76500.00,76615.00,23835098281,311102,419,D,76498.00,76790.00
Lotus.Gold.Com.ETF,20210710,76099.00,76750.00,76099.00,76498.00,36021967884,470889,525,D,76529.00,76750.00
Lotus.Gold.Com.ETF,20210707,77000.00,77200.00,76300.00,76529.00,30572029972,399483,590,D,76856.00,76500.00
Lotus.Gold.Com.ETF,20210706,77000.00,77200.00,76245.00,76856.00,65351988150,850318,672,D,76281.00,77200.00
Lotus.Gold.Com.ETF,20210705,76500.00,76600.00,76000.00,76281.00,24537494344,321671,691,D,77308.00,76190.00
Lotus.Gold.Com.ETF,20210704,77250.00,77669.00,76800.00,77308.00,81660912310,1056304,834,D,77486.00,76800.00
Lotus.Gold.Com.ETF,20210703,77500.00,78100.00,77130.00,77486.00,47268527338,610024,787,D,77243.00,77250.00
Lotus.Gold.Com.ETF,20210630,77300.00,77497.00,77100.00,77243.00,54231355084,702087,896,D,77419.00,77237.00
Lotus.Gold.Com.ETF,20210629,77499.00,77711.00,76900.00,77419.00,62967467145,813332,1225,D,76663.00,76964.00
Lotus.Gold.Com.ETF,20210628,76550.00,77000.00,76550.00,76663.00,68281964023,890673,769,D,75670.00,76740.00
Lotus.Gold.Com.ETF,20210627,76002.00,76040.00,75400.00,75670.00,30470647697,402676,544,D,75553.00,75999.00
Lotus.Gold.Com.ETF,20210626,75500.00,76277.00,74810.00,75553.00,75148650282,994652,772,D,74294.00,76250.00
Lotus.Gold.Com.ETF,20210623,74750.00,74750.00,74170.00,74294.00,13170125849,177271,456,D,74486.00,74280.00
Lotus.Gold.Com.ETF,20210622,74350.00,74990.00,74000.00,74486.00,33453182804,449119,502,D,73842.00,74705.00
Lotus.Gold.Com.ETF,20210621,74270.00,74799.00,73130.00,73842.00,22641745260,306623,754,D,73870.00,73700.00
Lotus.Gold.Com.ETF,20210620,74102.00,74400.00,73700.00,73870.00,30340639670,410731,665,D,74426.00,73715.00
Lotus.Gold.Com.ETF,20210619,76010.00,76010.00,73900.00,74426.00,29723836150,399373,1000,D,77019.00,74000.00
Lotus.Gold.Com.ETF,20210616,76990.00,77200.00,76700.00,77019.00,21700106804,281750,420,D,76355.00,77070.00
Lotus.Gold.Com.ETF,20210615,76666.00,76666.00,76100.00,76355.00,12290342498,160964,322,D,76057.00,76445.00
Lotus.Gold.Com.ETF,20210614,76450.00,76450.00,75600.00,76057.00,8682803662,114162,380,D,76693.00,76070.00
Lotus.Gold.Com.ETF,20210613,76770.00,77224.00,76420.00,76693.00,53919781018,703060,653,D,75910.00,76500.00
Lotus.Gold.Com.ETF,20210612,76899.00,76899.00,75000.00,75910.00,14637707074,192831,488,D,77365.00,76096.00
Lotus.Gold.Com.ETF,20210609,77270.00,77750.00,76570.00,77365.00,15408259498,199162,427,D,76771.00,77450.00
Lotus.Gold.Com.ETF,20210608,78000.00,78000.00,76000.00,76771.00,19662295415,256117,543,D,78029.00,76995.00
Lotus.Gold.Com.ETF,20210607,78200.00,78500.00,77700.00,78029.00,27546595265,353029,793,D,78214.00,77995.00
Lotus.Gold.Com.ETF,20210602,77410.00,78690.00,77350.00,78214.00,30389188839,388541,806,D,77161.00,78180.00
Lotus.Gold.Com.ETF,20210601,77400.00,77400.00,76840.00,77161.00,17936184817,232451,453,D,75948.00,77280.00
Lotus.Gold.Com.ETF,20210531,76500.00,76620.00,75000.00,75948.00,77722212800,1023360,745,D,77734.00,76100.00
Lotus.Gold.Com.ETF,20210530,78340.00,79000.00,76500.00,77734.00,111181865555,1430277,1399,D,77420.00,76800.00
Lotus.Gold.Com.ETF,20210529,77000.00,78150.00,76160.00,77420.00,158382744608,2045758,1443,D,75266.00,77990.00
Lotus.Gold.Com.ETF,20210526,74500.00,76400.00,73650.00,75266.00,241922978426,3214232,925,D,73770.00,75800.00
