<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mofid.Gold.ETF,20210921,29200.00,29670.00,28900.00,29409.00,12261008024,416920,227,D,29482.00,29410.00
Mofid.Gold.ETF,20210920,30180.00,30180.00,29000.00,29482.00,11158537644,378484,233,D,29317.00,29249.00
Mofid.Gold.ETF,20210919,29600.00,29600.00,29200.00,29317.00,7123383485,242978,203,D,29580.00,29498.00
Mofid.Gold.ETF,20210918,30140.00,30140.00,29325.00,29580.00,15865751745,536368,287,D,30016.00,29550.00
Mofid.Gold.ETF,20210915,29810.00,30230.00,29786.00,30016.00,14956802980,498302,223,D,30144.00,30100.00
Mofid.Gold.ETF,20210914,29935.00,30400.00,29935.00,30144.00,7226333818,239729,258,D,29932.00,30160.00
Mofid.Gold.ETF,20210913,30000.00,30049.00,29733.00,29932.00,16609146086,554891,283,D,30369.00,29999.00
Mofid.Gold.ETF,20210912,30620.00,30620.00,30110.00,30369.00,14879083215,489946,262,D,30626.00,30400.00
Mofid.Gold.ETF,20210911,30360.00,30788.00,30360.00,30626.00,20339650924,664131,288,D,30574.00,30620.00
Mofid.Gold.ETF,20210908,30310.00,30830.00,30310.00,30574.00,24071194196,787315,459,D,30410.00,30561.00
Mofid.Gold.ETF,20210907,30380.00,30500.00,30030.00,30410.00,13285822917,436886,324,D,30398.00,30480.00
Mofid.Gold.ETF,20210906,30310.00,30600.00,30182.00,30398.00,8545779057,281130,288,D,30587.00,30380.00
Mofid.Gold.ETF,20210905,30329.00,30800.00,30251.00,30587.00,17348081034,567171,367,D,30336.00,30600.00
Mofid.Gold.ETF,20210904,30500.00,30500.00,29880.00,30336.00,28365898320,935049,415,D,30444.00,30480.00
Mofid.Gold.ETF,20210901,30991.00,30991.00,30200.00,30444.00,12219944269,401392,434,D,30336.00,30350.00
Mofid.Gold.ETF,20210831,30849.00,30849.00,29781.00,30336.00,15260823382,503056,398,D,29685.00,30401.00
Mofid.Gold.ETF,20210830,29830.00,30000.00,29000.00,29685.00,40778510856,1373716,570,D,30640.00,29999.00
Mofid.Gold.ETF,20210829,31570.00,31570.00,30100.00,30640.00,34370674203,1121745,786,D,31573.00,30256.00
Mofid.Gold.ETF,20210828,31500.00,31949.00,31400.00,31573.00,28219558042,893792,808,D,31278.00,31537.00
Mofid.Gold.ETF,20210825,31710.00,31710.00,30900.00,31278.00,32933281353,1052936,736,D,31703.00,31270.00
Mofid.Gold.ETF,20210824,32199.00,32199.00,31300.00,31703.00,49226910333,1552753,1078,D,31237.00,31479.00
Mofid.Gold.ETF,20210823,32499.00,32499.00,30880.00,31237.00,49259282547,1576974,1058,D,31736.00,31301.00
Mofid.Gold.ETF,20210822,31141.00,32430.00,31010.00,31736.00,81153678830,2557179,1145,D,30627.00,31700.00
Mofid.Gold.ETF,20210815,30598.00,30799.00,30300.00,30627.00,58292459036,1903299,682,D,30330.00,30746.00
Mofid.Gold.ETF,20210814,30600.00,30600.00,30150.00,30330.00,52797246822,1740759,783,D,29995.00,30302.00
Mofid.Gold.ETF,20210811,29890.00,30300.00,29350.00,29995.00,35696241512,1190087,602,D,29175.00,30300.00
Mofid.Gold.ETF,20210810,29170.00,29399.00,29015.00,29175.00,84066467884,2881432,448,D,28950.00,29200.00
Mofid.Gold.ETF,20210809,29000.00,29170.00,28500.00,28950.00,11821752613,408351,329,D,29142.00,29081.00
Mofid.Gold.ETF,20210808,29499.00,29499.00,28933.00,29142.00,23984932788,823037,440,D,28874.00,29170.00
Mofid.Gold.ETF,20210807,28570.00,29248.00,28450.00,28874.00,26784918989,927641,586,D,29739.00,29199.00
Mofid.Gold.ETF,20210804,30235.00,30235.00,29300.00,29739.00,36825494477,1238292,467,D,29427.00,29700.00
Mofid.Gold.ETF,20210803,28870.00,30010.00,28566.00,29427.00,86879867622,2952401,661,D,29092.00,29810.00
Mofid.Gold.ETF,20210802,29000.00,29400.00,28778.00,29092.00,21255143419,730625,507,D,29523.00,28865.00
Mofid.Gold.ETF,20210801,30600.00,30600.00,28900.00,29523.00,29384804557,995305,800,D,29659.00,29090.00
Mofid.Gold.ETF,20210731,29500.00,30660.00,29017.00,29659.00,81516501996,2748413,939,D,28310.00,30110.00
Mofid.Gold.ETF,20210728,27990.00,28750.00,27850.00,28310.00,29642183260,1047047,532,D,27807.00,28750.00
Mofid.Gold.ETF,20210727,27799.00,28180.00,27351.00,27807.00,16056448362,577426,433,D,27326.00,27750.00
Mofid.Gold.ETF,20210726,26585.00,27670.00,26585.00,27326.00,9740107027,356437,407,D,26485.00,27550.00
Mofid.Gold.ETF,20210719,26310.00,26645.00,26310.00,26485.00,3324062007,125505,162,D,26409.00,26580.00
Mofid.Gold.ETF,20210718,26220.00,26800.00,26220.00,26409.00,3378606154,127932,139,D,26581.00,26500.00
Mofid.Gold.ETF,20210717,26220.00,26750.00,26220.00,26581.00,3364092129,126561,183,D,26482.00,26588.00
Mofid.Gold.ETF,20210714,27000.00,27000.00,26300.00,26482.00,7993554811,301854,238,D,26735.00,26484.00
Mofid.Gold.ETF,20210713,27060.00,27060.00,26400.00,26735.00,5121965231,191586,214,D,27082.00,26716.00
Mofid.Gold.ETF,20210712,27348.00,27348.00,27000.00,27082.00,6374196762,235368,240,D,27146.00,27008.00
Mofid.Gold.ETF,20210711,27029.00,27449.00,27029.00,27146.00,5355167215,197272,184,D,27126.00,27183.00
Mofid.Gold.ETF,20210710,27349.00,27349.00,27010.00,27126.00,3808999696,140420,151,D,27141.00,27186.00
Mofid.Gold.ETF,20210707,27400.00,27400.00,27102.00,27141.00,4094956997,150879,167,D,27199.00,27149.00
Mofid.Gold.ETF,20210706,27140.00,27300.00,27020.00,27199.00,6083912602,223679,192,D,27085.00,27215.00
Mofid.Gold.ETF,20210705,27015.00,27246.00,27015.00,27085.00,2689431574,99296,158,D,27369.00,27140.00
Mofid.Gold.ETF,20210704,27545.00,27545.00,27301.00,27369.00,8690450062,317526,220,D,27231.00,27398.00
Mofid.Gold.ETF,20210703,27099.00,27498.00,27015.00,27231.00,5036759245,184967,250,D,27395.00,27212.00
Mofid.Gold.ETF,20210630,27700.00,27700.00,27310.00,27395.00,4265064479,155687,219,D,27509.00,27310.00
Mofid.Gold.ETF,20210629,28000.00,28000.00,27201.00,27509.00,4587453132,166763,239,D,27115.00,27398.00
Mofid.Gold.ETF,20210628,27280.00,27300.00,27000.00,27115.00,4408671264,162592,173,D,26740.00,27120.00
Mofid.Gold.ETF,20210627,26435.00,26880.00,26435.00,26740.00,3859084985,144320,190,D,26652.00,26710.00
Mofid.Gold.ETF,20210626,26499.00,26880.00,26499.00,26652.00,5626909130,211123,295,D,26157.00,26772.00
Mofid.Gold.ETF,20210623,26400.00,26400.00,26100.00,26157.00,7471067164,285620,282,D,26476.00,26210.00
Mofid.Gold.ETF,20210622,26700.00,26701.00,26336.00,26476.00,3444105041,130086,194,D,26283.00,26417.00
Mofid.Gold.ETF,20210621,26283.00,26680.00,26100.00,26283.00,3392765150,129086,206,D,26226.00,26109.00
Mofid.Gold.ETF,20210620,26110.00,26379.00,26100.00,26226.00,4079284428,155541,205,D,26606.00,26270.00
Mofid.Gold.ETF,20210619,26940.00,26940.00,26250.00,26606.00,5413964817,203483,255,D,27285.00,26399.00
Mofid.Gold.ETF,20210616,26700.00,27449.00,26700.00,27285.00,5109076061,187251,176,D,26858.00,27240.00
